rcept_no,stock_code,t,tag,rcept_dt,e,u,null_code,dup,in_window,R1,R1a,R1b,joined,episode_first,R1_episode_first,R2,mcap_q,mgmt_dispute
20240313000001,101000,1,유상증자,2024-03-13,2024-03-13,2024-03-14,False,False,False,False,False,False,False,False,False,False,0,False
20240313000002,101000,1,유상증자,2024-03-13,2024-03-13,2024-03-14,False,True,False,False,False,False,False,False,False,False,0,False
20240312001051,142760,1,유상증자,2024-03-13,2024-03-13,2024-03-14,False,False,False,False,False,False,False,False,False,False,0,False
20240314000805,,1,유상증자,2024-03-14,2024-03-14,2024-03-15,True,False,False,False,False,False,False,False,False,False,0,False
20240313001773,041590,1,유상증자,2024-03-14,2024-03-14,2024-03-15,False,False,False,False,False,False,False,False,False,False,0,False
20240313001779,041590,1,유상증자,2024-03-14,2024-03-14,2024-03-15,False,True,False,False,False,False,False,False,False,False,0,False
20240314001543,043100,1,유상증자,2024-03-14,2024-03-14,2024-03-15,False,False,False,False,False,False,False,False,False,False,0,False
20240315000852,060230,1,유상증자,2024-03-15,2024-03-15,2024-03-18,False,False,False,False,False,False,False,False,False,False,0,False
20240315000881,288490,1,유상증자,2024-03-15,2024-03-15,2024-03-18,False,False,False,False,False,False,False,False,False,False,0,False
20240318000410,,1,유상증자,2024-03-18,2024-03-18,2024-03-19,True,False,False,False,False,False,False,False,False,False,0,False
20240318000611,222110,1,유상증자,2024-03-18,2024-03-18,2024-03-19,False,False,False,False,False,False,False,False,False,False,0,False
20240319000586,005960,1,유상증자,2024-03-19,2024-03-19,2024-03-20,False,False,False,False,False,False,False,False,False,False,0,False
20240319000372,067390,1,유상증자,2024-03-19,2024-03-19,2024-03-20,False,False,False,False,False,False,False,False,False,False,0,False
20240319000842,142760,1,유상증자,2024-03-19,2024-03-19,2024-03-20,False,False,False,False,False,False,False,False,False,False,0,False
20240319000004,276730,1,유상증자,2024-03-19,2024-03-19,2024-03-20,False,False,False,False,False,False,False,False,False,False,0,False
20240320000093,,1,유상증자,2024-03-20,2024-03-20,2024-03-21,True,False,True,False,False,False,False,False,False,False,0,False
20240320000704,,1,유상증자,2024-03-20,2024-03-20,2024-03-21,True,False,True,False,False,False,False,False,False,False,0,False
20240320000714,,1,유상증자,2024-03-20,2024-03-20,2024-03-21,True,False,True,False,False,False,False,False,False,False,0,False
20240320001339,,1,유상증자,2024-03-20,2024-03-20,2024-03-21,True,False,True,False,False,False,False,False,False,False,0,False
20240320001353,,1,유상증자,2024-03-20,2024-03-20,2024-03-21,True,False,True,False,False,False,False,False,False,False,0,False
