variant,strategy,t,tag,n_with,n_without,delta,se,p_raw
W5,ma20,1,유상증자,72,19273,1.3067809766403837,1.0580645102530601,0.21680542339504225
W5,ma20,2,CB/BW/EB,123,19222,-0.29547878755559914,0.8832722181321743,0.7379815937328611
W5,ma20,3,자기주식취득,90,19255,0.8323572183350028,0.9415181359825767,0.3766645726508641
W5,ma20,4,공급계약,375,18970,0.7060479419819512,0.4913026500849709,0.15069137181420433
W5,ma20,5,최대주주변경,40,19305,-0.06902727480924153,1.421938919006801,0.961282322236449
W5,ma20,6,잠정실적,649,18696,-0.18335156609730252,0.374085684453645,0.6240401144352706
W5,ma20,7,소송·횡령,51,19294,-1.1977891378814447,1.262663767895811,0.34281349843126596
W5,minervini,1,유상증자,3,2029,-0.8499888429033182,5.4539563161685125,0.876152739084379
W5,minervini,2,CB/BW/EB,8,2024,7.5141827920368085,3.1772828304653036,0.018031466892678982
W5,minervini,3,자기주식취득,9,2023,1.11580689929955,2.8222653909680218,0.6925782564714567
W5,minervini,4,공급계약,64,1968,0.020452272641518165,1.4337172650754746,0.9886183981123376
W5,minervini,5,최대주주변경,7,2025,-0.5643245018102782,3.615880228727733,0.8759791367892598
W5,minervini,6,잠정실적,75,1957,-1.0344556642835794,1.1442401539353666,0.36596640871557756
W5,minervini,7,소송·횡령,5,2027,-9.6815909198368,1.3836222168836385,2.609809419274634e-12
W5,daytrading,1,유상증자,129,14832,-0.5254709566979797,0.826950930612428,0.5251468033712062
W5,daytrading,2,CB/BW/EB,120,14841,0.3343317443322215,0.9325779098145456,0.7199671110081973
W5,daytrading,3,자기주식취득,187,14774,0.8913814852383243,0.543873073944699,0.10122340112170351
W5,daytrading,4,공급계약,272,14689,0.04828653254035503,0.6271099450450404,0.9386247288192838
W5,daytrading,5,최대주주변경,82,14879,-2.495632607316881,0.9944490925880634,0.012088066504487077
W5,daytrading,6,잠정실적,618,14343,0.1534010371665947,0.37422892670928115,0.6818702879039555
W5,daytrading,7,소송·횡령,43,14918,-1.216272883558598,1.1716797489504494,0.29924251831353044
W1,ma20,1,유상증자,31,19314,0.3273037356658273,1.5761912040955468,0.8354984797553808
W1,ma20,2,CB/BW/EB,34,19311,-0.1250279770131913,1.86026496801311,0.946414708929744
W1,ma20,3,자기주식취득,15,19330,0.8843867192443509,2.1832777547892572,0.68542390313922
W1,ma20,4,공급계약,114,19231,0.6442646671320719,0.8622844324631105,0.4549668246103113
W1,ma20,5,최대주주변경,14,19331,-0.8976073728001509,2.2811405018136064,0.6939571562751436
W1,ma20,6,잠정실적,152,19193,-0.8112187217667026,0.740384207507597,0.27322205868446764
W1,ma20,7,소송·횡령,10,19335,-3.914871901384923,2.3351253196502224,0.09363742125968512
W1,minervini,1,유상증자,1,2031,,,
W1,minervini,2,CB/BW/EB,2,2030,2.4870472763953204,7.052629909151654,0.7243575098064978
W1,minervini,3,자기주식취득,0,2032,,,
W1,minervini,4,공급계약,19,2013,0.20806935541882632,2.2033506111448937,0.9247650775606051
W1,minervini,5,최대주주변경,2,2030,2.4870472763953204,7.093742117876903,0.7258904355551942
W1,minervini,6,잠정실적,25,2007,-2.868617947936457,1.8641369422792584,0.12384212332167552
W1,minervini,7,소송·횡령,2,2030,-11.43198992490043,2.7716558091416243,3.713689161122978e-05
W1,daytrading,1,유상증자,54,14907,-3.800694479319346,1.214198205562299,0.0017468181265450592
W1,daytrading,2,CB/BW/EB,40,14921,2.289718638141923,1.5846936682824686,0.14848690582372723
W1,daytrading,3,자기주식취득,58,14903,1.5360258828251305,0.9361996915461432,0.10085902858007
W1,daytrading,4,공급계약,112,14849,-0.5790339148973251,0.875708808394084,0.5084728942674488
W1,daytrading,5,최대주주변경,40,14921,-4.553840081555514,1.2828786194084953,0.0003856637081644638
W1,daytrading,6,잠정실적,218,14743,-0.34883024062211615,0.6004978071087842,0.5613066575804033
W1,daytrading,7,소송·횡령,7,14954,-0.7288461589577531,3.2018267378956176,0.8199304137624975
W20,ma20,1,유상증자,230,19115,1.2995454205729522,0.6395302505944325,0.04215049780465199
W20,ma20,2,CB/BW/EB,398,18947,-0.9967940706879032,0.49784127903612235,0.045259714120425995
W20,ma20,3,자기주식취득,298,19047,0.6859416162851742,0.5174974306105496,0.18500615595032502
W20,ma20,4,공급계약,1055,18290,0.4588120133981414,0.34257524146507806,0.1804720859685496
W20,ma20,5,최대주주변경,134,19211,0.6003042831612095,1.028687738656933,0.5595142415982006
W20,ma20,6,잠정실적,2416,16929,-0.4941703760754738,0.22289334591149676,0.026618239294063265
W20,ma20,7,소송·횡령,168,19177,-0.31217788140443137,0.7986506424602273,0.6958847177886909
W20,minervini,1,유상증자,20,2012,5.597384557643282,2.3578633904497943,0.01760025225517948
W20,minervini,2,CB/BW/EB,33,1999,3.091354923662159,2.644713973966302,0.24245173055076505
W20,minervini,3,자기주식취득,27,2005,-0.39320869946270803,1.786848418371511,0.8258266770643474
W20,minervini,4,공급계약,197,1835,0.9604122515827422,0.8749075938481927,0.27232243644115417
W20,minervini,5,최대주주변경,16,2016,0.9976364028067577,2.3911311159805715,0.6765148430929033
W20,minervini,6,잠정실적,347,1685,-1.3540574297128507,0.6023018537460086,0.024567418653124545
W20,minervini,7,소송·횡령,10,2022,-4.609267760491269,2.838828556611556,0.10445024388608534
W20,daytrading,1,유상증자,257,14704,0.2099527972308211,0.6117352643018721,0.7314415431952495
W20,daytrading,2,CB/BW/EB,304,14657,0.2990179945186495,0.6002073129515049,0.6183492925764932
W20,daytrading,3,자기주식취득,358,14603,0.9739785386253231,0.4485223614132229,0.02989133813482055
W20,daytrading,4,공급계약,668,14293,-0.03781434983902754,0.40015135913183475,0.9247118903369781
W20,daytrading,5,최대주주변경,158,14803,-0.8733751988583712,0.7274144820542153,0.22988432904870582
W20,daytrading,6,잠정실적,1535,13426,-0.2718207239487919,0.25230373195569983,0.28132163456746095
W20,daytrading,7,소송·횡령,101,14860,-0.7633288931051669,0.8513673858514984,0.36993685288302836
Dx,ma20,1,유상증자,45,19300,1.994784565570103,1.3488001634356688,0.13915832288454616
Dx,ma20,2,CB/BW/EB,110,19235,-0.5408312760255136,0.8398676660946948,0.5196090213867447
Dx,ma20,3,자기주식취득,85,19260,0.9925940882724408,0.9333639692888762,0.2875739582518691
Dx,ma20,4,공급계약,330,19015,0.6332084578631079,0.543876056977435,0.24432214778948225
Dx,ma20,5,최대주주변경,33,19312,0.05852650879960508,1.4230732096309224,0.9671947748987028
Dx,ma20,6,잠정실적,606,18739,-0.45812150287854025,0.3751763263194251,0.22205452616528695
Dx,ma20,7,소송·횡령,54,19291,0.809044144510321,1.4517784558997617,0.5773375279125718
Dx,minervini,1,유상증자,5,2027,8.505528352778738,2.772030755643355,0.002152527294005133
Dx,minervini,2,CB/BW/EB,8,2024,7.5141827920368085,3.0590236465556218,0.014033722343094333
Dx,minervini,3,자기주식취득,10,2022,2.2593571803476458,2.83919944744933,0.4261642092239037
Dx,minervini,4,공급계약,54,1978,-0.6635254546015958,1.3435627957023366,0.6214084555224859
Dx,minervini,5,최대주주변경,5,2027,-1.7855660340725896,3.5369650638058485,0.6136782507021975
Dx,minervini,6,잠정실적,70,1962,-0.16856877165897072,1.2029881471704826,0.8885611905288742
Dx,minervini,7,소송·횡령,4,2028,-10.21346522973724,1.6137454663707549,2.4668558983472084e-10
Dx,daytrading,1,유상증자,86,14875,1.6929238150269466,1.0151476000985422,0.09538269852668431
Dx,daytrading,2,CB/BW/EB,94,14867,0.06904262689599155,1.0696621602740153,0.948535322120208
Dx,daytrading,3,자기주식취득,146,14815,0.4228468476752939,0.6030796252120816,0.4832119254630681
Dx,daytrading,4,공급계약,206,14755,0.660880635461983,0.7496851489514222,0.3780233124386813
