j,strategy,delta,se,p_up,p_down,n1
0,book_pullback_ma20,-0.13294838659765285,0.08583285309053033,0.939299753146279,0.06070024685372104,15644
1,book_pullback_ma20,-0.19327939398205046,0.07936584235629997,0.9925602135067841,0.007439786493215839,15649
2,book_pullback_ma20,0.5005791710155281,0.40737539015482943,0.10957510773225143,0.8904248922677486,15626
3,book_pullback_ma20,-0.1434776584936568,0.09219122701779042,0.9401821967849631,0.059817803215036824,15647
4,book_pullback_ma20,-0.036219584224271836,0.1134824712272501,0.6251991392662318,0.37480086073376817,15646
5,book_pullback_ma20,0.04169053067748879,0.16606135923027526,0.4008858023161593,0.5991141976838408,15659
6,book_pullback_ma20,0.21233497226969644,0.2110614715684078,0.15719965791581916,0.8428003420841809,15635
7,book_pullback_ma20,-0.07984409322294338,0.10013124381633232,0.787388995113635,0.21261100488636492,15665
8,book_pullback_ma20,-0.07521915988782134,0.10928730295272382,0.7543585801357547,0.2456414198642452,15674
9,book_pullback_ma20,-0.0317681838510334,0.11072318854551189,0.6129114366299095,0.3870885633700905,15642
10,book_pullback_ma20,-0.18752451284026117,0.08375519130704072,0.9874207365444796,0.012579263455520474,15673
11,book_pullback_ma20,0.48334570587524844,0.4140657984324099,0.12154135354821362,0.8784586464517863,15650
12,book_pullback_ma20,0.0066491446742676374,0.11542691469137194,0.4770317119194034,0.5229682880805966,15646
13,book_pullback_ma20,0.09868179821581699,0.1267903236724715,0.21819402078061792,0.7818059792193821,15664
14,book_pullback_ma20,0.10811061563450827,0.12103721846464068,0.18587465839367595,0.8141253416063241,15663
15,book_pullback_ma20,-0.17212422705498093,0.1018073182396348,0.9545516234278437,0.04544837657215625,15648
16,book_pullback_ma20,-0.06935482291248464,0.13442881611423876,0.6970456580001806,0.3029543419998194,15649
17,book_pullback_ma20,0.035645621046612244,0.1431791315160366,0.4016965516442503,0.5983034483557497,15648
18,book_pullback_ma20,-0.11286602134106412,0.08225143449389517,0.9150005479457153,0.08499945205428472,15640
19,book_pullback_ma20,-0.1140899032092005,0.08526833548578208,0.9095534452337262,0.09044655476627379,15659
20,book_pullback_ma20,-0.05590040967373393,0.09272457066370308,0.7267007901760132,0.2732992098239868,15658
21,book_pullback_ma20,-0.018282734431551664,0.12336007146109336,0.5589100029361557,0.44108999706384433,15640
22,book_pullback_ma20,-0.14611116038117394,0.09167715222213588,0.9445048340077725,0.055495165992227494,15657
23,book_pullback_ma20,0.022000894245975497,0.11078654433920809,0.4212924642165668,0.5787075357834333,15650
24,book_pullback_ma20,-0.03726686564949343,0.10369418034969877,0.6403490951745702,0.35965090482542983,15646
25,book_pullback_ma20,0.13998197387041195,0.19232165035682505,0.23335165512543746,0.7666483448745625,15650
26,book_pullback_ma20,0.47297093617574404,0.40790946977302583,0.12312626521670493,0.8768737347832951,15643
27,book_pullback_ma20,0.04501986283623682,0.12632081036789988,0.3607731050123707,0.6392268949876293,15649
28,book_pullback_ma20,-0.0882808599729145,0.0911587322440809,0.8335851929713427,0.16641480702865732,15637
29,book_pullback_ma20,-0.04585778796539884,0.09852110240522347,0.6791995278184961,0.32080047218150387,15646
