board,rep,strategy,n_lots,n_open_excl,mean_net_pct,win_rate,net_won_mean,n_replaced,n_dropped,dup_pi,dup_real
main,0,book_pullback_ma20,17895,121,-0.046124,0.406426,-447,7987,0,974,8107
main,1,book_pullback_ma20,17917,99,0.020359,0.408216,223,7997,0,989,8146
main,2,book_pullback_ma20,17871,145,-0.130078,0.406804,-1266,8151,0,985,8278
main,3,book_pullback_ma20,17897,119,-0.105911,0.401911,-1011,8223,0,977,8341
main,4,book_pullback_ma20,17900,116,-0.178265,0.403687,-1739,8264,0,962,8380
main,5,book_pullback_ma20,17908,108,-0.139624,0.409147,-1381,8302,0,966,8436
main,6,book_pullback_ma20,17894,122,-0.106729,0.407287,-1069,8276,0,995,8389
main,7,book_pullback_ma20,17904,112,-0.176095,0.411752,-1765,8147,0,980,8288
main,8,book_pullback_ma20,17912,104,-0.234573,0.405817,-2276,8273,0,968,8384
main,9,book_pullback_ma20,17906,110,-0.164507,0.406177,-1641,8175,0,975,8304
main,10,book_pullback_ma20,17903,113,-0.229738,0.409484,-2264,8087,0,977,8195
main,11,book_pullback_ma20,17912,104,-0.197612,0.398113,-1933,8182,0,998,8290
main,12,book_pullback_ma20,17902,114,-0.190876,0.403139,-1860,8374,0,967,8486
main,13,book_pullback_ma20,17898,118,-0.010788,0.403397,-78,8114,0,983,8265
main,14,book_pullback_ma20,17911,105,0.037611,0.409525,395,8445,0,965,8575
main,15,book_pullback_ma20,17901,115,-0.132823,0.404614,-1297,7976,0,967,8118
main,16,book_pullback_ma20,17913,103,-0.050928,0.405683,-496,8371,0,980,8492
main,17,book_pullback_ma20,17904,112,0.196029,0.409406,1990,8209,0,964,8319
main,18,book_pullback_ma20,17925,91,-0.331642,0.402789,-3276,8125,0,1012,8232
main,19,book_pullback_ma20,17907,109,0.303912,0.40822,3081,8170,0,964,8277
main,20,book_pullback_ma20,17911,105,-0.073561,0.403942,-728,8434,0,962,8556
main,21,book_pullback_ma20,17907,109,-0.193475,0.401351,-1909,7830,0,975,7982
main,22,book_pullback_ma20,17893,123,0.11083,0.41044,1117,8225,0,940,8336
