strategy,scan_date,stock_code,entry_price,exit_date,hold_days,tp_barrier,sl_barrier,n_minute_rows,n_session_bars,category,first_touch_time,ret_before,ret_after
book_pullback_ma20,2024-04-04,012510,52700,2024-04-09,2,57970,48484,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2024-04-12,178320,24400,2024-04-26,9,26840,22448,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2024-05-13,138360,954,2024-05-17,2,1049.4,877.68,0,0,분봉 없음,,-7.99999999999999,-7.99999999999999
book_pullback_ma20,2024-06-04,448710,22400,2024-06-10,2,24640,20608,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2024-08-01,066790,2820,2024-08-05,1,3102,2594.4,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2024-08-23,068100,4685,2024-08-28,2,5153.5,4310.2,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2024-10-07,126700,17510,2024-10-24,11,19261,16109.2,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2024-10-14,361670,7050,2024-10-15,0,7755,6486,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2024-10-21,088130,4850,2024-10-23,1,5335,4462,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2024-10-21,340810,4020,2024-10-22,0,4422,3698.4,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2024-10-22,013810,5020,2024-10-31,6,5522,4618.4,0,0,분봉 없음,,-7.99999999999999,-7.99999999999999
book_pullback_ma20,2024-11-14,025950,23750,2024-11-15,0,26125,21850,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2024-12-09,025870,7800,2024-12-10,0,8580,7176,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2025-01-10,065500,6300,2025-01-15,2,6930,5796,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2025-01-10,016920,2325,2025-01-15,2,2557.5,2139,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2025-01-10,045660,32050,2025-01-15,2,35255,29486,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2025-01-10,121850,17269,2025-01-15,2,18995.9,15887.48,0,0,분봉 없음,,-7.99999999999999,-7.99999999999999
book_pullback_ma20,2025-01-13,045660,32200,2025-01-15,1,35420,29624,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2025-02-25,221800,3345,2025-02-26,0,3679.5,3077.4,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2025-02-27,302430,8190,2025-03-11,6,9009,7534.8,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2025-02-28,006490,1900,2025-03-05,1,2090,1748,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2025-03-04,352770,671,2025-03-05,0,738.1,617.32,0,0,분봉 없음,,-7.99999999999999,-7.99999999999999
book_pullback_ma20,2025-03-19,200130,13050,2025-03-31,7,14355,12006,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2025-03-24,199480,5860,2025-03-26,1,6446,5391.2,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2025-05-07,079190,602,2025-05-08,0,662.2,553.84,0,0,분봉 없음,,-7.99999999999999,-7.99999999999999
book_pullback_ma20,2025-08-19,310200,5650,2025-08-21,1,6215,5198,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2025-11-12,005950,9950,2025-11-17,2,10945,9154,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2025-12-02,064550,14060,2025-12-16,9,15466,12935.2,0,0,분봉 없음,,-7.99999999999999,-7.99999999999999
book_pullback_ma20,2025-12-11,361570,2650,2025-12-17,3,2915,2438,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2025-12-15,361570,2535,2025-12-17,1,2788.5,2332.2,0,0,분봉 없음,,-7.99999999999999,-7.99999999999999
book_pullback_ma20,2025-12-24,318060,25150,2025-12-30,2,27665,23138,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2026-01-20,354200,1896,2026-01-21,0,2085.6,1744.32,0,0,분봉 없음,,-7.99999999999999,-7.99999999999999
book_pullback_ma20,2026-02-02,050110,2767,2026-02-27,15,3043.7,2545.64,0,0,분봉 없음,,-7.99999999999999,-7.99999999999999
book_pullback_ma20,2026-02-04,282720,12100,2026-02-06,1,13310,11132,375,375,손절 먼저,090100,-8,-8
book_pullback_ma20,2026-02-25,113810,792,2026-02-27,1,871.2,728.64,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2026-03-25,137940,283,2026-03-26,0,311.3,260.36,0,0,분봉 없음,,-7.99999999999999,-7.99999999999999
book_pullback_ma20,2026-04-22,140410,90800,2026-04-30,5,99880,83536,380,380,익절 먼저,095800,-8,10
book_pullback_ma20,2026-05-12,085910,29050,2026-05-13,0,31955,26726,377,377,손절 먼저,090600,-8,-8
book_pullback_ma20,2026-05-18,264850,7130,2026-05-20,1,7843,6559.6,377,377,손절 먼저,091400,-7.99999999999999,-7.99999999999999
book_pullback_ma20,2026-05-19,321260,3630,2026-05-20,0,3993,3339.6,0,0,분봉 없음,,-7.99999999999999,-7.99999999999999
book_pullback_ma20,2026-05-22,310870,1929,2026-05-26,0,2121.9,1774.68,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2026-06-02,242040,7170,2026-06-04,0,7887,6596.4,379,379,손절 먼저,090400,-7.99999999999999,-7.99999999999999
book_pullback_ma20,2026-07-02,046940,3815,2026-07-03,0,4196.5,3509.8,0,0,분봉 없음,,-7.99999999999999,-7.99999999999999
book_pullback_ma20,2026-07-16,067290,1964,2026-07-20,0,2160.4,1806.88,380,380,손절 먼저,090900,-7.99999999999999,-7.99999999999999
book_pullback_ma20,2026-07-20,303030,1806,2026-07-21,0,1986.6,1661.52,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2026-07-22,079950,1280,2026-07-23,0,1408,1177.6,0,0,분봉 없음,,-7.99999999999999,-7.99999999999999
book_pullback_ma20,2026-08-03,254120,895,2026-08-04,0,984.5,823.4,0,0,분봉 없음,,-7.99999999999999,-7.99999999999999
book_pullback_ma20,2026-08-04,215600,2240,2026-08-19,9,2464,2060.8,0,0,분봉 없음,,-7.99999999999999,-7.99999999999999
book_pullback_ma20,2026-09-01,0039P0,9110,2026-09-03,1,10021,8381.2,0,0,분봉 없음,,-7.99999999999999,-7.99999999999999
book_pullback_ma20,2026-09-01,368600,955,2026-09-02,0,1050.5,878.6,0,0,분봉 없음,,-8,-8
book_pullback_ma20,2026-09-02,465770,3940,2026-09-03,0,4334,3624.8,0,0,분봉 없음,,-8,-8
minervini_volume_dryup,2024-05-23,304360,37200,2024-05-28,2,41664,34224,0,0,분봉 없음,,-8,-8
minervini_volume_dryup,2024-06-13,304360,42850,2024-06-17,1,47992,39422,0,0,분봉 없음,,-8,-8
minervini_volume_dryup,2024-06-14,304360,42750,2024-06-17,0,47880,39330,0,0,분봉 없음,,-8,-8
minervini_volume_dryup,2024-07-15,051980,11500,2024-07-17,1,12880,10580,0,0,분봉 없음,,-8,-8
minervini_volume_dryup,2026-02-13,448900,72000,2026-02-19,0,80640,66240,380,380,손절 먼저,090200,-8,-8
minervini_volume_dryup,2026-05-08,006110,72800,2026-05-12,1,81536,66976,378,378,익절 먼저,090100,-8,12
minervini_volume_dryup,2026-05-13,170920,44000,2026-05-15,1,49280,40480,0,0,분봉 없음,,-8,-8
daytrading_3methods_breakout,2024-04-18,363260,2905,2024-04-22,1,3195.5,2614.5,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-05-09,462520,22450,2024-05-14,2,24695,20205,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-05-17,260970,39950,2024-05-20,0,43945,35955,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-05-20,323990,19100,2024-05-22,1,21010,17190,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-05-30,900300,1720,2024-05-31,0,1892,1548,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-06-14,006090,12000,2024-06-17,0,13200,10800,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-07-17,378800,2076,2024-07-18,0,2283.6,1868.4,0,0,분봉 없음,,-9.99999999999999,-9.99999999999999
daytrading_3methods_breakout,2024-07-25,950130,5903,2024-08-05,6,6493.3,5312.7,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-08-02,060260,2880,2024-08-05,0,3168,2592,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-08-02,253840,7990,2024-08-05,0,8789,7191,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-08-12,021880,437,2024-08-13,0,480.7,393.3,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-08-23,264660,15415,2024-08-26,0,16956.5,13873.5,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-09-02,338840,10430,2024-09-06,3,11473,9387,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-09-03,462510,16620,2024-09-06,2,18282,14958,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-09-23,354200,4225,2024-09-24,0,4647.5,3802.5,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-09-27,408900,3800,2024-10-02,1,4180,3420,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-09-27,418620,11785,2024-10-15,8,12963.5,10606.5,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-09-27,354320,34950,2024-10-02,1,38445,31455,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-10-02,388790,4700,2024-10-11,4,5170,4230,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-10-14,361670,7050,2024-10-15,0,7755,6345,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-10-14,036000,2955,2024-10-15,0,3250.5,2659.5,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-10-14,225190,2748,2024-10-16,1,3022.8,2473.2,0,0,분봉 없음,,-9.99999999999999,-9.99999999999999
daytrading_3methods_breakout,2024-10-18,318010,6680,2024-10-21,0,7348,6012,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-10-21,340810,4020,2024-10-22,0,4422,3618,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-10-22,054180,453,2024-10-23,0,498.3,407.7,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-10-22,013810,5020,2024-10-31,6,5522,4518,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-10-29,294140,4945,2024-11-04,3,5439.5,4450.5,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-11-12,003070,10300,2024-11-15,2,11330,9270,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-12-05,013360,2295,2024-12-06,0,2524.5,2065.5,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-12-09,025870,7800,2024-12-10,0,8580,7020,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-12-09,052400,26450,2024-12-10,0,29095,23805,0,0,분봉 없음,,-10,-10
daytrading_3methods_breakout,2024-12-09,224110,27650,2024-12-10,0,30415,24885,0,0,분봉 없음,,-10,-10
