strategy,scenario,N,K,bucket,n_buys_completed,n_open,buys_per_day,gross_won,cost_won,net_won,net_per_lot_won,win_rate,max_concurrent,capital_needed_won,cost_over_abs_gross
book_pullback_ma20,"N=1,K=현행",1,현행,전체,610,5,1.0,-2572179,1520478,-4092657,-6709,0.423,10,10000000,0.5911
book_pullback_ma20,"N=1,K=현행",1,현행,2024,195,0,0.99,-2858022,486155,-3344177,-17150,0.3846,8,8000000,0.1701
book_pullback_ma20,"N=1,K=현행",1,현행,2025,242,0,1.0,-1598609,603473,-2202082,-9100,0.4215,10,10000000,0.3775
book_pullback_ma20,"N=1,K=현행",1,현행,2026,173,5,0.99,1884452,430850,1453602,8402,0.4682,8,8000000,0.2286
book_pullback_ma20,"N=1,K=∞",1,∞,전체,610,5,1.0,-2572179,1520478,-4092657,-6709,0.423,10,10000000,0.5911
book_pullback_ma20,"N=1,K=∞",1,∞,2024,195,0,0.99,-2858022,486155,-3344177,-17150,0.3846,8,8000000,0.1701
book_pullback_ma20,"N=1,K=∞",1,∞,2025,242,0,1.0,-1598609,603473,-2202082,-9100,0.4215,10,10000000,0.3775
book_pullback_ma20,"N=1,K=∞",1,∞,2026,173,5,0.99,1884452,430850,1453602,8402,0.4682,8,8000000,0.2286
book_pullback_ma20,"N=3,K=현행",3,현행,전체,1150,10,1.88,3286375,2864337,422038,367,0.4235,10,10000000,0.8716
book_pullback_ma20,"N=3,K=현행",3,현행,2024,360,0,1.84,-3431050,896787,-4327837,-12022,0.4139,10,10000000,0.2614
book_pullback_ma20,"N=3,K=현행",3,현행,2025,416,0,1.72,-2804733,1036567,-3841300,-9234,0.4183,10,10000000,0.3696
book_pullback_ma20,"N=3,K=현행",3,현행,2026,374,10,2.15,9522158,930983,8591175,22971,0.4385,10,10000000,0.0978
book_pullback_ma20,"N=3,K=∞",3,∞,전체,1822,16,2.98,9118380,4537121,4581259,2514,0.4193,28,28000000,0.4976
book_pullback_ma20,"N=3,K=∞",3,∞,2024,585,0,2.98,-8361634,1457233,-9818867,-16784,0.3795,25,25000000,0.1743
book_pullback_ma20,"N=3,K=∞",3,∞,2025,725,0,3.0,-3526097,1805511,-5331608,-7354,0.4331,28,28000000,0.512
book_pullback_ma20,"N=3,K=∞",3,∞,2026,512,16,2.95,21006111,1274376,19731735,38539,0.4453,22,22000000,0.0607
book_pullback_ma20,"N=5,K=현행",5,현행,전체,1217,10,1.99,1392063,3029293,-1637230,-1345,0.4158,10,10000000,2.1761
book_pullback_ma20,"N=5,K=현행",5,현행,2024,388,0,1.98,-3925299,966447,-4891746,-12608,0.4098,10,10000000,0.2462
