buy_id,strategy,code,buy_date,buy_time,buy_price,qty,notional_won,in_list,exit_status,exit_reason,exit_date,exit_price,ret_pct,pnl_won
2469,book_envelope_200d,053260,2026-09-10,09:01:38,7940,186,1476840,Y,closed,tp,2026-09-10,8740,+10.08,148800
2474,book_envelope_200d,096770,2026-09-10,09:06:36,157000,9,1413000,Y,closed,sl,2026-09-11,144300,-8.09,-114300
2499,book_envelope_200d,131290,2026-09-11,09:25:38,289000,5,1445000,Y,closed,sl,2026-09-11,265500,-8.13,-117500
2517,book_envelope_200d,098120,2026-09-14,11:02:43,50900,28,1425200,Y,open,open,2026-09-18,53500,+5.11,72800
2526,book_envelope_200d,020120,2026-09-15,09:01:48,8730,163,1422990,Y,open,open,2026-09-18,8420,-3.55,-50530
2550,book_envelope_200d,031980,2026-09-16,09:01:40,155500,9,1399500,Y,closed,tp,2026-09-18,171800,+10.48,146700
2483,book_pullback_ma20,025980,2026-09-10,09:38:28,5170,308,1592360,Y,open,open,2026-09-18,5170,+0.00,0
2507,book_pullback_ma20,125490,2026-09-11,11:10:31,10700,151,1615700,Y,closed,tp,2026-09-15,11780,+10.09,163080
2510,book_pullback_ma20,232140,2026-09-11,13:40:50,11550,140,1617000,Y,open,open,2026-09-18,11910,+3.12,50400
2539,book_pullback_ma20,010170,2026-09-15,09:56:16,14050,115,1615750,Y,closed,tp,2026-09-16,15550,+10.68,172500
2568,book_pullback_ma20,413630,2026-09-16,10:39:59,4540,365,1657100,Y,closed,tp,2026-09-16,5020,+10.57,175200
2570,book_pullback_ma20,317400,2026-09-16,11:02:05,10350,160,1656000,Y,open,open,2026-09-18,9960,-3.77,-62400
2587,book_pullback_ma20,003280,2026-09-18,09:03:45,1830,364,666120,Y,open,open,2026-09-18,1803,-1.48,-9828
2472,book_pullback_ma5,012210,2026-09-10,09:04:00,12700,122,1549400,Y,closed,sl,2026-09-10,12310,-3.07,-47580
2476,book_pullback_ma5,289080,2026-09-10,09:09:06,2645,587,1552615,Y,closed,sl,2026-09-14,2565,-3.02,-46960
2479,book_pullback_ma5,023790,2026-09-10,09:14:07,1690,920,1554800,Y,closed,sl,2026-09-10,1629,-3.61,-56120
