arm,lot_id,tier,strategy,code,entry_date,entry_basis,entry_price,qty,qty_basis,notional_won,signal_basis,crash_blocked,lift_time,d5_flags,other_holder_live,buy_id,is_repeat_while_open,open_lot_seq,days_since_open_lot,exit_status,exit_reason,exit_phase,exit_date,exit_price,ret_pct,hold_days,pnl_won,flags
A_sim,AS-0000,main,book_envelope_200d,053260,2026-09-10,D_open,7870,186,actual,1463820,replay,N,,,,2469,N,1,,closed,tp,entry_day,2026-09-10,8657,+10.00,0,146382,
A_sim,AS-0001,main,book_envelope_200d,096770,2026-09-10,D_open,155500,9,actual,1399500,replay,N,,,,2474,N,1,,closed,sl,after0902,2026-09-11,143060,-8.00,1,-111960,
A_sim,AS-0002,main,book_pullback_ma20,025980,2026-09-10,D_open,5190,308,actual,1598520,replay,N,,,,2483,N,1,,open,open,,2026-09-18,5170,-0.39,6,-6160,mark_to_market(마지막 종가)
A_sim,AS-0003,main,book_pullback_ma5,012210,2026-09-10,D_open,13160,122,actual,1605520,replay,N,,,,2472,N,1,,closed,sl,entry_day,2026-09-10,12765.2,-3.00,0,-48166,
A_sim,AS-0004,main,book_pullback_ma5,023790,2026-09-10,band_touch,1698.82,920,actual,1562914,replay,N,,,,2479,N,1,,closed,sl,after0902,2026-09-11,1626,-4.29,1,-66994,entry_day_touch_skipped(진입 시각 불명) · sl_gap_open(라이브는 09:05 이후 가격)
A_sim,AS-0005,main,book_pullback_ma5,289080,2026-09-10,D_open,2590,587,actual,1520330,replay,N,,,,2476,N,1,,closed,sl,after0902,2026-09-16,2512.3,-3.00,4,-45610,
A_sim,AS-0006,main,daytrading_3methods_breakout,115440,2026-09-10,D_open,8370,251,actual,2100870,replay,N,,,,2470,N,1,,closed,tp,after0902,2026-09-11,9207,+10.00,1,210087,
A_sim,AS-0007,main,elder_ema_pullback,005935,2026-09-10,band_touch,200500,2,actual,401000,replay,N,,,,2489,N,1,,closed,sl,after0902,2026-09-14,184460,-8.00,2,-32080,entry_day_touch_skipped(진입 시각 불명)
A_sim,AS-0008,main,elder_ema_pullback,066570,2026-09-10,band_touch,208000,2,actual,416000,replay,N,,,,2481,N,1,,closed,trend_flip,after0902,2026-09-18,202000,-2.88,6,-12000,entry_day_touch_skipped(진입 시각 불명)
A_sim,AS-0009,main,elder_ema_pullback,443060,2026-09-10,band_touch,222000,1,actual,222000,replay,N,,,,2488,N,1,,open,open,,2026-09-18,246000,+10.81,6,24000,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
A_sim,AS-0010,main,minervini_volume_dryup,006360,2026-09-10,D_open,35100,84,actual,2948400,replay,N,,,,2471,N,1,,closed,tp,after0902,2026-09-11,39312,+12.00,1,353808,
A_sim,AS-0011,main,rs_leader,001290,2026-09-10,D_open,4435,123,actual,545505,replay,N,,,,2480,N,1,,closed,sl,entry_day,2026-09-10,4080.2,-8.00,0,-43640,
A_sim,AS-0012,main,rs_leader,049080,2026-09-10,D_open,8670,78,actual,676260,replay,N,,,,2473,N,1,,closed,tp,after0902,2026-09-16,9970.5,+15.00,4,101439,
A_sim,AS-0013,main,rs_leader,060230,2026-09-10,D_open,1326,491,actual,651066,replay,N,,,,2491,N,1,,closed,sl,after0902,2026-09-14,1219.92,-8.00,2,-52085,
A_sim,AS-0014,main,rs_leader,204840,2026-09-10,D_open,4900,138,actual,676200,replay,N,,,,2477,N,1,,closed,sl,after0902,2026-09-11,4508,-8.00,1,-54096,
A_sim,AS-0015,main,book_envelope_200d,131290,2026-09-11,D_open,291000,5,actual,1455000,replay,N,,,,2499,N,1,,closed,sl,entry_day,2026-09-11,267720,-8.00,0,-116400,
