buy_id,strategy,code,date,in_list,band_basis,sim_entry_status,sim_entry_basis,sim_entry_price,actual_buy_time,actual_buy_price,entry_diff_pct,first_tick
2481,elder_ema_pullback,066570,2026-09-10,Y,replay,filled,band_touch,208000,09:30:53,209000,-0.48,N
2488,elder_ema_pullback,443060,2026-09-10,Y,replay,filled,band_touch,222000,13:40:38,222500,-0.22,N
2489,elder_ema_pullback,005935,2026-09-10,Y,replay,filled,band_touch,200500,14:39:16,201000,-0.25,N
2535,elder_ema_pullback,051900,2026-09-15,Y,replay,filled,band_touch,302500,09:11:46,306500,-1.31,N
2537,elder_ema_pullback,192820,2026-09-15,Y,replay,filled,band_touch,282500,09:17:02,282500,+0.00,N
2544,elder_ema_pullback,095340,2026-09-15,Y,replay,filled,band_touch,186800,11:32:52,187000,-0.11,N
2554,elder_ema_pullback,373220,2026-09-16,Y,replay,filled,band_touch,372000,09:06:15,372500,-0.13,N
2572,elder_ema_pullback,036930,2026-09-17,Y,replay,filled,band_touch,204500,09:06:48,206500,-0.97,N
2574,elder_ema_pullback,062040,2026-09-17,Y,replay,filled,D_open,201000,09:12:39,200500,+0.25,N
2582,elder_ema_pullback,005935,2026-09-17,Y,replay,filled,D_open,196500,13:51:16,196000,+0.26,N
2591,elder_ema_pullback,086280,2026-09-18,Y,replay,filled,D_open,208500,09:07:08,207500,+0.48,N
2469,book_envelope_200d,053260,2026-09-10,Y,replay,filled,D_open,7870,09:01:38,7940,-0.88,Y
2474,book_envelope_200d,096770,2026-09-10,Y,replay,filled,D_open,155500,09:06:36,157000,-0.96,N
2499,book_envelope_200d,131290,2026-09-11,Y,replay,filled,D_open,291000,09:25:38,289000,+0.69,N
2517,book_envelope_200d,098120,2026-09-14,Y,replay,filled,D_open,53200,11:02:43,50900,+4.52,N
2526,book_envelope_200d,020120,2026-09-15,Y,replay,filled,D_open,8990,09:01:48,8730,+2.98,Y
2550,book_envelope_200d,031980,2026-09-16,Y,replay,filled,D_open,158900,09:01:40,155500,+2.19,Y
2470,daytrading_3methods_breakout,115440,2026-09-10,Y,replay,filled,D_open,8370,09:02:14,7930,+5.55,Y
2493,daytrading_3methods_breakout,006880,2026-09-11,Y,replay,filled,band_touch,4871.9,09:01:50,4850,+0.45,Y
2496,daytrading_3methods_breakout,117580,2026-09-11,Y,replay,filled,band_touch,7735.3,09:16:30,7620,+1.51,N
2511,daytrading_3methods_breakout,0015S0,2026-09-14,Y,replay,filled,D_open,8100,09:02:21,7940,+2.02,Y
2546,daytrading_3methods_breakout,005160,2026-09-15,Y,replay,filled,D_open,3095,13:01:38,2945,+5.09,N
2549,daytrading_3methods_breakout,411080,2026-09-15,Y,replay,filled,band_touch,7107,15:07:56,6880,+3.30,N
2559,daytrading_3methods_breakout,036220,2026-09-16,Y,replay,filled,D_open,7100,09:12:53,7120,-0.28,N
2565,daytrading_3methods_breakout,372910,2026-09-16,Y,replay,filled,D_open,2015,09:44:47,1960,+2.81,N
2579,daytrading_3methods_breakout,024900,2026-09-17,Y,replay,filled,D_open,1944,10:59:21,1895,+2.59,N
2585,daytrading_3methods_breakout,209640,2026-09-18,Y,replay,filled,D_open,3820,09:02:13,3695,+3.38,Y
2600,daytrading_3methods_breakout,072990,2026-09-18,Y,replay,filled,D_open,3225,09:27:22,3155,+2.22,N
2601,daytrading_3methods_breakout,042370,2026-09-18,Y,replay,filled,D_open,11450,09:33:40,11150,+2.69,N
2602,daytrading_3methods_breakout,396270,2026-09-18,Y,replay,filled,D_open,2440,09:39:49,2360,+3.39,N
2471,minervini_volume_dryup,006360,2026-09-10,Y,replay,filled,D_open,35100,09:02:50,35300,-0.57,Y
2586,minervini_volume_dryup,002990,2026-09-18,Y,replay,filled,D_open,13450,09:02:59,13750,-2.18,Y
2483,book_pullback_ma20,025980,2026-09-10,Y,replay,filled,D_open,5190,09:38:28,5170,+0.39,N
2507,book_pullback_ma20,125490,2026-09-11,Y,replay,filled,D_open,10650,11:10:31,10700,-0.47,N
2510,book_pullback_ma20,232140,2026-09-11,Y,replay,filled,D_open,11820,13:40:50,11550,+2.34,N
2539,book_pullback_ma20,010170,2026-09-15,Y,replay,filled,D_open,14410,09:56:16,14050,+2.56,N
2568,book_pullback_ma20,413630,2026-09-16,Y,replay,filled,D_open,4480,10:39:59,4540,-1.32,N
2570,book_pullback_ma20,317400,2026-09-16,Y,replay,filled,D_open,11130,11:02:05,10350,+7.54,N
2587,book_pullback_ma20,003280,2026-09-18,Y,replay,filled,D_open,1817,09:03:45,1830,-0.71,Y
2472,book_pullback_ma5,012210,2026-09-10,Y,replay,filled,D_open,13160,09:04:00,12700,+3.62,Y
2476,book_pullback_ma5,289080,2026-09-10,Y,replay,filled,D_open,2590,09:09:06,2645,-2.08,N
2479,book_pullback_ma5,023790,2026-09-10,Y,replay,filled,band_touch,1698.82,09:14:07,1690,+0.52,N
2497,book_pullback_ma5,388050,2026-09-11,Y,replay,filled,D_open,10920,09:23:10,11250,-2.93,N
2500,book_pullback_ma5,092790,2026-09-11,Y,replay,filled,D_open,14360,09:28:07,14400,-0.28,N
2518,book_pullback_ma5,452190,2026-09-14,Y,replay,filled,D_open,5030,11:05:11,5120,-1.76,N
2520,book_pullback_ma5,413630,2026-09-14,Y,replay,filled,D_open,4130,11:10:07,4130,+0.00,N
2527,book_pullback_ma5,036540,2026-09-15,Y,replay,filled,D_open,7460,09:04:20,7550,-1.19,Y
2533,book_pullback_ma5,950250,2026-09-15,Y,replay,filled,D_open,3585,09:09:39,3585,+0.00,N
2541,book_pullback_ma5,452260,2026-09-15,Y,replay,filled,D_open,2635,10:34:10,2615,+0.76,N
2551,book_pullback_ma5,004310,2026-09-16,Y,replay,filled,D_open,10190,09:04:04,10100,+0.89,Y
2557,book_pullback_ma5,003350,2026-09-16,Y,replay,filled,D_open,14680,09:09:35,14800,-0.81,N
2560,book_pullback_ma5,073010,2026-09-16,Y,replay,filled,band_touch,3535,09:14:44,3410,+3.67,N
2562,book_pullback_ma5,053300,2026-09-16,Y,replay,filled,D_open,5500,09:19:56,5370,+2.42,N
2577,book_pullback_ma5,046970,2026-09-17,Y,replay,filled,band_touch,7312.4,09:22:03,7050,+3.72,N
2581,book_pullback_ma5,072950,2026-09-17,Y,replay,filled,band_touch,13665.3,11:19:06,13150,+3.92,N
2595,book_pullback_ma5,067290,2026-09-18,Y,replay,filled,band_touch,3595.6,09:11:01,3470,+3.62,N
2597,book_pullback_ma5,004310,2026-09-18,Y,replay,filled,band_touch,10605,09:17:25,10250,+3.46,N
2473,rs_leader,049080,2026-09-10,Y,replay,filled,D_open,8670,09:04:38,8460,+2.48,Y
2477,rs_leader,204840,2026-09-10,Y,replay,filled,D_open,4900,09:09:44,4810,+1.87,N
2480,rs_leader,001290,2026-09-10,Y,replay,filled,D_open,4435,09:14:43,4235,+4.72,N
2491,rs_leader,060230,2026-09-10,Y,replay,filled,D_open,1326,15:17:18,1290,+2.79,N
2498,rs_leader,351320,2026-09-11,Y,replay,filled,D_open,4000,09:23:46,4085,-2.08,N
2502,rs_leader,069540,2026-09-11,Y,replay,filled,D_open,3810,09:38:44,3855,-1.17,N
2519,rs_leader,067390,2026-09-14,Y,replay,filled,D_open,6280,11:05:48,6380,-1.57,N
2521,rs_leader,060570,2026-09-14,Y,replay,filled,D_open,4870,11:10:47,4940,-1.42,N
2528,rs_leader,001210,2026-09-15,Y,replay,filled,band_touch,11093.1,09:04:57,10800,+2.71,Y
2534,rs_leader,184230,2026-09-15,Y,replay,filled,band_touch,2374.15,09:10:22,2265,+4.82,N
2553,rs_leader,017900,2026-09-16,Y,replay,filled,D_open,10500,09:04:44,10250,+2.44,Y
2558,rs_leader,140430,2026-09-16,Y,replay,filled,D_open,2645,09:10:15,2765,-4.34,N
2561,rs_leader,079650,2026-09-16,Y,replay,filled,band_touch,6664.1,09:15:25,6550,+1.74,N
2563,rs_leader,024850,2026-09-16,Y,replay,filled,D_open,15750,09:20:39,15850,-0.63,N
2571,rs_leader,351320,2026-09-17,Y,replay,filled,D_open,3860,09:05:14,3780,+2.12,N
2573,rs_leader,064290,2026-09-17,Y,replay,filled,D_open,50100,09:11:10,48650,+2.98,N
2575,rs_leader,092190,2026-09-17,Y,replay,filled,band_touch,9043.4,09:16:53,8800,+2.77,N
2596,rs_leader,00088K,2026-09-18,Y,replay,filled,D_open,42550,09:11:51,41850,+1.67,N
2598,rs_leader,024840,2026-09-18,Y,replay,filled,D_open,5950,09:18:10,6000,-0.83,N
