date,strategy,mode,code,list_pos,slot_state,slot_state_v2,eval_v1,signal_replay,replay_reason,signal_log,signal_log_v1,signal_log_v2,n_evals,first_ts,last_ts,outcome,outcome_v1,outcome_v2,no_slot_but_log_y,no_slot_but_log_y_v2,reasons_equal,ref_equal,receipt_ref,replay_ref,signal_basis,vol_ratio,vol_threshold,rule_margin_pct,vintage_fragile
2026-09-10,elder_ema_pullback,,009150,1,slot_available,slot_available,Y,N,rule_not_met,N,N,N,,,,agree_N,agree_N,agree_N,N,N,,,,,log,,,,
2026-09-10,elder_ema_pullback,,006400,2,slot_available,slot_available,Y,Y,triple_screen_ema_pullback low=525000<=ema13*1.02 close=5740,Y,Y,Y,69,09:05:54,14:39:15,agree_Y,agree_Y,agree_Y,N,N,Y,Y,574000,574000,log,,,,
2026-09-10,elder_ema_pullback,,009155,3,slot_available,slot_available,Y,N,rule_not_met,N,N,N,,,,agree_N,agree_N,agree_N,N,N,,,,,log,,,,
2026-09-10,elder_ema_pullback,,128940,4,slot_available,slot_available,Y,Y,triple_screen_ema_pullback low=461500<=ema13*1.02 close=4945,Y,Y,Y,69,09:05:54,14:39:15,agree_Y,agree_Y,agree_Y,N,N,Y,Y,494500,494500,log,,,,
2026-09-10,elder_ema_pullback,,028260,5,slot_available,slot_available,Y,N,rule_not_met,N,N,N,,,,agree_N,agree_N,agree_N,N,N,,,,,log,,,,
2026-09-10,elder_ema_pullback,,443060,6,bought,bought,Y,Y,triple_screen_ema_pullback low=207500<=ema13*1.02 close=2105,Y,Y,Y,57,09:05:54,13:40:38,agree_Y,agree_Y,agree_Y,N,N,Y,Y,210500,210500,log,,,,
2026-09-10,elder_ema_pullback,,066570,7,bought,bought,Y,Y,triple_screen_ema_pullback low=201500<=ema13*1.02 close=2045,Y,Y,Y,6,09:05:55,09:30:52,agree_Y,agree_Y,agree_Y,N,N,Y,Y,204500,204500,log,,,,
2026-09-10,elder_ema_pullback,,005935,8,bought,bought,Y,Y,triple_screen_ema_pullback low=195600<=ema13*1.02 close=1975,Y,Y,Y,69,09:05:55,14:39:15,agree_Y,agree_Y,agree_Y,N,N,Y,Y,197500,197500,log,,,,
2026-09-10,elder_ema_pullback,,003670,9,held,held,N,Y,triple_screen_ema_pullback low=180600<=ema13*1.02 close=1921,NA,NA,NA,,,,na,na,na,N,N,,,,192100,replay,,,,
2026-09-10,elder_ema_pullback,,105560,10,held,held,N,Y,triple_screen_ema_pullback low=171600<=ema13*1.02 close=1720,NA,NA,NA,,,,na,na,na,N,N,,,,172000,replay,,,,
2026-09-10,book_envelope_200d,,096770,1,bought,bought,Y,Y,envelope_200d_high close=153500 >= env_upper=145167 200d_hig,Y,Y,Y,2,09:01:37,09:06:36,agree_Y,agree_Y,agree_Y,N,N,Y,Y,153500,153500,log,,,,
2026-09-10,book_envelope_200d,,053260,2,bought,bought,N,Y,envelope_200d_high close=7990 >= env_upper=6652 200d_high vo,Y,Y,Y,1,09:01:37,09:01:37,agree_Y,agree_Y,agree_Y,N,N,Y,Y,7990,7990,log,,,,
2026-09-10,daytrading_3methods_breakout,,115440,1,bought,bought,Y,Y,breakout_prev_high close=8200.00 prior20_high=7790.00 vol=25,Y,Y,Y,1,09:02:14,09:02:14,agree_Y,agree_Y,agree_Y,N,N,N,Y,8200,8200,log,39.9024,2,+1895.12,
2026-09-10,daytrading_3methods_breakout,,100590,2,no_slot,no_slot,Y,Y,breakout_prev_high close=4355.00 prior20_high=3980.00 vol=37,NA,N,NA,,,,na,replay_only,na,N,N,,,,4355,replay,30.6722,2,+1433.61,N
2026-09-10,daytrading_3methods_breakout,,014280,3,no_slot,no_slot,Y,Y,breakout_prev_high close=4745.00 prior20_high=4660.00 vol=33,NA,N,NA,,,,na,replay_only,na,N,N,,,,4745,replay,29.4657,2,+1373.29,N
2026-09-10,daytrading_3methods_breakout,,010580,4,no_slot,no_slot,Y,Y,breakout_prev_high close=2540.00 prior20_high=2200.00 vol=19,NA,N,NA,,,,na,replay_only,na,N,N,,,,2540,replay,16.115,2,+705.75,N
2026-09-10,daytrading_3methods_breakout,,012210,5,no_slot,no_slot,Y,Y,breakout_prev_high close=13030.00 prior20_high=10970.00 vol=,NA,N,NA,,,,na,replay_only,na,N,N,,,,13030,replay,10.9448,2,+447.24,N
