date,strategy,code,stage,result,n,first_ts,last_ts,basis
2026-09-10,elder_ema_pullback,009150,candidate,Y,1,,,e6
2026-09-10,elder_ema_pullback,009150,signal,N,,,,log
2026-09-10,elder_ema_pullback,006400,candidate,Y,1,,,e6
2026-09-10,elder_ema_pullback,006400,signal,Y,69,09:05:54,14:39:15,log
2026-09-10,elder_ema_pullback,006400,gate,buy_stop,69,09:05:54,14:39:15,log
2026-09-10,elder_ema_pullback,009155,candidate,Y,1,,,e6
2026-09-10,elder_ema_pullback,009155,signal,N,,,,log
2026-09-10,elder_ema_pullback,128940,candidate,Y,1,,,e6
2026-09-10,elder_ema_pullback,128940,signal,Y,69,09:05:54,14:39:15,log
2026-09-10,elder_ema_pullback,128940,gate,buy_stop,69,09:05:54,14:39:15,log
2026-09-10,elder_ema_pullback,028260,candidate,Y,1,,,e6
2026-09-10,elder_ema_pullback,028260,signal,N,,,,log
2026-09-10,elder_ema_pullback,443060,candidate,Y,1,,,e6
2026-09-10,elder_ema_pullback,443060,signal,Y,57,09:05:54,13:40:38,log
2026-09-10,elder_ema_pullback,443060,gate,buy_stop,56,09:05:55,13:35:52,log
2026-09-10,elder_ema_pullback,443060,fill,Y,1,13:40:38,13:40:38,vtr
2026-09-10,elder_ema_pullback,066570,candidate,Y,1,,,e6
2026-09-10,elder_ema_pullback,066570,signal,Y,6,09:05:55,09:30:52,log
2026-09-10,elder_ema_pullback,066570,gate,buy_stop,5,09:05:55,09:25:53,log
2026-09-10,elder_ema_pullback,066570,fill,Y,1,09:30:53,09:30:53,vtr
2026-09-10,elder_ema_pullback,005935,candidate,Y,1,,,e6
2026-09-10,elder_ema_pullback,005935,signal,Y,69,09:05:55,14:39:15,log
2026-09-10,elder_ema_pullback,005935,gate,buy_stop,68,09:05:55,14:34:18,log
2026-09-10,elder_ema_pullback,005935,fill,Y,1,14:39:16,14:39:16,vtr
2026-09-10,elder_ema_pullback,003670,candidate,Y,1,,,e6
2026-09-10,elder_ema_pullback,003670,signal,replay:Y,,,,replay
2026-09-10,elder_ema_pullback,003670,held,Y,,,,timeline
2026-09-10,elder_ema_pullback,105560,candidate,Y,1,,,e6
2026-09-10,elder_ema_pullback,105560,signal,replay:Y,,,,replay
2026-09-10,elder_ema_pullback,105560,held,Y,,,,timeline
2026-09-10,book_envelope_200d,096770,candidate,Y,1,,,e6
2026-09-10,book_envelope_200d,096770,signal,Y,2,09:01:37,09:06:36,log
2026-09-10,book_envelope_200d,096770,gate,band_above,1,09:01:37,09:01:37,log
2026-09-10,book_envelope_200d,096770,fill,Y,1,09:06:36,09:06:36,vtr
2026-09-10,book_envelope_200d,053260,candidate,Y,1,,,e6
2026-09-10,book_envelope_200d,053260,signal,Y,1,09:01:37,09:01:37,log
2026-09-10,book_envelope_200d,053260,fill,Y,1,09:01:38,09:01:38,vtr
2026-09-10,daytrading_3methods_breakout,115440,candidate,Y,1,,,e6
2026-09-10,daytrading_3methods_breakout,115440,signal,Y,1,09:02:14,09:02:14,log
2026-09-10,daytrading_3methods_breakout,115440,fill,Y,1,09:02:14,09:02:14,vtr
2026-09-10,daytrading_3methods_breakout,100590,candidate,Y,1,,,e6
2026-09-10,daytrading_3methods_breakout,100590,signal,replay:Y,,,,replay
2026-09-10,daytrading_3methods_breakout,100590,cap,no_slot,,,,timeline
2026-09-10,daytrading_3methods_breakout,014280,candidate,Y,1,,,e6
2026-09-10,daytrading_3methods_breakout,014280,signal,replay:Y,,,,replay
2026-09-10,daytrading_3methods_breakout,014280,cap,no_slot,,,,timeline
2026-09-10,daytrading_3methods_breakout,010580,candidate,Y,1,,,e6
2026-09-10,daytrading_3methods_breakout,010580,signal,replay:Y,,,,replay
2026-09-10,daytrading_3methods_breakout,010580,cap,no_slot,,,,timeline
2026-09-10,daytrading_3methods_breakout,012210,candidate,Y,1,,,e6
2026-09-10,daytrading_3methods_breakout,012210,signal,replay:Y,,,,replay
2026-09-10,daytrading_3methods_breakout,012210,cap,no_slot,,,,timeline
2026-09-10,daytrading_3methods_breakout,126600,candidate,Y,1,,,e6
2026-09-10,daytrading_3methods_breakout,126600,signal,replay:Y,,,,replay
2026-09-10,daytrading_3methods_breakout,126600,cap,no_slot,,,,timeline
2026-09-10,daytrading_3methods_breakout,162300,candidate,Y,1,,,e6
2026-09-10,daytrading_3methods_breakout,162300,signal,replay:Y,,,,replay
2026-09-10,daytrading_3methods_breakout,162300,cap,no_slot,,,,timeline
2026-09-10,daytrading_3methods_breakout,053260,candidate,Y,1,,,e6
2026-09-10,daytrading_3methods_breakout,053260,signal,replay:Y,,,,replay
