buy_id,strategy,code,buy_date,buy_time,buy_price,qty,notional_won,in_list,exit_status,exit_reason,exit_date,exit_price,ret_pct,pnl_won
2627,book_envelope_200d,010580,2026-09-22,09:01:46,2780,525,1459500,Y,open,open,2026-09-23,2765,-0.54,-7875
2636,book_envelope_200d,252990,2026-09-22,09:09:04,17700,82,1451400,Y,open,open,2026-09-23,17930,+1.30,18860
2642,book_envelope_200d,098120,2026-09-22,09:15:33,57900,25,1447500,Y,open,open,2026-09-23,58000,+0.17,2500
2614,book_pullback_ma20,018000,2026-09-21,09:16:05,1240,697,864280,Y,open,open,2026-09-23,1290,+4.03,34850
2617,book_pullback_ma20,006340,2026-09-21,09:22:32,13600,63,856800,Y,open,open,2026-09-23,13490,-0.81,-6930
2618,book_pullback_ma20,388050,2026-09-21,09:28:18,10400,5,52000,Y,closed,tp,2026-09-22,11500,+10.58,5500
2619,book_pullback_ma20,014990,2026-09-21,09:34:28,4180,1,4180,Y,open,open,2026-09-23,4310,+3.11,130
2629,book_pullback_ma20,232140,2026-09-22,09:04:16,14100,61,860100,Y,closed,tp,2026-09-22,15540,+10.21,87840
2638,book_pullback_ma20,071090,2026-09-22,09:11:36,3265,265,865225,Y,closed,tp,2026-09-22,3615,+10.72,92750
2644,book_pullback_ma20,382800,2026-09-22,09:17:54,5340,162,865080,Y,open,open,2026-09-23,5250,-1.69,-14580
2659,book_pullback_ma20,024060,2026-09-23,09:03:38,12450,71,883950,Y,open,open,2026-09-23,12360,-0.72,-6390
2665,book_pullback_ma20,025980,2026-09-23,09:09:54,5280,168,887040,Y,open,open,2026-09-23,5220,-1.14,-10080
2669,book_pullback_ma20,187660,2026-09-23,09:16:10,6550,113,740150,Y,open,open,2026-09-23,6630,+1.22,9040
2604,book_pullback_ma5,115440,2026-09-21,09:04:24,10250,164,1681000,Y,closed,sl,2026-09-21,9940,-3.02,-50840
2611,book_pullback_ma5,203650,2026-09-21,09:10:43,2765,609,1683885,Y,closed,sl,2026-09-21,2680,-3.07,-51765
2631,book_pullback_ma5,036540,2026-09-22,09:05:12,10650,153,1629450,Y,closed,sl,2026-09-22,10300,-3.29,-53550
2639,book_pullback_ma5,332570,2026-09-22,09:12:25,9100,179,1628900,Y,closed,sl,2026-09-22,8770,-3.63,-59070
2645,book_pullback_ma5,030530,2026-09-22,09:18:41,26600,61,1622600,Y,open,open,2026-09-23,28300,+6.39,103700
2647,book_pullback_ma5,125490,2026-09-22,09:25:15,12650,129,1631850,Y,closed,sl,2026-09-23,12270,-3.00,-49020
2660,book_pullback_ma5,321370,2026-09-23,09:04:23,1705,945,1611225,Y,closed,tp,2026-09-23,1991,+16.77,270270
2666,book_pullback_ma5,457370,2026-09-23,09:10:43,11350,142,1611700,Y,open,open,2026-09-23,11290,-0.53,-8520
2670,book_pullback_ma5,217590,2026-09-23,09:16:57,14650,110,1611500,Y,closed,sl,2026-09-23,14200,-3.07,-49500
2628,daytrading_3methods_breakout,099750,2026-09-22,09:02:37,7500,142,1065000,Y,open,open,2026-09-23,7230,-3.60,-38340
2637,daytrading_3methods_breakout,223250,2026-09-22,09:09:49,3410,313,1067330,Y,open,open,2026-09-23,3290,-3.52,-37560
2643,daytrading_3methods_breakout,086960,2026-09-22,09:16:19,2090,512,1070080,Y,open,open,2026-09-23,2045,-2.15,-23040
2658,daytrading_3methods_breakout,303810,2026-09-23,09:02:07,3095,241,745895,Y,closed,sl,2026-09-23,2785,-10.02,-74710
2679,daytrading_3methods_breakout,299170,2026-09-23,12:19:59,1380,521,718980,Y,open,open,2026-09-23,1361,-1.38,-9899
2681,daytrading_3methods_breakout,051370,2026-09-23,12:51:46,6980,96,670080,Y,open,open,2026-09-23,7000,+0.29,1920
2635,deep_mr_dev20,475830,2026-09-22,09:07:29,26350,48,1264800,Y,closed,sl,2026-09-22,24500,-7.02,-88800
2663,deep_mr_dev20,298380,2026-09-23,09:06:04,50200,25,1255000,Y,open,open,2026-09-23,50800,+1.20,15000
2674,deep_mr_dev20,475830,2026-09-23,09:31:41,25650,49,1256850,Y,open,open,2026-09-23,25000,-2.53,-31850
2641,elder_ema_pullback,131290,2026-09-22,09:14:43,270500,1,270500,Y,open,open,2026-09-23,289000,+6.84,18500
2653,elder_ema_pullback,108490,2026-09-22,11:43:11,311500,1,311500,Y,open,open,2026-09-23,301000,-3.37,-10500
2668,elder_ema_pullback,010950,2026-09-23,09:13:04,157500,2,315000,Y,open,open,2026-09-23,155600,-1.21,-3800
2675,elder_ema_pullback,357780,2026-09-23,09:39:21,348000,1,348000,Y,open,open,2026-09-23,370000,+6.32,22000
2612,rs_leader,032580,2026-09-21,09:11:33,5830,110,641300,Y,closed,tp,2026-09-22,6730,+15.44,99000
2616,rs_leader,000500,2026-09-21,09:17:45,320000,2,640000,Y,open,open,2026-09-23,318500,-0.47,-3000
2632,rs_leader,017900,2026-09-22,09:06:22,10400,62,644800,Y,open,open,2026-09-23,9880,-5.00,-32240
2640,rs_leader,020120,2026-09-22,09:13:12,8160,79,644640,Y,closed,sl,2026-09-22,7470,-8.46,-54510
2662,rs_leader,032580,2026-09-23,09:05:13,6510,101,657510,Y,open,open,2026-09-23,7020,+7.83,51510
2667,rs_leader,064290,2026-09-23,09:11:30,55200,11,607200,Y,open,open,2026-09-23,54800,-0.72,-4400
2671,rs_leader,024840,2026-09-23,09:17:43,6480,101,654480,Y,open,open,2026-09-23,6350,-2.01,-13130
2673,rs_leader,001820,2026-09-23,09:24:15,147500,4,590000,Y,open,open,2026-09-23,146900,-0.41,-2400
