arm,lot_id,tier,strategy,code,entry_date,entry_basis,entry_price,qty,qty_basis,notional_won,signal_basis,crash_blocked,lift_time,d5_flags,other_holder_live,buy_id,is_repeat_while_open,open_lot_seq,days_since_open_lot,exit_status,exit_reason,exit_phase,exit_date,exit_price,ret_pct,hold_days,pnl_won,flags
A_sim,AS-0000,main,book_pullback_ma20,006340,2026-09-21,D_open,14000,63,actual,882000,replay,N,,,,2617,N,1,,open,open,,2026-09-23,13490,-3.64,2,-32130,mark_to_market(마지막 종가)
A_sim,AS-0001,main,book_pullback_ma20,014990,2026-09-21,D_open,4090,1,actual,4090,replay,N,,,,2619,N,1,,open,open,,2026-09-23,4310,+5.38,2,220,mark_to_market(마지막 종가)
A_sim,AS-0002,main,book_pullback_ma20,018000,2026-09-21,D_open,1256,697,actual,875432,replay,N,,,,2614,N,1,,open,open,,2026-09-23,1290,+2.71,2,23698,mark_to_market(마지막 종가)
A_sim,AS-0003,main,book_pullback_ma20,388050,2026-09-21,band_touch,10584.8,5,actual,52924,replay,N,,,,2618,N,1,,open,open,,2026-09-23,10280,-2.88,2,-1524,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
A_sim,AS-0004,main,book_pullback_ma5,115440,2026-09-21,D_open,10240,164,actual,1679360,replay,N,,,,2604,N,1,,closed,sl,entry_day,2026-09-21,9932.8,-3.00,0,-50381,
A_sim,AS-0005,main,book_pullback_ma5,203650,2026-09-21,D_open,2830,609,actual,1723470,replay,N,,,,2611,N,1,,closed,sl,entry_day,2026-09-21,2745.1,-3.00,0,-51704,
A_sim,AS-0006,main,rs_leader,000500,2026-09-21,D_open,324000,2,actual,648000,replay,N,,,,2616,N,1,,open,open,,2026-09-23,318500,-1.70,2,-11000,mark_to_market(마지막 종가)
A_sim,AS-0007,main,rs_leader,032580,2026-09-21,D_open,5600,110,actual,616000,replay,N,,,,2612,N,1,,closed,tp,entry_day,2026-09-21,6440,+15.00,0,92400,
A_sim,AS-0008,main,book_envelope_200d,010580,2026-09-22,D_open,2785,525,actual,1462125,replay,N,,,,2627,N,1,,open,open,,2026-09-23,2765,-0.72,1,-10500,mark_to_market(마지막 종가)
A_sim,AS-0009,main,book_envelope_200d,098120,2026-09-22,D_open,58500,25,actual,1462500,replay,N,,,,2642,N,1,,open,open,,2026-09-23,58000,-0.85,1,-12500,mark_to_market(마지막 종가)
A_sim,AS-0010,main,book_envelope_200d,252990,2026-09-22,D_open,18300,82,actual,1500600,replay,N,,,,2636,N,1,,open,open,,2026-09-23,17930,-2.02,1,-30340,mark_to_market(마지막 종가)
A_sim,AS-0011,main,book_pullback_ma20,071090,2026-09-22,D_open,3235,265,actual,857275,replay,N,,,,2638,N,1,,closed,tp,entry_day,2026-09-22,3558.5,+10.00,0,85728,
A_sim,AS-0012,main,book_pullback_ma20,232140,2026-09-22,D_open,14310,61,actual,872910,replay,N,,,,2629,N,1,,open,open,,2026-09-23,14250,-0.42,1,-3660,mark_to_market(마지막 종가)
A_sim,AS-0013,main,book_pullback_ma20,382800,2026-09-22,band_touch,5403.5,162,actual,875367,replay,N,,,,2644,N,1,,open,open,,2026-09-23,5250,-2.84,1,-24867,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
A_sim,AS-0014,main,book_pullback_ma5,030530,2026-09-22,D_open,27100,61,actual,1653100,replay,N,,,,2645,N,1,,open,open,,2026-09-23,28300,+4.43,1,73200,mark_to_market(마지막 종가)
A_sim,AS-0015,main,book_pullback_ma5,036540,2026-09-22,band_touch,10655.5,153,actual,1630292,replay,N,,,,2631,N,1,,closed,sl,after0902,2026-09-23,10335.83,-3.00,1,-48909,entry_day_touch_skipped(진입 시각 불명)
