buy_id,strategy,code,date,in_list,band_basis,sim_entry_status,sim_entry_basis,sim_entry_price,actual_buy_time,actual_buy_price,entry_diff_pct,first_tick
2641,elder_ema_pullback,131290,2026-09-22,Y,replay,filled,D_open,275000,09:14:43,270500,+1.66,N
2653,elder_ema_pullback,108490,2026-09-22,Y,replay,filled,band_touch,311500,11:43:11,311500,+0.00,N
2668,elder_ema_pullback,010950,2026-09-23,Y,replay,filled,band_touch,157000,09:13:04,157500,-0.32,N
2675,elder_ema_pullback,357780,2026-09-23,Y,replay,filled,band_touch,348000,09:39:21,348000,+0.00,N
2627,book_envelope_200d,010580,2026-09-22,Y,replay,filled,D_open,2785,09:01:46,2780,+0.18,Y
2636,book_envelope_200d,252990,2026-09-22,Y,replay,filled,D_open,18300,09:09:04,17700,+3.39,N
2642,book_envelope_200d,098120,2026-09-22,Y,replay,filled,D_open,58500,09:15:33,57900,+1.04,N
2628,daytrading_3methods_breakout,099750,2026-09-22,Y,replay,filled,D_open,7670,09:02:37,7500,+2.27,Y
2637,daytrading_3methods_breakout,223250,2026-09-22,Y,replay,filled,D_open,3630,09:09:49,3410,+6.45,N
2643,daytrading_3methods_breakout,086960,2026-09-22,Y,replay,filled,D_open,2155,09:16:19,2090,+3.11,N
2658,daytrading_3methods_breakout,303810,2026-09-23,Y,replay,filled,band_touch,3126.05,09:02:07,3095,+1.00,Y
2679,daytrading_3methods_breakout,299170,2026-09-23,Y,replay,filled,D_open,1588,12:19:59,1380,+15.07,N
2681,daytrading_3methods_breakout,051370,2026-09-23,Y,replay,filled,D_open,7150,12:51:46,6980,+2.44,N
2614,book_pullback_ma20,018000,2026-09-21,Y,replay,filled,D_open,1256,09:16:05,1240,+1.29,N
2617,book_pullback_ma20,006340,2026-09-21,Y,replay,filled,D_open,14000,09:22:32,13600,+2.94,N
2618,book_pullback_ma20,388050,2026-09-21,Y,replay,filled,band_touch,10584.8,09:28:18,10400,+1.78,N
2619,book_pullback_ma20,014990,2026-09-21,Y,replay,filled,D_open,4090,09:34:28,4180,-2.15,N
2629,book_pullback_ma20,232140,2026-09-22,Y,replay,filled,D_open,14310,09:04:16,14100,+1.49,Y
2638,book_pullback_ma20,071090,2026-09-22,Y,replay,filled,D_open,3235,09:11:36,3265,-0.92,N
2644,book_pullback_ma20,382800,2026-09-22,Y,replay,filled,band_touch,5403.5,09:17:54,5340,+1.19,N
2659,book_pullback_ma20,024060,2026-09-23,Y,replay,filled,D_open,12530,09:03:38,12450,+0.64,Y
2665,book_pullback_ma20,025980,2026-09-23,Y,replay,filled,D_open,5400,09:09:54,5280,+2.27,N
2669,book_pullback_ma20,187660,2026-09-23,Y,replay,filled,D_open,6600,09:16:10,6550,+0.76,N
2604,book_pullback_ma5,115440,2026-09-21,Y,replay,filled,D_open,10240,09:04:24,10250,-0.10,Y
2611,book_pullback_ma5,203650,2026-09-21,Y,replay,filled,D_open,2830,09:10:43,2765,+2.35,N
2631,book_pullback_ma5,036540,2026-09-22,Y,replay,filled,band_touch,10655.5,09:05:12,10650,+0.05,N
2639,book_pullback_ma5,332570,2026-09-22,Y,replay,filled,band_touch,9393,09:12:25,9100,+3.22,N
2645,book_pullback_ma5,030530,2026-09-22,Y,replay,filled,D_open,27100,09:18:41,26600,+1.88,N
2647,book_pullback_ma5,125490,2026-09-22,Y,replay,filled,D_open,12530,09:25:15,12650,-0.95,N
2660,book_pullback_ma5,321370,2026-09-23,Y,replay,filled,D_open,1727,09:04:23,1705,+1.29,Y
2666,book_pullback_ma5,457370,2026-09-23,Y,replay,filled,band_touch,11514,09:10:43,11350,+1.44,N
2670,book_pullback_ma5,217590,2026-09-23,Y,replay,filled,D_open,14650,09:16:57,14650,+0.00,N
2612,rs_leader,032580,2026-09-21,Y,replay,filled,D_open,5600,09:11:33,5830,-3.95,N
2616,rs_leader,000500,2026-09-21,Y,replay,filled,D_open,324000,09:17:45,320000,+1.25,N
2632,rs_leader,017900,2026-09-22,Y,replay,filled,D_open,10570,09:06:22,10400,+1.63,N
2640,rs_leader,020120,2026-09-22,Y,replay,filled,D_open,8110,09:13:12,8160,-0.61,N
2662,rs_leader,032580,2026-09-23,Y,replay,filled,D_open,6460,09:05:13,6510,-0.77,N
2667,rs_leader,064290,2026-09-23,Y,replay,filled,D_open,56200,09:11:30,55200,+1.81,N
2671,rs_leader,024840,2026-09-23,Y,replay,filled,band_touch,6622.9,09:17:43,6480,+2.21,N
2673,rs_leader,001820,2026-09-23,Y,replay,filled,D_open,151200,09:24:15,147500,+2.51,N
2635,deep_mr_dev20,475830,2026-09-22,Y,replay,filled,D_open,27100,09:07:29,26350,+2.85,N
2663,deep_mr_dev20,298380,2026-09-23,Y,replay,filled,D_open,49700,09:06:04,50200,-1.00,N
2674,deep_mr_dev20,475830,2026-09-23,Y,replay,filled,D_open,25550,09:31:41,25650,-0.39,N
