date,strategy,mode,code,list_pos,slot_state,slot_state_v2,eval_v1,signal_replay,replay_reason,signal_log,signal_log_v1,signal_log_v2,n_evals,first_ts,last_ts,outcome,outcome_v1,outcome_v2,no_slot_but_log_y,no_slot_but_log_y_v2,reasons_equal,ref_equal,receipt_ref,replay_ref,signal_basis,vol_ratio,vol_threshold,rule_margin_pct,vintage_fragile
2026-09-21,elder_ema_pullback,,012450,1,slot_available,slot_available,Y,Y,triple_screen_ema_pullback low=1078000<=ema13*1.02 close=107,Y,Y,Y,66,09:06:58,15:29:46,agree_Y,agree_Y,agree_Y,N,N,Y,Y,1078000,1078000,log,,,,
2026-09-21,elder_ema_pullback,,039030,2,slot_available,slot_available,Y,Y,triple_screen_ema_pullback low=450000<=ema13*1.02 close=4535,Y,Y,Y,66,09:06:58,15:29:46,agree_Y,agree_Y,agree_Y,N,N,Y,Y,453500,453500,log,,,,
2026-09-21,elder_ema_pullback,,373220,3,held,held,N,Y,triple_screen_ema_pullback low=362000<=ema13*1.02 close=3640,NA,NA,NA,,,,na,na,na,N,N,,,,364000,replay,,,,
2026-09-21,elder_ema_pullback,,108490,4,slot_available,slot_available,Y,Y,triple_screen_ema_pullback low=304500<=ema13*1.02 close=3065,Y,Y,Y,66,09:06:58,15:29:46,agree_Y,agree_Y,agree_Y,N,N,Y,Y,306500,306500,log,,,,
2026-09-21,elder_ema_pullback,,064760,5,held,held,N,Y,triple_screen_ema_pullback low=264500<=ema13*1.02 close=2685,NA,NA,NA,,,,na,na,na,N,N,,,,268500,replay,,,,
2026-09-21,elder_ema_pullback,,036930,6,held,held,N,Y,triple_screen_ema_pullback low=200500<=ema13*1.02 close=2055,NA,NA,NA,,,,na,na,na,N,N,,,,205500,replay,,,,
2026-09-21,elder_ema_pullback,,005935,7,held,held,N,Y,triple_screen_ema_pullback low=195500<=ema13*1.02 close=1961,NA,NA,NA,,,,na,na,na,N,N,,,,196100,replay,,,,
2026-09-21,elder_ema_pullback,,095340,8,held,held,N,Y,triple_screen_ema_pullback low=184500<=ema13*1.02 close=1863,NA,NA,NA,,,,na,na,na,N,N,,,,186300,replay,,,,
2026-09-21,elder_ema_pullback,,003670,9,held,held,N,Y,triple_screen_ema_pullback low=181700<=ema13*1.02 close=1839,NA,NA,NA,,,,na,na,na,N,N,,,,183900,replay,,,,
2026-09-21,elder_ema_pullback,,161890,10,slot_available,slot_available,Y,Y,triple_screen_ema_pullback low=145000<=ema13*1.02 close=1452,Y,Y,Y,66,09:06:59,15:29:46,agree_Y,agree_Y,agree_Y,N,N,Y,Y,145200,145200,log,,,,
2026-09-21,daytrading_3methods_breakout,,456070,1,slot_available,slot_available,Y,Y,breakout_prev_high close=6620.00 prior20_high=6110.00 vol=29,Y,Y,Y,66,09:02:06,15:25:30,agree_Y,agree_Y,agree_Y,N,N,N,Y,6620,6620,log,66.6565,2,+3232.82,
2026-09-21,daytrading_3methods_breakout,,001520,2,slot_available,slot_available,Y,Y,breakout_prev_high close=1353.00 prior20_high=1112.00 vol=50,Y,Y,Y,66,09:02:07,15:25:30,agree_Y,agree_Y,agree_Y,N,N,N,Y,1353,1353,log,43.5717,2,+2078.58,
