date,strategy,code,tier,price,basis,qty,qty_basis,signal_basis,crash_blocked,other_holder_live,entry_time,lift_time,touch_open,touch_high,touch_low,touch_close,d5
2026-09-21,elder_ema_pullback,039030,main,478000.0,band_touch,2,amount,log,N,,,,,,,,
2026-09-21,elder_ema_pullback,005935,main,200500.0,band_touch,4,amount,replay,N,,,,,,,,
2026-09-21,elder_ema_pullback,095340,main,192500.0,band_touch,5,amount,replay,N,,,,,,,,
2026-09-21,elder_ema_pullback,090430,ext,145800.0,band_touch,6,amount,replay,N,,,,,,,,
2026-09-21,elder_ema_pullback,140410,ext,76200.0,band_touch,13,amount,replay,N,,,,,,,,
2026-09-21,daytrading_3methods_breakout,456070,main,6818.6,band_touch,146,amount,log,N,,,,,,,,
2026-09-21,daytrading_3methods_breakout,001520,main,1393.5900000000001,band_touch,717,amount,log,N,,,,,,,,
2026-09-21,daytrading_3methods_breakout,007610,main,5093.35,band_touch,196,amount,log,N,,,,,,,,
2026-09-21,daytrading_3methods_breakout,012200,main,3930.0,D_open,254,amount,log,N,,,,,,,,
2026-09-21,daytrading_3methods_breakout,463480,main,4335.0,D_open,230,amount,log,N,,,,,,,,
2026-09-21,daytrading_3methods_breakout,274090,main,13100.0,D_open,76,amount,log,N,,,,,,,,
2026-09-21,daytrading_3methods_breakout,109080,main,9800.0,D_open,102,amount,log,N,,,,,,,,
2026-09-21,daytrading_3methods_breakout,052300,main,1758.0,D_open,568,amount,log,N,,,,,,,,
2026-09-21,daytrading_3methods_breakout,0004V0,main,6670.0,D_open,149,amount,log,N,,,,,,,,
2026-09-21,daytrading_3methods_breakout,321370,main,1839.0,D_open,543,amount,log,N,,,,,,,,
2026-09-21,daytrading_3methods_breakout,020000,ext,17840.0,D_open,56,amount,replay,N,,,,,,,,
2026-09-21,daytrading_3methods_breakout,078350,ext,25400.0,D_open,39,amount,replay,N,,,,,,,,
2026-09-21,daytrading_3methods_breakout,125490,ext,11900.0,D_open,84,amount,replay,N,,,,,,,,
2026-09-21,daytrading_3methods_breakout,032850,ext,4185.0,D_open,238,amount,replay,N,,,,,,,,
2026-09-21,daytrading_3methods_breakout,017510,ext,8160.0,D_open,122,amount,replay,N,,,,,,,,
2026-09-21,daytrading_3methods_breakout,228850,ext,8280.0,D_open,120,amount,replay,N,,,,,,,,
2026-09-21,daytrading_3methods_breakout,432320,ext,1761.0,D_open,567,amount,replay,N,,,,,,,,
2026-09-21,daytrading_3methods_breakout,265740,ext,8250.0,D_open,121,amount,replay,N,,,,,,,,
2026-09-21,minervini_volume_dryup,002990,main,13480.0,D_open,74,amount,replay,N,,,,,,,,
2026-09-21,minervini_volume_dryup,088350,main,5870.0,D_open,170,amount,log,N,,,,,,,,
2026-09-21,minervini_volume_dryup,006340,main,14000.0,D_open,71,amount,log,N,,,,,,,,
2026-09-21,minervini_volume_dryup,006360,main,37100.0,D_open,26,amount,replay,N,,,,,,,,
2026-09-21,minervini_volume_dryup,144960,main,10390.0,D_open,96,amount,log,N,,,,,,,,
2026-09-21,minervini_volume_dryup,090430,main,142500.0,D_open,7,amount,log,N,,,,,,,,
2026-09-21,minervini_volume_dryup,007340,main,49150.0,D_open,20,amount,log,N,,,,,,,,
2026-09-21,minervini_volume_dryup,089860,main,49550.0,D_open,20,amount,log,N,,,,,,,,
2026-09-21,minervini_volume_dryup,282330,main,137600.0,D_open,7,amount,log,N,,,,,,,,
2026-09-21,book_pullback_ma20,047770,main,3755.0,D_open,266,amount,log,N,,,,,,,,
2026-09-21,book_pullback_ma20,018000,main,1256.0,D_open,796,amount,log,N,,,,,,,,
2026-09-21,book_pullback_ma20,006340,main,14000.0,D_open,71,amount,log,N,,,,,,,,throttle_delay
2026-09-21,book_pullback_ma20,388050,main,10584.8,band_touch,94,amount,log,N,,,,,,,,throttle_delay
2026-09-21,book_pullback_ma20,006910,main,7640.0,D_open,130,amount,log,N,,,,,,,,throttle
2026-09-21,book_pullback_ma20,130660,main,13050.0,D_open,76,amount,log,N,,,,,,,,throttle
2026-09-21,book_pullback_ma20,014990,main,4090.0,D_open,244,amount,log,N,,,,,,,,throttle_delay
2026-09-21,book_pullback_ma20,090710,main,6514.5,band_touch,153,amount,log,N,,,,,,,,throttle
2026-09-21,book_pullback_ma20,125020,main,6450.0,D_open,155,amount,log,N,,,,,,,,throttle
2026-09-21,book_pullback_ma20,089970,main,54900.0,D_open,18,amount,log,N,,,,,,,,throttle
2026-09-21,book_pullback_ma20,264850,ext,5880.0,D_open,170,amount,replay,N,,,,,,,,
2026-09-21,book_pullback_ma20,012200,ext,3930.0,D_open,254,amount,replay,N,,,,,,,,
2026-09-21,book_pullback_ma20,091580,ext,22550.0,D_open,44,amount,replay,N,,,,,,,,
2026-09-21,book_pullback_ma20,263750,ext,34550.0,D_open,28,amount,replay,N,,,,,,,,
2026-09-21,book_pullback_ma20,006660,ext,13270.0,D_open,75,amount,replay,N,,,,,,,,
2026-09-21,book_pullback_ma20,056080,ext,12510.0,D_open,79,amount,replay,N,,,,,,,,
2026-09-21,book_pullback_ma20,393890,ext,10200.0,D_open,98,amount,replay,N,,,,,,,,
2026-09-21,book_pullback_ma20,012860,ext,2420.0,D_open,413,amount,replay,N,,,,,,,,
2026-09-21,book_pullback_ma20,131970,ext,86961.0,band_touch,11,amount,replay,N,,,,,,,,
2026-09-21,book_pullback_ma20,041960,ext,9910.0,D_open,100,amount,replay,N,,,,,,,,
2026-09-21,book_pullback_ma5,017900,main,10625.2,band_touch,94,amount,log,N,rs_leader(09-16),,,,,,,
2026-09-21,book_pullback_ma5,203650,main,2830.0,D_open,353,amount,log,N,,,,,,,,
2026-09-21,book_pullback_ma5,032820,main,14008.7,band_touch,71,amount,log,N,,,,,,,,
2026-09-21,book_pullback_ma5,217590,main,14695.5,band_touch,68,amount,log,N,,,,,,,,
2026-09-21,book_pullback_ma5,115440,main,10240.0,D_open,97,amount,log,N,,,,,,,,
2026-09-21,book_pullback_ma5,452260,ext,2675.0,D_open,373,amount,replay,N,,,,,,,,
2026-09-21,book_pullback_ma5,100590,ext,4989.4,band_touch,200,amount,replay,N,,,,,,,,
2026-09-21,book_pullback_ma5,142280,ext,3260.0,D_open,306,amount,replay,N,,,,,,,,
2026-09-21,book_pullback_ma5,0015N0,ext,13670.0,D_open,73,amount,replay,N,,,,,,,,
2026-09-21,book_pullback_ma5,052710,ext,17070.0,D_open,58,amount,replay,N,,,,,,,,
2026-09-21,book_pullback_ma5,033790,ext,8080.0,band_touch,123,amount,replay,N,,,,,,,,
