date,strategy,code,stage,result,n,first_ts,last_ts,basis
2026-09-21,elder_ema_pullback,012450,candidate,Y,1,,,e6
2026-09-21,elder_ema_pullback,012450,signal,Y,66,09:06:58,15:29:46,log
2026-09-21,elder_ema_pullback,012450,gate,buy_stop,66,09:06:58,15:29:46,log
2026-09-21,elder_ema_pullback,039030,candidate,Y,1,,,e6
2026-09-21,elder_ema_pullback,039030,signal,Y,66,09:06:58,15:29:46,log
2026-09-21,elder_ema_pullback,039030,gate,buy_stop,55,09:06:58,14:31:42,log
2026-09-21,elder_ema_pullback,039030,cash,qty_short,6,10:26:12,15:24:07,log
2026-09-21,elder_ema_pullback,373220,candidate,Y,1,,,e6
2026-09-21,elder_ema_pullback,373220,signal,replay:Y,,,,replay
2026-09-21,elder_ema_pullback,373220,held,Y,,,,timeline
2026-09-21,elder_ema_pullback,108490,candidate,Y,1,,,e6
2026-09-21,elder_ema_pullback,108490,signal,Y,66,09:06:58,15:29:46,log
2026-09-21,elder_ema_pullback,108490,gate,buy_stop,66,09:06:59,15:29:46,log
2026-09-21,elder_ema_pullback,064760,candidate,Y,1,,,e6
2026-09-21,elder_ema_pullback,064760,signal,replay:Y,,,,replay
2026-09-21,elder_ema_pullback,064760,held,Y,,,,timeline
2026-09-21,elder_ema_pullback,036930,candidate,Y,1,,,e6
2026-09-21,elder_ema_pullback,036930,signal,replay:Y,,,,replay
2026-09-21,elder_ema_pullback,036930,held,Y,,,,timeline
2026-09-21,elder_ema_pullback,005935,candidate,Y,1,,,e6
2026-09-21,elder_ema_pullback,005935,signal,replay:Y,,,,replay
2026-09-21,elder_ema_pullback,005935,held,Y,,,,timeline
2026-09-21,elder_ema_pullback,095340,candidate,Y,1,,,e6
2026-09-21,elder_ema_pullback,095340,signal,replay:Y,,,,replay
2026-09-21,elder_ema_pullback,095340,held,Y,,,,timeline
2026-09-21,elder_ema_pullback,003670,candidate,Y,1,,,e6
2026-09-21,elder_ema_pullback,003670,signal,replay:Y,,,,replay
2026-09-21,elder_ema_pullback,003670,held,Y,,,,timeline
2026-09-21,elder_ema_pullback,161890,candidate,Y,1,,,e6
2026-09-21,elder_ema_pullback,161890,signal,Y,66,09:06:59,15:29:46,log
2026-09-21,elder_ema_pullback,161890,gate,buy_stop,66,09:06:59,15:29:47,log
2026-09-21,daytrading_3methods_breakout,456070,candidate,Y,1,,,e6
2026-09-21,daytrading_3methods_breakout,456070,signal,Y,66,09:02:06,15:25:30,log
2026-09-21,daytrading_3methods_breakout,456070,cash,qty_short,33,09:02:07,15:19:49,log
2026-09-21,daytrading_3methods_breakout,001520,candidate,Y,1,,,e6
2026-09-21,daytrading_3methods_breakout,001520,signal,Y,66,09:02:07,15:25:30,log
2026-09-21,daytrading_3methods_breakout,001520,gate,band_above,1,09:02:07,09:02:07,log
2026-09-21,daytrading_3methods_breakout,001520,cash,qty_short,33,09:08:26,15:25:30,log
2026-09-21,daytrading_3methods_breakout,007610,candidate,Y,1,,,e6
2026-09-21,daytrading_3methods_breakout,007610,signal,Y,66,09:02:07,15:25:30,log
2026-09-21,daytrading_3methods_breakout,007610,cash,qty_short,33,09:02:07,15:19:50,log
2026-09-21,daytrading_3methods_breakout,012200,candidate,Y,1,,,e6
2026-09-21,daytrading_3methods_breakout,012200,signal,Y,66,09:02:07,15:25:30,log
2026-09-21,daytrading_3methods_breakout,012200,cash,qty_short,33,09:02:07,15:19:50,log
2026-09-21,daytrading_3methods_breakout,463480,candidate,Y,1,,,e6
2026-09-21,daytrading_3methods_breakout,463480,signal,Y,66,09:02:07,15:25:31,log
2026-09-21,daytrading_3methods_breakout,463480,cash,qty_short,33,09:08:26,15:25:31,log
2026-09-21,daytrading_3methods_breakout,274090,candidate,Y,1,,,e6
2026-09-21,daytrading_3methods_breakout,274090,signal,Y,66,09:02:08,15:25:31,log
2026-09-21,daytrading_3methods_breakout,274090,cash,qty_short,33,09:02:08,15:19:51,log
2026-09-21,daytrading_3methods_breakout,109080,candidate,Y,1,,,e6
2026-09-21,daytrading_3methods_breakout,109080,signal,Y,66,09:02:08,15:25:31,log
2026-09-21,daytrading_3methods_breakout,109080,cash,qty_short,33,09:02:08,15:19:51,log
2026-09-21,daytrading_3methods_breakout,052300,candidate,Y,1,,,e6
2026-09-21,daytrading_3methods_breakout,052300,signal,Y,66,09:02:08,15:25:31,log
2026-09-21,daytrading_3methods_breakout,052300,cash,qty_short,33,09:02:08,15:19:51,log
2026-09-21,daytrading_3methods_breakout,0004V0,candidate,Y,1,,,e6
2026-09-21,daytrading_3methods_breakout,0004V0,signal,Y,66,09:02:08,15:25:32,log
2026-09-21,daytrading_3methods_breakout,0004V0,cash,qty_short,33,09:02:08,15:19:51,log
2026-09-21,daytrading_3methods_breakout,321370,candidate,Y,1,,,e6
2026-09-21,daytrading_3methods_breakout,321370,signal,Y,66,09:02:08,15:25:32,log
2026-09-21,daytrading_3methods_breakout,321370,cash,qty_short,33,09:02:09,15:19:51,log
2026-09-21,minervini_volume_dryup,002990,candidate,Y,1,,,e6
2026-09-21,minervini_volume_dryup,002990,signal,replay:Y,,,,replay
2026-09-21,minervini_volume_dryup,002990,held,Y,,,,timeline
2026-09-21,minervini_volume_dryup,088350,candidate,Y,1,,,e6
2026-09-21,minervini_volume_dryup,088350,signal,Y,66,09:02:51,15:26:16,log
2026-09-21,minervini_volume_dryup,088350,cash,qty_short,33,09:02:51,15:20:34,log
2026-09-21,minervini_volume_dryup,006340,candidate,Y,1,,,e6
2026-09-21,minervini_volume_dryup,006340,signal,Y,66,09:02:51,15:26:16,log
2026-09-21,minervini_volume_dryup,006340,gate,held_any,62,09:27:34,15:26:16,log
2026-09-21,minervini_volume_dryup,006340,cash,qty_short,2,09:02:52,09:15:13,log
2026-09-21,minervini_volume_dryup,006360,candidate,Y,1,,,e6
2026-09-21,minervini_volume_dryup,006360,signal,replay:Y,,,,replay
2026-09-21,minervini_volume_dryup,006360,held,Y,,,,timeline
2026-09-21,minervini_volume_dryup,144960,candidate,Y,1,,,e6
2026-09-21,minervini_volume_dryup,144960,signal,Y,66,09:02:52,15:26:16,log
2026-09-21,minervini_volume_dryup,144960,gate,band_above,33,09:09:09,15:26:16,log
2026-09-21,minervini_volume_dryup,090430,candidate,Y,1,,,e6
2026-09-21,minervini_volume_dryup,090430,signal,Y,66,09:02:52,15:26:16,log
2026-09-21,minervini_volume_dryup,090430,cash,qty_short,33,09:02:52,15:20:34,log
2026-09-21,minervini_volume_dryup,007340,candidate,Y,1,,,e6
2026-09-21,minervini_volume_dryup,007340,signal,Y,66,09:02:52,15:26:16,log
2026-09-21,minervini_volume_dryup,007340,cash,qty_short,33,09:09:10,15:26:16,log
2026-09-21,minervini_volume_dryup,089860,candidate,Y,1,,,e6
2026-09-21,minervini_volume_dryup,089860,signal,Y,66,09:02:52,15:26:16,log
2026-09-21,minervini_volume_dryup,089860,cash,qty_short,33,09:02:52,15:20:35,log
2026-09-21,minervini_volume_dryup,282330,candidate,Y,1,,,e6
2026-09-21,minervini_volume_dryup,282330,signal,Y,66,09:02:52,15:26:17,log
