arm,lot_id,tier,strategy,code,entry_date,entry_basis,entry_price,qty,qty_basis,notional_won,signal_basis,crash_blocked,lift_time,d5_flags,other_holder_live,buy_id,is_repeat_while_open,open_lot_seq,days_since_open_lot,exit_status,exit_reason,exit_phase,exit_date,exit_price,ret_pct,hold_days,pnl_won,flags
B1,B1-0000,main,book_pullback_ma20,006340,2026-09-21,D_open,14000,71,amount,994000,log,N,,throttle_delay,,,N,1,,open,open,,2026-09-23,13490,-3.64,2,-36210,mark_to_market(마지막 종가)
B1,B1-0001,main,book_pullback_ma20,006910,2026-09-21,D_open,7640,130,amount,993200,log,N,,throttle,,,N,1,,open,open,,2026-09-23,7420,-2.88,2,-28600,mark_to_market(마지막 종가)
B1,B1-0002,main,book_pullback_ma20,014990,2026-09-21,D_open,4090,244,amount,997960,log,N,,throttle_delay,,,N,1,,open,open,,2026-09-23,4310,+5.38,2,53680,mark_to_market(마지막 종가)
B1,B1-0003,main,book_pullback_ma20,018000,2026-09-21,D_open,1256,796,amount,999776,log,N,,,,,N,1,,open,open,,2026-09-23,1290,+2.71,2,27064,mark_to_market(마지막 종가)
B1,B1-0004,main,book_pullback_ma20,047770,2026-09-21,D_open,3755,266,amount,998830,log,N,,,,,N,1,,open,open,,2026-09-23,3785,+0.80,2,7980,mark_to_market(마지막 종가)
B1,B1-0005,main,book_pullback_ma20,089970,2026-09-21,D_open,54900,18,amount,988200,log,N,,throttle,,,N,1,,closed,tp,open0900,2026-09-23,61300,+11.66,2,115200,gap_tp_open
B1,B1-0006,main,book_pullback_ma20,090710,2026-09-21,band_touch,6514.5,153,amount,996718,log,N,,throttle,,,N,1,,open,open,,2026-09-23,6330,-2.83,2,-28228,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
B1,B1-0007,main,book_pullback_ma20,125020,2026-09-21,D_open,6450,155,amount,999750,log,N,,throttle,,,N,1,,open,open,,2026-09-23,6170,-4.34,2,-43400,mark_to_market(마지막 종가)
B1,B1-0008,main,book_pullback_ma20,130660,2026-09-21,D_open,13050,76,amount,991800,log,N,,throttle,,,N,1,,open,open,,2026-09-23,12290,-5.82,2,-57760,mark_to_market(마지막 종가)
B1,B1-0009,main,book_pullback_ma20,388050,2026-09-21,band_touch,10584.8,94,amount,994971,log,N,,throttle_delay,,,N,1,,open,open,,2026-09-23,10280,-2.88,2,-28651,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
B1,B1-0010,main,book_pullback_ma5,017900,2026-09-21,band_touch,10625.2,94,amount,998769,log,N,,,rs_leader(09-16),,N,1,,closed,sl,after0902,2026-09-22,10306.44,-3.00,1,-29963,entry_day_touch_skipped(진입 시각 불명)
B1,B1-0011,main,book_pullback_ma5,032820,2026-09-21,band_touch,14008.7,71,amount,994618,log,N,,,,,N,1,,closed,sl,after0902,2026-09-22,13588.44,-3.00,1,-29839,entry_day_touch_skipped(진입 시각 불명)
B1,B1-0012,main,book_pullback_ma5,115440,2026-09-21,D_open,10240,97,amount,993280,log,N,,,,,N,1,,closed,sl,entry_day,2026-09-21,9932.8,-3.00,0,-29798,
B1,B1-0013,main,book_pullback_ma5,203650,2026-09-21,D_open,2830,353,amount,998990,log,N,,,,,N,1,,closed,sl,entry_day,2026-09-21,2745.1,-3.00,0,-29970,
B1,B1-0014,main,book_pullback_ma5,217590,2026-09-21,band_touch,14695.5,68,amount,999294,log,N,,,,,N,1,,closed,sl,after0902,2026-09-22,14254.64,-3.00,1,-29979,entry_day_touch_skipped(진입 시각 불명)
