acct_id,strategy,code,first_date,n_fills,n_adds,fill_dates,fill_tiers,avg_price_path,final_avg_price,qty,notional_won,exit_status,exit_reason,exit_date,exit_price,ret_pct,hold_days,pnl_won,hold_clock_reset_diff,avg_flip,flags
B2-0000,book_envelope_200d,020120,2026-09-15,1,0,2026-09-15,main,8990,8990,111,997890,closed,sl,2026-09-21,8270.8,-8.00,4,-79831,n/a(추가매수 없음),n/a(추가매수 없음),
B2-0001,book_envelope_200d,031980,2026-09-16,1,0,2026-09-16,main,158900,158900,6,953400,closed,sl,2026-09-16,146188,-8.00,0,-76272,n/a(추가매수 없음),n/a(추가매수 없음),
B2-0002,book_envelope_200d,053260,2026-09-10,1,0,2026-09-10,main,7870,7870,127,999490,closed,tp,2026-09-10,8657,+10.00,0,99949,n/a(추가매수 없음),n/a(추가매수 없음),
B2-0003,book_envelope_200d,096770,2026-09-10,1,0,2026-09-10,main,155500,155500,6,933000,closed,sl,2026-09-11,143060,-8.00,1,-74640,n/a(추가매수 없음),n/a(추가매수 없음),
B2-0004,book_envelope_200d,098120,2026-09-14,1,0,2026-09-14,main,50800,50800,19,965200,closed,tp,2026-09-21,55880,+10.00,5,96520,n/a(추가매수 없음),n/a(추가매수 없음),
B2-0005,book_envelope_200d,131290,2026-09-11,1,0,2026-09-11,main,289000,289000,3,867000,closed,sl,2026-09-14,251000,-13.15,1,-114000,n/a(추가매수 없음),n/a(추가매수 없음),entry_day_touch_skipped(진입 시각 불명) · sl_gap_open(라이브는 09:05 이후 가격)
B2-0006,book_pullback_ma20,000370,2026-09-11,1,0,2026-09-11,main,8420,8420,118,993560,closed,sl,2026-09-22,7746.4,-8.00,7,-79485,n/a(추가매수 없음),n/a(추가매수 없음),
B2-0007,book_pullback_ma20,003280,2026-09-18,1,0,2026-09-18,main,1817,1817,550,999350,open,open,2026-09-23,1777,-2.20,3,-22000,n/a(추가매수 없음),n/a(추가매수 없음),mark_to_market(마지막 종가)
B2-0008,book_pullback_ma20,003350,2026-09-10,1,0,2026-09-10,main,13460,13460,74,996040,closed,tp,2026-09-11,14806,+10.00,1,99604,n/a(추가매수 없음),n/a(추가매수 없음),
B2-0009,book_pullback_ma20,003350,2026-09-14,1,0,2026-09-14,main,15310,15310,65,995150,open,open,2026-09-23,15850,+3.53,7,35100,n/a(추가매수 없음),n/a(추가매수 없음),mark_to_market(마지막 종가)
B2-0010,book_pullback_ma20,003530,2026-09-10,1,0,2026-09-10,main,4795,4795,208,997360,closed,trail_ma,2026-09-15,4860,+1.36,3,13520,n/a(추가매수 없음),n/a(추가매수 없음),
B2-0011,book_pullback_ma20,005880,2026-09-15,1,0,2026-09-15,main,2065,2065,484,999460,open,open,2026-09-23,1986,-3.83,6,-38236,n/a(추가매수 없음),n/a(추가매수 없음),mark_to_market(마지막 종가)
B2-0012,book_pullback_ma20,006910,2026-09-18,1,0,2026-09-18,main,7393.2,7393.2,135,998082,open,open,2026-09-23,7420,+0.36,3,3618,n/a(추가매수 없음),n/a(추가매수 없음),entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
B2-0013,book_pullback_ma20,010170,2026-09-15,1,0,2026-09-15,main,14410,14410,69,994290,closed,tp,2026-09-16,15851,+10.00,1,99429,n/a(추가매수 없음),n/a(추가매수 없음),
