buy_id,strategy,code,buy_date,buy_time,buy_price,entry_basis,actual_reason,actual_exit_date,actual_ret_pct,sim_reason,sim_exit_date,sim_ret_pct,sim_hold_days,sim_flags,outcome,same_day_actual,tp_db,sl_db,tp_live,sl_live,tp_sl_match
2248,elder_ema_pullback,140860,2026-08-26,12:58:25,268500,actual,sl,2026-09-02,-9.31,trend_flip,2026-09-02,-7.82,5,entry_day_touch_skipped(진입 시각 불명),N,N,0.3,0.08,0.3,0.08,Y
2249,elder_ema_pullback,039030,2026-08-26,15:20:31,404500,actual,trail_ema,2026-09-15,+5.56,trail_ema,2026-09-15,+6.43,14,entry_day_touch_skipped(진입 시각 불명),Y,N,0.3,0.08,0.3,0.08,Y
2282,elder_ema_pullback,018260,2026-08-28,10:16:48,239500,actual,sl,2026-09-10,-8.14,sl,2026-09-03,-8.00,4,entry_day_touch_skipped(진입 시각 불명),reason_only,N,0.3,0.08,0.3,0.08,Y
2318,elder_ema_pullback,028260,2026-09-01,09:27:09,379500,actual,trend_flip,2026-09-03,+0.79,trend_flip,2026-09-03,+1.05,2,entry_day_touch_skipped(진입 시각 불명),Y,N,0.3,0.08,0.3,0.08,Y
2322,elder_ema_pullback,357780,2026-09-01,09:59:34,351500,actual,sl,2026-09-03,-8.11,sl,2026-09-03,-8.00,2,entry_day_touch_skipped(진입 시각 불명),Y,N,0.3,0.08,0.3,0.08,Y
2382,elder_ema_pullback,298020,2026-09-03,09:54:48,357500,actual,sl,2026-09-10,-8.11,sl,2026-09-10,-8.00,5,entry_day_touch_skipped(진입 시각 불명),Y,N,0.3,0.08,0.3,0.08,Y
2395,elder_ema_pullback,003670,2026-09-04,09:10:58,187500,actual,open,,,open,2026-09-23,-4.05,13,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가),both_open,,0.3,0.08,0.3,0.08,Y
2400,elder_ema_pullback,064760,2026-09-04,09:26:01,256500,actual,open,,,open,2026-09-23,+11.50,13,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가),both_open,,0.3,0.08,0.3,0.08,Y
2425,elder_ema_pullback,105560,2026-09-08,09:06:25,179000,actual,open,,,open,2026-09-23,-3.24,11,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가),both_open,,0.3,0.08,0.3,0.08,Y
2432,elder_ema_pullback,086790,2026-09-08,09:11:38,140000,actual,open,,,open,2026-09-23,-4.93,11,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가),both_open,,0.3,0.08,0.3,0.08,Y
2460,elder_ema_pullback,222800,2026-09-09,09:58:16,128500,actual,open,,,open,2026-09-23,+16.34,10,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가),both_open,,0.3,0.08,0.3,0.08,Y
2481,elder_ema_pullback,066570,2026-09-10,09:30:53,209000,actual,trend_flip,2026-09-18,-3.83,trend_flip,2026-09-18,-3.35,6,entry_day_touch_skipped(진입 시각 불명),Y,N,0.3,0.08,0.3,0.08,Y
2488,elder_ema_pullback,443060,2026-09-10,13:40:38,222500,actual,open,,,open,2026-09-23,+7.42,9,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가),both_open,,0.3,0.08,0.3,0.08,Y
2489,elder_ema_pullback,005935,2026-09-10,14:39:16,201000,actual,sl,2026-09-14,-8.01,sl,2026-09-14,-8.00,2,entry_day_touch_skipped(진입 시각 불명),Y,N,0.3,0.08,0.3,0.08,Y
2535,elder_ema_pullback,051900,2026-09-15,09:11:46,306500,actual,open,,,open,2026-09-23,-4.57,6,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가),both_open,,0.3,0.08,0.3,0.08,Y
2537,elder_ema_pullback,192820,2026-09-15,09:17:02,282500,actual,open,,,open,2026-09-23,-3.72,6,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가),both_open,,0.3,0.08,0.3,0.08,Y
2544,elder_ema_pullback,095340,2026-09-15,11:32:52,187000,actual,open,,,open,2026-09-23,+13.64,6,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가),both_open,,0.3,0.08,0.3,0.08,Y
