date,scan_date,code,snap_rank,list_pos,list_src,K,n_open_0900,restore_log_n,slot_windows,state,state_ko,state_note,cap_log,evidence,other_holder,signal,signal_reason,dryup_ratio,near_threshold,n_bars,last_bar,snap_score,score_now_vs_snap,vintage,signal_used,signal_basis,ref_close,band_max,live_signal_log,live_nosignal_log,live_notes,v_entry_status,v_entry_basis,v_entry_price,v_entry_vs_ref_pct,v_entry_note,v_exit_status,v_exit_reason,v_exit_date,v_exit_price,v_ret_pct,v_hold_days,v_exit_note,v_dup_of,actual_buy_time,actual_buy_price,actual_exit_date,actual_exit_price,actual_exit_reason,actual_ret_pct,assumptions,caveats
2026-09-10,2026-09-09,073240,1,1,log,3,2,2,09:00:00-09:02:50,held,이미 보유,보유 since 2026-08-28,NA,ok(계기없음),,Y,volume_dryup recent/base=0.33 ≤ 0.70,0.33,N,82,2026-09-09,6233246.6,1.000001,same,Y,replay,7100,7313,,,,n/a(이미 보유),,,,,,,,,,,,,,,,,,,E=D시가(밴드안)|밴드경계(시가이탈·장중복귀)|불가; X=일봉고저터치·동일봉 손절우선·갭은 시가·보유기한 시가; %만(사이징·현금 무시),
2026-09-10,2026-09-09,006360,2,2,log,3,2,2,09:00:00-09:02:50,bought,실제 매수됨,매수 09:02:50 @35300,NA,ok(계기없음),,Y,volume_dryup recent/base=0.57 ≤ 0.70,0.57,N,82,2026-09-09,2842754.73,1.000079,minor(+0.008%),Y,replay,35550,36616.5,09:02:49 ref=35550 ratio=0.57,,,filled,D_open,35100,-1.27,,closed,tp,2026-09-11,39312,+12.00,1,,,09:02:50,35300,,,open,,E=D시가(밴드안)|밴드경계(시가이탈·장중복귀)|불가; X=일봉고저터치·동일봉 손절우선·갭은 시가·보유기한 시가; %만(사이징·현금 무시),실제 매수 행 — 가상값은 충실도 대조용
2026-09-10,2026-09-09,119850,3,3,log,3,2,2,09:00:00-09:02:50,no_slot,자리 없음,빈자리는 상위 순위 매수로 소진(006360@09:02:50),NA,ok(계기없음),,Y,volume_dryup recent/base=0.61 ≤ 0.70,0.61,N,82,2026-09-09,944332.27,1.000000,same,Y,replay,48300,49749,,09:02:50 generate_signal None 반환 (일봉 82건),,filled,D_open,47800,-1.04,,closed,tp,2026-09-11,53536,+12.00,1,,,,,,,,,E=D시가(밴드안)|밴드경계(시가이탈·장중복귀)|불가; X=일봉고저터치·동일봉 손절우선·갭은 시가·보유기한 시가; %만(사이징·현금 무시),
2026-09-10,2026-09-09,098120,4,4,log,3,2,2,09:00:00-09:02:50,no_slot,자리 없음,빈자리는 상위 순위 매수로 소진(006360@09:02:50),NA,ok(계기없음),,Y,volume_dryup recent/base=0.49 ≤ 0.70,0.49,N,82,2026-09-09,184307.8,1.000142,minor(+0.014%),Y,replay,47900,49337,,09:02:50 generate_signal None 반환 (일봉 82건),,filled,D_open,47450,-0.94,,closed,tp,2026-09-11,53144,+12.00,1,,,,,,,,,E=D시가(밴드안)|밴드경계(시가이탈·장중복귀)|불가; X=일봉고저터치·동일봉 손절우선·갭은 시가·보유기한 시가; %만(사이징·현금 무시),
2026-09-10,2026-09-09,093320,5,5,log,3,2,2,09:00:00-09:02:50,no_slot,자리 없음,빈자리는 상위 순위 매수로 소진(006360@09:02:50),NA,ok(계기없음),,Y,volume_dryup recent/base=0.63 ≤ 0.70,0.63,N,82,2026-09-09,12795.07,1.000010,minor(+0.001%),Y,replay,141700,145951,,09:02:50 generate_signal None 반환 (일봉 82건),,filled,D_open,143100,+0.99,,open,open,2026-09-17,137400,-3.98,5,보유 중 — 마지막 종가 평가,,,,,,,,E=D시가(밴드안)|밴드경계(시가이탈·장중복귀)|불가; X=일봉고저터치·동일봉 손절우선·갭은 시가·보유기한 시가; %만(사이징·현금 무시),
2026-09-11,2026-09-10,006340,1,1,log,3,3,3,(없음),no_slot,자리 없음,장 전체 보유수≥K(또는 체결수≥한도),NA,ok(계기없음),,Y,volume_dryup recent/base=0.17 ≤ 0.70,0.17,N,82,2026-09-10,7735579.1,1.000170,minor(+0.017%),Y,replay,13530,13935.9,,09:02:25 generate_signal None 반환 (일봉 82건),,filled,D_open,13190,-2.51,,open,open,2026-09-17,12860,-2.50,4,보유 중 — 마지막 종가 평가,,,,,,,,E=D시가(밴드안)|밴드경계(시가이탈·장중복귀)|불가; X=일봉고저터치·동일봉 손절우선·갭은 시가·보유기한 시가; %만(사이징·현금 무시),
2026-09-11,2026-09-10,073240,2,2,log,3,3,3,(없음),held,이미 보유,보유 since 2026-08-28,NA,ok(계기없음),,Y,volume_dryup recent/base=0.39 ≤ 0.70,0.39,N,82,2026-09-10,6322369.8,1.000004,minor(+0.000%),Y,replay,7680,7910.4,,,,n/a(이미 보유),,,,,,,,,,,,,,,,,,,E=D시가(밴드안)|밴드경계(시가이탈·장중복귀)|불가; X=일봉고저터치·동일봉 손절우선·갭은 시가·보유기한 시가; %만(사이징·현금 무시),
2026-09-11,2026-09-10,006360,3,3,log,3,3,3,(없음),held,이미 보유,보유 since 2026-09-10,NA,ok(계기없음),,Y,volume_dryup recent/base=0.53 ≤ 0.70,0.53,N,82,2026-09-10,2729815.77,1.000148,minor(+0.015%),Y,replay,37250,38367.5,,,,n/a(이미 보유),,,,,,,,,,,,,,,,,,,E=D시가(밴드안)|밴드경계(시가이탈·장중복귀)|불가; X=일봉고저터치·동일봉 손절우선·갭은 시가·보유기한 시가; %만(사이징·현금 무시),
2026-09-11,2026-09-10,119850,4,4,log,3,3,3,(없음),no_slot,자리 없음,장 전체 보유수≥K(또는 체결수≥한도),NA,ok(계기없음),,Y,volume_dryup recent/base=0.65 ≤ 0.70,0.65,N,82,2026-09-10,935281.03,1.000001,same,Y,replay,51200,52736,,09:02:25 generate_signal None 반환 (일봉 82건),,filled,D_open,49200,-3.91,,open,open,2026-09-17,51300,+4.27,4,보유 중 — 마지막 종가 평가,2026-09-10,,,,,,,E=D시가(밴드안)|밴드경계(시가이탈·장중복귀)|불가; X=일봉고저터치·동일봉 손절우선·갭은 시가·보유기한 시가; %만(사이징·현금 무시),
2026-09-11,2026-09-10,098120,5,5,log,3,3,3,(없음),no_slot,자리 없음,장 전체 보유수≥K(또는 체결수≥한도),NA,ok(계기없음),,Y,volume_dryup recent/base=0.56 ≤ 0.70,0.56,N,82,2026-09-10,186226.5,1.000223,minor(+0.022%),Y,replay,51000,52530,,09:02:25 generate_signal None 반환 (일봉 82건),,filled,D_open,50500,-0.98,,open,open,2026-09-17,52100,+3.17,4,보유 중 — 마지막 종가 평가,2026-09-10,,,,,,,E=D시가(밴드안)|밴드경계(시가이탈·장중복귀)|불가; X=일봉고저터치·동일봉 손절우선·갭은 시가·보유기한 시가; %만(사이징·현금 무시),
2026-09-14,2026-09-11,002990,1,1,log,3,3,3,(없음),no_slot,자리 없음,장 전체 보유수≥K(또는 체결수≥한도),NA,ok(계기없음),,Y,volume_dryup recent/base=0.69 ≤ 0.70,0.69,Y,81,2026-09-11,10807803.1,1.000070,minor(+0.007%),Y,replay,14710,15151.3,,09:02:57 generate_signal None 반환 (일봉 81건),,filled,D_open,14710,+0.00,,closed,sl,2026-09-14,13533.2,-8.00,0,,,,,,,,,E=D시가(밴드안)|밴드경계(시가이탈·장중복귀)|불가; X=일봉고저터치·동일봉 손절우선·갭은 시가·보유기한 시가; %만(사이징·현금 무시),dryup 비율 0.68~0.72 경계 — 빈티지 차로 뒤집힐 수 있음
