variant,lookback,min_gain,n_segments,g1_n,g1_err,g2_n,g2_err
low,60,0.3,247,3,0.3307375096468386,21,0.030292177762009535
low,60,0.5,167,3,0.3808298111985025,21,0.03845328503134935
low,60,1.0,74,3,0.7555691216809652,19,0.0850023085957428
low,120,0.3,128,3,0.31141333522596243,21,0.057578280037733146
low,120,0.5,113,3,0.31141333522596243,21,0.06250282369464731
low,120,1.0,70,3,0.8002873430656289,19,0.08826098376000735
low,250,0.3,70,3,0.6566062840668959,19,0.1214629832676706
low,250,0.5,61,3,0.6566062840668959,19,0.1214629832676706
low,250,1.0,46,3,0.7842249257264583,17,0.17690396998054572
surge_open,60,0.3,180,3,0.4309785040945883,21,0.041398679007506836
surge_open,60,0.5,110,3,0.9845499326660168,21,0.05380471774571251
surge_open,60,1.0,50,2,0.635652043758094,16,0.10137530589763276
surge_open,120,0.3,108,3,0.5270098868994265,21,0.080314370009275
surge_open,120,0.5,91,3,0.5270098868994265,21,0.08184548431676424
surge_open,120,1.0,47,3,0.9954356893711539,17,0.12860689070240858
surge_open,250,0.3,62,3,0.6869703871556831,19,0.13964260299192102
surge_open,250,0.5,54,3,0.6869703871556831,19,0.1458052107412173
surge_open,250,1.0,32,3,0.787922362148579,16,0.3058534645550595
prev_close,60,0.3,184,3,0.4314474411235197,21,0.03600464894345183
prev_close,60,0.5,118,3,0.4314474411235197,21,0.042903269144029366
prev_close,60,1.0,55,2,0.6827811509602182,17,0.0949463022003597
prev_close,120,0.3,109,3,0.5207478660990019,21,0.07445556387200906
prev_close,120,0.5,93,3,0.5207478660990019,21,0.07445556387200906
prev_close,120,1.0,49,3,0.9998015908490436,18,0.1148617441415509
prev_close,250,0.3,62,3,0.7037695456892559,19,0.1352252266223858
prev_close,250,0.5,55,3,0.7037695456892559,19,0.13769901616262112
prev_close,250,1.0,35,3,0.8071852887980935,17,0.1941875694728567
