cell,n,n_codes,delta,t,mean_s,mean_c
low-lb120-mg0.3|exo|c0.6,7621,2310,0.09122605684533444,32.20272268866193,-0.021079239892689193,-0.11230529673802363
low-lb120-mg0.3|exo|c0.8,8290,2340,0.08369408473741001,30.79381202255663,-0.01876231955463893,-0.10245640429204894
low-lb120-mg0.3|exo|c1.0,8952,2367,0.07838958774830722,30.333382386284235,-0.017556164066137917,-0.09594575181444513
low-lb120-mg0.3|pit|c0.6,7850,2341,0.08048654088325387,26.425924452044242,-0.02332220761994046,-0.10380874850319433
low-lb120-mg0.3|pit|c0.8,8635,2365,0.07228964330932976,25.09299261020452,-0.02047563898735458,-0.09276528229668433
low-lb120-mg0.3|pit|c1.0,9394,2384,0.064394701932689,23.436205213394505,-0.020241938135615378,-0.08463664006830438
low-lb60-mg0.3|exo|c0.6,14775,2467,0.08251798048682266,35.61721073222338,-0.0017021016352342937,-0.08422008212205695
low-lb60-mg0.3|exo|c0.8,15877,2474,0.07665523989551004,34.20086204330725,0.0016049433237613868,-0.07505029657174865
low-lb60-mg0.3|exo|c1.0,16965,2485,0.07128109293448286,32.346948031289116,0.0044050490000481475,-0.0668760439344347
low-lb60-mg0.3|pit|c0.6,13907,2458,0.07985125897060572,31.64724482036192,-0.0006324431792929899,-0.08048370214989871
low-lb60-mg0.3|pit|c0.8,15196,2469,0.07305542637410561,30.16827263815463,0.0019876926939398857,-0.07106773368016572
low-lb60-mg0.3|pit|c1.0,16456,2481,0.0651151473878932,27.834747109793668,0.0024287523050568883,-0.06268639508283631
low-lb60-mg0.5|exo|c0.6,9505,2266,0.09507087320571932,29.689668919457155,-0.007250774288033182,-0.1023216474937525
low-lb60-mg0.5|exo|c0.8,10233,2291,0.08854156020512025,28.528190146643386,-0.002963594579548735,-0.09150515478466897
low-lb60-mg0.5|exo|c1.0,10895,2306,0.08222645343444851,27.20449240460667,-0.00012819634753467437,-0.08235464978198319
low-lb60-mg0.5|pit|c0.6,8941,2230,0.09178668621099184,26.7320232576679,-0.006934412665004518,-0.09872109887599635
low-lb60-mg0.5|pit|c0.8,9740,2266,0.08355949734550791,25.70393521278667,-0.004535190440469424,-0.08809468778597733
low-lb60-mg0.5|pit|c1.0,10488,2293,0.07520469394459242,23.880084030862882,-0.003922045879534749,-0.07912673982412717
