cell,strategy_trades,strategy_truncated,strategy_mean_fills,control_trades,control_truncated,control_mean_fills
low-lb120-mg0.3|exo|c0.6,7621,137,3.702794908804619,7621,119,4.689410838472641
low-lb120-mg0.3|exo|c0.8,8290,148,3.4316043425814233,8290,135,4.514475271411339
low-lb120-mg0.3|exo|c1.0,8952,159,3.2126899016979444,8952,137,4.350647899910634
low-lb120-mg0.3|pit|c0.6,7850,164,3.5034394904458597,7850,154,4.527261146496815
low-lb120-mg0.3|pit|c0.8,8635,188,3.224319629415171,8635,168,4.274348581354951
low-lb120-mg0.3|pit|c1.0,9394,188,3.0013838620396,9394,167,4.048115818607622
low-lb60-mg0.3|exo|c0.6,14775,164,3.8635532994923856,14775,146,4.72575296108291
low-lb60-mg0.3|exo|c0.8,15877,178,3.606285822258613,15877,158,4.568873212823581
low-lb60-mg0.3|exo|c1.0,16965,190,3.393044503389331,16965,163,4.403006189213086
low-lb60-mg0.3|pit|c0.6,13907,194,3.574315093118573,13907,171,4.571295031279212
low-lb60-mg0.3|pit|c0.8,15196,209,3.2952092655962097,15196,187,4.349170834430113
low-lb60-mg0.3|pit|c1.0,16456,216,3.077965483714147,16456,193,4.129010695187166
low-lb60-mg0.5|exo|c0.6,9505,151,3.852603892688059,9505,136,4.729405576012625
low-lb60-mg0.5|exo|c0.8,10233,163,3.595719730284374,10233,145,4.5659141991595815
low-lb60-mg0.5|exo|c1.0,10895,174,3.388251491509867,10895,150,4.397521798990363
low-lb60-mg0.5|pit|c0.6,8941,181,3.5820378033776983,8941,160,4.573425791298512
low-lb60-mg0.5|pit|c0.8,9740,195,3.3082135523613965,9740,175,4.355030800821355
low-lb60-mg0.5|pit|c1.0,10488,199,3.0996376811594204,10488,178,4.149790236460717
