cell,want_gap_c1,want_gap_c2
low-lb120-mg0.3|exo|c0.6,0.029770809311358337,0.0
low-lb120-mg0.3|exo|c0.8,0.02788009044280476,0.0
low-lb120-mg0.3|exo|c1.0,0.026470336456462518,0.0
low-lb120-mg0.3|pit|c0.6,0.017704886298846367,0.0
low-lb120-mg0.3|pit|c0.8,0.014569119328895264,0.0
low-lb120-mg0.3|pit|c1.0,0.013496093240721652,0.0
low-lb60-mg0.3|exo|c0.6,0.02363805242961492,0.0
low-lb60-mg0.3|exo|c0.8,0.02147236304288455,0.0
low-lb60-mg0.3|exo|c1.0,0.019602125754659944,0.0
low-lb60-mg0.3|pit|c0.6,0.01719707362700601,0.0
low-lb60-mg0.3|pit|c0.8,0.01574621618138,0.0
low-lb60-mg0.3|pit|c1.0,0.013248060742347967,0.0
low-lb60-mg0.5|exo|c0.6,0.013966401527109151,0.0
low-lb60-mg0.5|exo|c0.8,0.01274072856753744,0.0
low-lb60-mg0.5|exo|c1.0,0.011881971979454342,0.0
low-lb60-mg0.5|pit|c0.6,0.008449943983195873,0.0
low-lb60-mg0.5|pit|c0.8,0.007138085704038233,0.0
low-lb60-mg0.5|pit|c1.0,0.005424429084749438,0.0
