k_mult,horizon,min_gain,n_segments,g1_n,g1_hit,g1_err,g2_n,g2_err
3.0,5,0.15,508,2,1,0.09394714407502132,21,0.02905613159651952
3.0,5,0.25,256,2,1,0.09394714407502132,21,0.031174933865622978
3.0,5,0.5,68,2,0,0.2837914787554584,20,0.050734896692591756
3.0,10,0.15,590,3,1,0.40041952707856593,21,0.012507713967630143
3.0,10,0.25,323,2,1,0.02826086956521739,21,0.025057299331566994
3.0,10,0.5,105,2,0,0.26418363561820346,21,0.04487834467583069
3.0,20,0.15,681,3,1,0.3995423340961098,21,0.010193862289953217
3.0,20,0.25,402,3,1,0.4590912062765609,21,0.023748384417578934
3.0,20,0.5,156,2,0,0.2425850725288456,21,0.03361377998632742
5.0,5,0.15,473,2,1,0.09394714407502132,21,0.03292118177449969
5.0,5,0.25,255,2,1,0.09394714407502132,21,0.03636090280553342
5.0,5,0.5,67,2,0,0.2837914787554584,20,0.08721688580223864
5.0,10,0.15,515,2,2,0.0,21,0.013334732821171232
5.0,10,0.25,301,2,2,0.0,21,0.02693197445753557
5.0,10,0.5,94,2,1,0.23592276605298607,21,0.0715689224452634
5.0,20,0.15,568,2,2,0.0,21,0.011001544813518624
5.0,20,0.25,356,2,2,0.0,21,0.02505980104791499
5.0,20,0.5,136,2,1,0.2143242029636282,21,0.03436778077032585
10.0,5,0.15,415,2,1,0.09394714407502132,21,0.03153252873855909
10.0,5,0.25,235,2,1,0.09394714407502132,21,0.03548438938111188
10.0,5,0.5,72,2,0,0.2837914787554584,20,0.08897425921462362
10.0,10,0.15,438,2,2,0.0,21,0.019607095953558727
10.0,10,0.25,266,2,2,0.0,21,0.028320745731360623
10.0,10,0.5,95,2,1,0.23592276605298607,21,0.08405223015838098
10.0,20,0.15,461,2,2,0.0,21,0.019568224290833977
10.0,20,0.25,299,2,2,0.0,21,0.02778467530162326
10.0,20,0.5,128,2,1,0.2143242029636282,21,0.07585690995998562
