surge_by,variant,lookback,min_gain,n_segments,g1_n,g1_err,g2_n,g2_err
volume,low,60,0.3,247,3,0.3307375096468386,21,0.030292177762009535
volume,low,60,0.5,167,3,0.3808298111985025,21,0.03845328503134935
volume,low,60,1.0,74,3,0.7555691216809652,19,0.0850023085957428
volume,low,120,0.3,128,3,0.31141333522596243,21,0.057578280037733146
volume,low,120,0.5,113,3,0.31141333522596243,21,0.06250282369464731
volume,low,120,1.0,70,3,0.8002873430656289,19,0.08826098376000735
volume,low,250,0.3,70,3,0.6566062840668959,19,0.1214629832676706
volume,low,250,0.5,61,3,0.6566062840668959,19,0.1214629832676706
volume,low,250,1.0,46,3,0.7842249257264583,17,0.17690396998054572
volume,surge_open,60,0.3,180,3,0.4309785040945883,21,0.041398679007506836
volume,surge_open,60,0.5,110,3,0.9845499326660168,21,0.05380471774571251
volume,surge_open,60,1.0,50,2,0.635652043758094,16,0.10137530589763276
volume,surge_open,120,0.3,108,3,0.5270098868994265,21,0.080314370009275
volume,surge_open,120,0.5,91,3,0.5270098868994265,21,0.08184548431676424
volume,surge_open,120,1.0,47,3,0.9954356893711539,17,0.12860689070240858
volume,surge_open,250,0.3,62,3,0.6869703871556831,19,0.13964260299192102
volume,surge_open,250,0.5,54,3,0.6869703871556831,19,0.1458052107412173
volume,surge_open,250,1.0,32,3,0.787922362148579,16,0.3058534645550595
volume,prev_close,60,0.3,184,3,0.4314474411235197,21,0.03600464894345183
volume,prev_close,60,0.5,118,3,0.4314474411235197,21,0.042903269144029366
volume,prev_close,60,1.0,55,2,0.6827811509602182,17,0.0949463022003597
volume,prev_close,120,0.3,109,3,0.5207478660990019,21,0.07445556387200906
volume,prev_close,120,0.5,93,3,0.5207478660990019,21,0.07445556387200906
volume,prev_close,120,1.0,49,3,0.9998015908490436,18,0.1148617441415509
volume,prev_close,250,0.3,62,3,0.7037695456892559,19,0.1352252266223858
volume,prev_close,250,0.5,55,3,0.7037695456892559,19,0.13769901616262112
volume,prev_close,250,1.0,35,3,0.8071852887980935,17,0.1941875694728567
value,low,60,0.3,247,3,0.3307375096468386,21,0.030292177762009535
value,low,60,0.5,167,3,0.3808298111985025,21,0.03845328503134935
value,low,60,1.0,74,3,0.7555691216809652,19,0.0850023085957428
value,low,120,0.3,128,3,0.31141333522596243,21,0.057578280037733146
value,low,120,0.5,113,3,0.31141333522596243,21,0.06250282369464731
value,low,120,1.0,70,3,0.8002873430656289,19,0.08826098376000735
value,low,250,0.3,70,3,0.6566062840668959,19,0.1214629832676706
value,low,250,0.5,61,3,0.6566062840668959,19,0.1214629832676706
value,low,250,1.0,46,3,0.7842249257264583,17,0.17690396998054572
value,surge_open,60,0.3,184,3,0.4218306344204028,21,0.04328148361968759
value,surge_open,60,0.5,113,3,0.9845499326660168,21,0.05568752235789327
value,surge_open,60,1.0,50,2,0.635652043758094,16,0.10353762055128182
value,surge_open,120,0.3,109,3,0.49818783176158193,21,0.080314370009275
value,surge_open,120,0.5,93,3,0.49818783176158193,21,0.08184548431676424
value,surge_open,120,1.0,47,3,0.9954356893711539,17,0.12860689070240858
value,surge_open,250,0.3,62,3,0.6581483320178386,19,0.1435313996951815
value,surge_open,250,0.5,54,3,0.6581483320178386,19,0.14969400744447778
value,surge_open,250,1.0,32,3,0.7591003070107344,16,0.3216818261607973
value,prev_close,60,0.3,188,3,0.4291918020257753,21,0.037602954999618354
value,prev_close,60,0.5,119,3,0.4314474411235197,21,0.044501575200195896
value,prev_close,60,1.0,55,2,0.6827811509602182,17,0.09708770225974848
value,prev_close,120,0.3,111,3,0.49631177587343805,21,0.07445556387200906
value,prev_close,120,0.5,95,3,0.49631177587343805,21,0.07445556387200906
value,prev_close,120,1.0,50,3,0.9998015908490436,18,0.1148617441415509
value,prev_close,250,0.3,62,3,0.679333455463692,19,0.13976211771053568
value,prev_close,250,0.5,55,3,0.679333455463692,19,0.142235907250771
value,prev_close,250,1.0,37,3,0.7827491985725296,17,0.20936928200666174
