cell,roi_s,capital_weighted_s,mean_deployed
low-lb120-mg0.3|exo|c0.6,-0.009482360350186798,-0.015318390295483786,0.29851104026449404
low-lb120-mg0.3|exo|c0.8,-0.009181896297231436,-0.015473460077574833,0.29076396268744836
low-lb120-mg0.3|exo|c1.0,-0.009236077208231663,-0.01573851651353602,0.28461919943322705
low-lb120-mg0.3|pit|c0.6,-0.0112306651524766,-0.019161064830518822,0.2970395550061805
low-lb120-mg0.3|pit|c0.8,-0.010710094088559307,-0.019213940197574997,0.28874165636588384
low-lb120-mg0.3|pit|c1.0,-0.011361118977166627,-0.019485771146412527,0.2828794808405439
low-lb60-mg0.3|exo|c0.6,-0.000905815295142282,-0.011018167268121043,0.3792570427674792
low-lb60-mg0.3|exo|c0.8,0.0009509911691718905,-0.011218846546615226,0.3688987009195738
low-lb60-mg0.3|exo|c1.0,0.002811080764835646,-0.011455709476053162,0.360374032987885
low-lb60-mg0.3|pit|c0.6,-0.00033545650478804365,-0.011910380523134532,0.33869163574520716
low-lb60-mg0.3|pit|c0.8,0.001336428203719273,-0.011976426437942932,0.32808248299319726
low-lb60-mg0.3|pit|c1.0,0.0017823794238101707,-0.012429453742116417,0.32060180890538037
low-lb60-mg0.5|exo|c0.6,-0.003896002515917742,-0.015383812631416121,0.3780762240145405
low-lb60-mg0.5|exo|c0.8,-0.0017108127726382027,-0.015599728020698318,0.3685084630239691
low-lb60-mg0.5|exo|c1.0,4.754834104170017e-05,-0.01592366043287131,0.35914972168578896
low-lb60-mg0.5|pit|c0.6,-0.003714523432388314,-0.016793531686359033,0.3385812754735076
low-lb60-mg0.5|pit|c0.8,-0.0023989872215158838,-0.01692241579805557,0.32787820666506834
low-lb60-mg0.5|pit|c1.0,-0.0021254535373276874,-0.017412735506763623,0.320394389834572
