cell,n,n_codes,delta_c1,t_c1,want_gap_c1,mean_s,mean_c1,fillrate_s,fillrate_c1,depth_s,depth_c1,trunc_s,trunc_c1
low-lb60-mg0.3|exo|c0.8,27404,2521,0.005663639777889085,7.712214679405501,0.00027123128811817887,0.0009509911691718917,-0.004712648608717193,0.5795869216172822,0.5401036345059116,0.23762911619547983,0.22586605875834095,178.0,146.0
low-lb60-mg0.3|pit|c0.6,25872,2516,0.0050996271353801245,7.561137318898636,-8.960030957033682e-05,-0.0003354565047880429,-0.005435083640168166,0.5376468769325912,0.5160018552875696,0.24654491629320707,0.2354180696661601,195.0,188.0
low-lb60-mg0.3|pit|c0.8,25872,2516,0.00477488892800948,7.558785868954452,0.00019271731617326315,0.001336428203719274,-0.0034384607242902063,0.5883967223252937,0.5608766233766234,0.23816994593163784,0.22918149713435887,217.0,204.0
low-lb60-mg0.3|pit|c1.0,25872,2516,0.0052431171348782096,7.375793703228098,-0.0004982794073895569,0.0017823794238101733,-0.003460737711068036,0.6485776128633272,0.6101190476190477,0.2250674800882386,0.21984863620430348,303.0,287.0
low-lb60-mg0.3|exo|c1.0,27404,2521,0.005505888349059303,7.070141812048525,7.241031648591578e-05,0.0028110807648356476,-0.0026948075842236547,0.6195810830535688,0.5787841191066998,0.23166977842583414,0.22201632082584263,190.0,169.0
low-lb60-mg0.3|exo|c0.6,27404,2521,0.0055345327693168645,6.969258172245067,0.00021564195547241205,-0.0009058152951422817,-0.006440348064459142,0.5392278499489126,0.5073711866880747,0.24243416247519248,0.22883710126760845,164.0,141.0
low-lb120-mg0.3|pit|c0.6,16180,2449,0.004433108441590839,6.459106016227895,-5.763831062360891e-05,-0.011230665152476598,-0.01566377359406744,0.48541409147095177,0.46909765142150806,0.26093240629945064,0.24967583232167243,165.0,161.0
low-lb120-mg0.3|pit|c0.8,16180,2449,0.004333704360038341,6.402545646546522,-0.0007981196793757639,-0.010710094088559307,-0.01504379844859765,0.534610630407911,0.5109394313967861,0.2514089359650916,0.24244123235907075,192.0,176.0
low-lb120-mg0.3|pit|c1.0,16180,2449,0.004106848936721539,6.139092380818918,-0.0003111951555483383,-0.011361118977166624,-0.01546796791388816,0.5988875154511742,0.5679851668726823,0.23400495019413967,0.22991617036965997,219.0,206.0
low-lb60-mg0.5|exo|c1.0,17606,2375,0.0052592197177770954,5.44836269354752,0.0010324924744827824,4.754834104170283e-05,-0.005211671376735394,0.6195047143019425,0.5841190503237532,0.26182079933878716,0.2557663699706346,174.0,158.0
low-lb60-mg0.5|exo|c0.8,17606,2375,0.005279860842502455,5.141288922785124,0.0004217892306005444,-0.0017108127726382023,-0.006990673615140657,0.5812791093945245,0.5492445757128251,0.26835376977858344,0.2613120293760538,163.0,159.0
low-lb120-mg0.3|exo|c0.6,16938,2452,0.004454596472950135,5.118925982417533,-0.0001195203500207187,-0.009482360350186795,-0.01393695682313693,0.4499940961152438,0.42431219742590626,0.27077446119285836,0.25396798058012604,137.0,125.0
low-lb60-mg0.5|pit|c0.6,16684,2355,0.0036392867436837294,4.736486870978122,0.00036218569932400246,-0.003714523432388314,-0.007353810176072043,0.5360225365619755,0.5224766243107168,0.2778534082009679,0.27100891564391655,182.0,189.0
low-lb60-mg0.5|exo|c0.6,17606,2375,0.004353426510078237,4.426529334236078,-0.00028046314187468724,-0.0038960025159177412,-0.00824942902599598,0.5399863682835397,0.5086902192434397,0.2739080000538671,0.26569219854362525,151.0,139.0
low-lb120-mg0.3|exo|c0.8,16938,2452,0.0037360076296782075,4.367618647889236,-0.00018633572771675766,-0.009181896297231436,-0.01291790392690964,0.4894910851340182,0.4533593104262605,0.2647720207433008,0.25047244864208656,148.0,143.0
low-lb120-mg0.3|exo|c1.0,16938,2452,0.003329180113886303,3.9412491810151415,-0.0009902134609444668,-0.009236077208231663,-0.012565257322117962,0.5287519187625458,0.4863029873656866,0.25737498604529474,0.24696560402891526,159.0,140.0
low-lb60-mg0.5|pit|c0.8,16684,2355,0.003066334650787391,3.661191300355851,-0.0008675547545972107,-0.0023989872215158838,-0.005465321872303275,0.5849316710620954,0.5664109326300647,0.2686340176461661,0.26285050386752495,203.0,200.0
low-lb60-mg0.5|pit|c1.0,16684,2355,0.0022691955660018477,2.7975260649111218,-9.596776408432595e-05,-0.0021254535373276887,-0.004394649103329534,0.6472069048189882,0.6211939582833853,0.2521220222518102,0.2507567742391928,286.0,247.0
