control,cell,n,n_codes,delta,t,want_gap,want_gap_row_max_abs,realized_depth_gap
c1,low-lb60-mg0.3|exo|c0.8,27404,2521,0.005663639777889085,7.712214679405501,0.0002712312881182108,0.47491235295837786,0.01738071629547404
c1,low-lb60-mg0.3|pit|c0.6,25872,2516,0.0050996271353801245,7.561137318898636,-8.960030957033198e-05,0.38512660229159595,0.01518920504120779
c1,low-lb60-mg0.3|pit|c0.8,25872,2516,0.00477488892800948,7.558785868954452,0.00019271731617326765,0.38427350617630346,0.01328247084717997
c1,low-lb60-mg0.3|pit|c1.0,25872,2516,0.0052431171348782096,7.375793703228098,-0.0004982794073895854,0.38538905586331756,0.011276789197495043
c1,low-lb60-mg0.3|exo|c1.0,27404,2521,0.005505888349059303,7.070141812048525,7.241031648592371e-05,0.4964572766109938,0.015248042160097966
c1,low-lb60-mg0.3|exo|c0.6,27404,2521,0.0055345327693168645,6.969258172245067,0.00021564195547238635,0.478144500853519,0.01938804680074365
c1,low-lb120-mg0.3|pit|c0.6,16180,2449,0.004433108441590839,6.459106016227895,-5.763831062361941e-05,0.28808424142574174,0.014982502567111295
c1,low-lb120-mg0.3|pit|c0.8,16180,2449,0.004333704360038341,6.402545646546522,-0.0007981196793758076,0.31432374876128755,0.013364878366307826
c1,low-lb120-mg0.3|pit|c1.0,16180,2449,0.004106848936721539,6.139092380818918,-0.00031119515554831653,0.3172554058838871,0.010636746804498429
c1,low-lb60-mg0.5|exo|c1.0,17606,2375,0.0052592197177770954,5.44836269354752,0.0010324924744827347,0.45232881964936583,0.010038059018250837
c1,low-lb60-mg0.5|exo|c0.8,17606,2375,0.005279860842502455,5.141288922785124,0.0004217892306005025,0.4717363687476365,0.010687487654616213
c1,low-lb120-mg0.3|exo|c0.6,16938,2452,0.004454596472950135,5.118925982417533,-0.00011952035002071979,0.4846738132354823,0.025050604069053038
c1,low-lb60-mg0.5|pit|c0.6,16684,2355,0.0036392867436837294,4.736486870978122,0.00036218569932400507,0.3217701566456682,0.007978285490574414
