cell,count,mean
low-lb120-mg0.3|exo|c0.6,13100,0.005742447539576774
low-lb120-mg0.3|exo|c0.8,13100,0.005655184001247068
low-lb120-mg0.3|exo|c1.0,13100,0.005039327599853151
low-lb120-mg0.3|pit|c0.6,12342,0.0048015539584413906
low-lb120-mg0.3|pit|c0.8,12342,0.004410189646716486
low-lb120-mg0.3|pit|c1.0,12342,0.004049391351441742
low-lb60-mg0.3|exo|c0.6,22587,0.006094217048622557
low-lb60-mg0.3|exo|c0.8,22587,0.006670620833543909
low-lb60-mg0.3|exo|c1.0,22587,0.006169146173138728
low-lb60-mg0.3|pit|c0.6,21055,0.005655785966130232
low-lb60-mg0.3|pit|c0.8,21055,0.0050543390326970175
low-lb60-mg0.3|pit|c1.0,21055,0.005398021872285192
low-lb60-mg0.5|exo|c0.6,13815,0.004731456542813524
low-lb60-mg0.5|exo|c0.8,13815,0.0061480828977178575
low-lb60-mg0.5|exo|c1.0,13815,0.006419160702128122
low-lb60-mg0.5|pit|c0.6,12893,0.004111279143742994
low-lb60-mg0.5|pit|c0.8,12893,0.0031837861626653214
low-lb60-mg0.5|pit|c1.0,12893,0.002551158699841472
