cell,count,mean
low-lb120-mg0.3|exo|c0.6,16938,-0.0001961703409235533
low-lb120-mg0.3|exo|c0.8,16938,0.0004885987633895039
low-lb120-mg0.3|exo|c1.0,16938,-0.0011155552836223089
low-lb120-mg0.3|pit|c0.6,16180,0.0007747293591594428
low-lb120-mg0.3|pit|c0.8,16180,-6.220819619360213e-05
low-lb120-mg0.3|pit|c1.0,16180,0.00028015481496649166
low-lb60-mg0.3|exo|c0.6,27404,-0.00030931817448435903
low-lb60-mg0.3|exo|c0.8,27404,-0.0001694764781341672
low-lb60-mg0.3|exo|c1.0,27404,-0.0007669425645770322
low-lb60-mg0.3|pit|c0.6,25872,7.80656878229249e-05
low-lb60-mg0.3|pit|c0.8,25872,-7.499984872843309e-05
low-lb60-mg0.3|pit|c1.0,25872,0.0001378162058345601
low-lb60-mg0.5|exo|c0.6,17606,-0.0011954453358185145
low-lb60-mg0.5|exo|c0.8,17606,0.0004587124377386691
low-lb60-mg0.5|exo|c1.0,17606,-0.0006858453005073715
low-lb60-mg0.5|pit|c0.6,16684,0.0006905004351622463
low-lb60-mg0.5|pit|c0.8,16684,0.0005046884919277808
low-lb60-mg0.5|pit|c1.0,16684,0.00033661012008046656
