cell,n,n_codes,delta_c1,t_c1,delta_c2,cw_s,cw_c1,cw_c2,roi_s,roi_c1,fillrate_s,fillrate_c1,depth_s,depth_c1,depth_c2,trunc_s,trunc_c1
k5-h20-mg0.15|pit,48174,2523,0.0036893873235329536,9.058668336018004,0.004434059031674419,-0.00828945634824343,-0.011978843671776384,-0.012723515379917852,0.008267938354098383,0.003355853271291062,0.5683563748079877,0.5555486361937975,0.2783017075277273,0.27194982071382134,0.2602489297440287,605.0,582.0
k5-h20-mg0.15|exo,49795,2528,0.004959401355548039,5.376768062831163,0.005318399506610898,-0.0439339557894845,-0.04889335714503255,-0.04925235529609541,-0.033827603103588184,-0.03960828636156245,0.9262576563912039,0.8811728085149111,0.17579101167496702,0.1713936559340518,0.17292399788047894,602.0,590.0
k10-h20-mg0.15|pit,34866,2455,0.002962288788923075,4.3397888397791995,0.003300928935600789,-0.008006404397056872,-0.010968693185979947,-0.01130733333265766,0.007689146688313605,0.0030543076188331306,0.5620375150576493,0.547811621637125,0.29128065069421866,0.28494438691315477,0.27308919532005876,388.0,366.0
k5-h10-mg0.15|pit,42502,2511,0.001845319883712254,3.935912496543481,0.004790577532168209,-0.00455037382474476,-0.006395693708457014,-0.009340951356912968,0.01644238483740907,0.013114126333532117,0.5834548962401769,0.5716436873558891,0.2627471622482176,0.25830161941351104,0.24482380438050347,580.0,570.0
k5-h20-mg0.25|exo,29547,2440,0.0039875341916758116,3.746445270291072,0.0064351336800054035,-0.040036640098922834,-0.04402417429059865,-0.046471773778928235,-0.026211335510068944,-0.03118474755164459,0.9052695705147731,0.8741327376721832,0.20940238861829674,0.20491141049303113,0.2049171506809179,448.0,448.0
k5-h20-mg0.25|pit,28518,2433,0.002177424738684876,3.50300994440795,0.0043605891339280525,-0.010464217330971559,-0.012641642069656437,-0.014824806464899615,0.007555626500616647,0.003279744432005323,0.5732519812048531,0.5579283259695631,0.30589360469100213,0.3001597414185294,0.287148766835022,460.0,449.0
k10-h20-mg0.25|pit,21860,2340,0.0029098894503277713,2.8683587573708875,0.003514427257765248,-0.009484160516451255,-0.012394049966779027,-0.012998587774216504,0.008346921439397203,0.00246054130396634,0.570768526989936,0.5542543458371455,0.31636121972339093,0.3111216267697823,0.2979704947598868,309.0,297.0
k10-h10-mg0.15|pit,32493,2440,0.001964829780022569,2.5898529057111364,0.004502383847665849,-0.0030215909526705637,-0.004986420732693132,-0.007523974800336415,0.019408494972282034,0.01471102703688755,0.577539777798295,0.5644600375465485,0.2746401849208951,0.2698513065990037,0.25644641081974756,369.0,337.0
k5-h10-mg0.15|exo,44068,2515,0.0022780328231893185,2.4754754372277596,0.00608514260656989,-0.02567521822317511,-0.027953251046364428,-0.031760360829744996,-0.012082451648586954,-0.01466048633455279,0.9237995824634656,0.8851320686212217,0.1667732082355466,0.16397017599943717,0.16431520937261454,549.0,548.0
k10-h10-mg0.25|exo,19332,2305,0.0027399343534381406,2.118494434750062,0.007838239206887284,-0.027114162256994926,-0.02985409661043307,-0.03495240146388221,-0.009577394829671437,-0.013814255145876043,0.9169770328988206,0.8891992551210428,0.20365359690202106,0.2005546464775713,0.19988907411373405,273.0,273.0
k5-h10-mg0.25|pit,22681,2392,0.0015116990309891548,2.044387061456723,0.005621611895209938,-0.006147896023799342,-0.007659595054788496,-0.01176950791900928,0.01542978172634348,0.012196019612579588,0.589127463515718,0.5755037255852916,0.29274062343459506,0.28800677349186055,0.27418671152103613,423.0,414.0
k10-h20-mg0.25|exo,22628,2350,0.0024946918529525734,2.0292517002962076,0.005280738779070118,-0.04830070727364054,-0.0507953991265931,-0.05358144605271065,-0.03648235057019459,-0.04075391571162018,0.9236786282481881,0.893627364327382,0.2116352554706406,0.20700264360526294,0.2074949168295176,296.0,308.0
k10-h10-mg0.15|exo,33664,2449,0.0017702078721757936,1.705280868384014,0.005618218569081438,-0.029172145064803454,-0.03094235293697925,-0.034790363633884894,-0.01653207604023653,-0.01798343990177214,0.9393714353612167,0.900219819391635,0.17172944086327063,0.16904585466231506,0.16950554517397257,365.0,365.0
k10-h20-mg0.15|exo,36029,2463,0.0014374994391148925,1.6696154006683406,0.003666822116932796,-0.052630895983585724,-0.054068395422700616,-0.05629771810051852,-0.04397289494428288,-0.04571659572922517,0.9423519942268728,0.8989702739459879,0.18093721192538953,0.17745683579993118,0.17837201208701367,388.0,383.0
k10-h10-mg0.25|pit,18616,2298,0.0011450522703348666,1.2051465919327438,0.0040408816784553245,-0.005141902854305666,-0.006286955124640533,-0.009182784532760993,0.018891468610238046,0.016193070946636287,0.5900300816501933,0.5757412978083369,0.30147728043190125,0.2970675855098488,0.2832069850809734,290.0,283.0
k5-h10-mg0.25|exo,23600,2400,0.00117731014187781,0.9298648662302522,0.007057256504235189,-0.02570149537670821,-0.02687880551858602,-0.032758751880943404,-0.00670785821839991,-0.010793217424286024,0.8984745762711864,0.8711864406779661,0.2019331908066585,0.19907485967484656,0.19788645621522472,398.0,416.0
