cell,count,mean
k10-h10-mg0.15|exo,28735,0.001753583659781195
k10-h10-mg0.15|pit,27607,0.002237831499121246
k10-h10-mg0.25|exo,15865,0.0011238619781640269
k10-h10-mg0.25|pit,15192,0.001879113971520401
k10-h20-mg0.15|exo,30791,0.0007432920925610774
k10-h20-mg0.15|pit,29628,0.004124912751212418
k10-h20-mg0.25|exo,18692,0.002521786120999949
k10-h20-mg0.25|pit,17924,0.0040931226727112914
k5-h10-mg0.15|exo,37204,0.0020458104235384065
k5-h10-mg0.15|pit,35720,0.0018487026336402015
k5-h10-mg0.25|exo,19115,0.0013910179697944045
k5-h10-mg0.25|pit,18278,0.0020302639574235155
k5-h20-mg0.15|exo,42164,0.003947764551439748
k5-h20-mg0.15|pit,40543,0.003261634066607295
k5-h20-mg0.25|exo,24159,0.003227498892614896
k5-h20-mg0.25|pit,23130,0.002742233745123555
