cell,count,mean
k10-h10-mg0.15|exo,33664,0.0008102983646450814
k10-h10-mg0.15|pit,32493,6.007740930493185e-05
k10-h10-mg0.25|exo,19332,0.002808619706338575
k10-h10-mg0.25|pit,18616,0.0008425618374738663
k10-h20-mg0.15|exo,36029,0.00041629135539126834
k10-h20-mg0.15|pit,34866,0.0008096806807206765
k10-h20-mg0.25|exo,22628,7.796639721720076e-05
k10-h20-mg0.25|pit,21860,-0.0007125762272960108
k5-h10-mg0.15|exo,44068,-8.68774379383402e-05
k5-h10-mg0.15|pit,42502,-0.00041446526438815415
k5-h10-mg0.25|exo,23600,0.0035973109767158283
k5-h10-mg0.25|pit,22681,0.0005817300962305606
k5-h20-mg0.15|exo,49795,-0.0018084514365976382
k5-h20-mg0.15|pit,48174,-0.0007979653851552393
k5-h20-mg0.25|exo,29547,-0.00011858711080940806
k5-h20-mg0.25|pit,28518,-0.000857250737741213
