idx,date,stock,ver,preset,weights,w_sum,centers,n_center,gap,gap_maxdev,band_lo,band_hi
0,20260110,이엔셀,1.3,하이브리드,14.0/17.7/32.3/19.0/17.0,100.0,17902/17504/17106/16708/16310,5,398,0,16111.0,18101.0
1,20260110,드림씨아이에스,1.3,하이브리드,19.5/23.6/19.5/18.5/19.0,100.1,6457/6232/6008/5784/5559,5,225,1,5446.5,6569.5
2,20260110,알지노믹스,1.3,하이브리드,23.3/11.7/16.2/36.4/12.4,100.0,145772/140644/135517/130390/125263,5,5128,1,122699.0,148336.0
3,20260110,형지엘리트,1.3,안정형,5/10/15/20/50,100,2033/1947/1860/1774/1687,5,86,1,1644.0,2076.0
4,20260110,루미르,1.3,하이브리드,22.3/12.1/28.1/21.5/16.1,100.1,11147/10897/10646/10395/10144,5,250,1,10019.0,11272.0
5,20260110,세코닉스,1.3,하이브리드,15.0/23.2/15.9/22.2/23.6,99.9,6557/6429/6300/6172/6044,5,128,1,5980.0,6621.0
6,20260117,에이테크솔루션,1.3,하이브리드,14.9/22.3/21.3/25.5/16.0,100.0,9568/9197/8825/8454/8082,5,371,1,7896.5,9753.5
7,20260117,미래에셋증권우,1.3,하이브리드,25.6/16.6/24.1/17.2/16.6,100.1,14014/13605/13196/12787/12377,5,409,1,12172.5,14218.5
8,20260117,모바일어플라이언스,1.3,하이브리드,15.0/23.2/15.9/22.2/23.6,99.9,2002/1963/1924/1884/1845,5,39,1,1825.5,2021.5
9,20260123,에스앤에스텍,1.3,하이브리드,15.0/23.2/15.9/22.2/23.6,99.9,60795/59605/58415/57225/56035,5,1190,0,55440.0,61390.0
10,20260123,제노코,1.3,안정형,5/10/15/20/50,100,23062/22433/21805/21177/20549,5,629,1,20234.5,23376.5
11,20260123,루미르,1.3,하이브리드,24.5/17.8/22.7/15.6/19.4,100.0,11733/11376/11018/10661/10303,5,357,1,10124.5,11911.5
12,20260123,모베이스전자,1.3,안정형,5/10/15/20/50,100,4857/4484/4111/3738/3365,5,373,0,3178.5,5043.5
14,20260123,피제이전자,1.3,안정형,5/10/15/20/50,100,9529/9159/8789/8419/8049,5,370,0,7864.0,9714.0
15,20260123,포메탈,1.3,하이브리드,19.5/23.6/19.5/18.5/19.0,100.1,4969/4796/4623/4451/4278,5,173,1,4191.5,5055.5
16,20260123,티엑스알로보틱스,1.3,표준형,10/13/17/25/35,100,18244/17838/17432/17027/16621,5,406,1,16418.0,18447.0
17,20260123,모바일어플라이언스,1.3,하이브리드,15.0/23.2/15.9/22.2/23.6,99.9,2002/1963/1924/1884/1845,5,39,1,1825.5,2021.5
18,20260123,세코닉스,1.3,안정형,5/10/15/20/50,100,6557/6429/6300/6172/6044,5,128,1,5980.0,6621.0
19,20260130,한신기계,1.3,하이브리드,16.7/29.9/20.4/17.4/15.6,100.0,4464/4324/4183/4043/3903,5,140,1,3833.0,4534.0
20,20260130,삼표시멘트,1.3,표준형,10/13/17/25/35,100,5041/4845/4649/4454/4258,5,196,1,4160.0,5139.0
21,20260130,피제이전자,1.3,안정형,5/10/15/20/50,100,9529/9159/8789/8419/8049,5,370,0,7864.0,9714.0
22,20260130,포메탈,1.3,하이브리드,19.5/23.6/19.5/18.5/19.0,100.1,4969/4796/4623/4451/4278,5,173,1,4191.5,5055.5
23,20260130,미투온,1.3,하이브리드,18.3/23.3/16.8/29.9/11.7,100.0,4167/4049/3931/3813/3695,5,118,0,3636.0,4226.0
24,20260130,티엑스알로보틱스,1.3,표준형,10/13/17/25/35,100,21203/20466/19729/18993/18256,5,737,1,17887.5,21571.5
25,20260208,알트,1.3,공격형,15/17/18/20/30,100,4484/4384/4284/4184/4084,5,100,0,4034.0,4534.0
26,20260208,리브스메드,1.3,표준형,10/13/17/25/35,100,72965/71323/69682/68040/66398,5,1642,1,65577.0,73786.0
27,20260208,티엑스알로보틱스,1.3,안정형,5/10/15/20/50,100,21203/20466/19729/18993/18256,5,737,1,17887.5,21571.5
28,20260208,한전산업,1.3,표준형,10/13/17/25/35,100,13853/13581/13310/13039/12768,5,272,1,12632.0,13989.0
29,20260208,프로텍,1.3,안정형,5/10/15/20/50,100,49488/48374/47261/46148/45034,5,1114,1,44477.0,50045.0
30,20260213,한컴위드,1.3,안정형,5/10/15/20/50,100,5688/5533/5378/5223/5068,5,155,0,4990.5,5765.5
31,20260213,미투온,1.3,안정형,5/10/15/20/50,100,4167/4049/3931/3813/3695,5,118,0,3636.0,4226.0
32,20260213,티엑스알로보틱스,1.3,안정형,5/10/15/20/50,100,21203/20466/19729/18993/18256,5,737,1,17887.5,21571.5
33,20260213,HD현대에너지솔루션,1.3,표준형,10/13/17/25/35,100,77290/74604/71919/69233/66548,5,2686,1,65205.0,78633.0
34,20260213,삼미금속,1.3,안정형,5/10/15/20/50,100,15370/14718/14065/13412/12759,5,652,1,12433.0,15696.0
35,20260213,LK삼양,1.3,하이브리드,15.8/15.8/27.1/20.9/20.5,100.1,2407/2304/2202/2100/1998,5,103,1,1946.5,2458.5
36,20260227,NHN KCP,1.3,하이브리드,16.8/20.5/16.8/15.1/30.8,100.0,19967/19355/18743/18131/17519,5,612,0,17213.0,20273.0
37,20260227,제룡전기,1.3,하이브리드,16.8/20.5/16.8/15.1/30.8,100.0,54888/53206/51524/49841/48159,5,1682,1,47318.0,55729.0
38,20260227,대주전자재료,1.3,표준형,10/13/17/25/35,100,86329/84639/82949/81260/79570,5,1690,1,78725.0,87174.0
39,20260227,현대힘스,1.3,표준형,10/13/17/25/35,100,19508/19324/19141/18957/18774,5,184,1,18682.0,19600.0
40,20260227,조비,1.3,표준형,10/13/17/25/35,100,14049/13666/13283/12901/12518,5,383,1,12326.5,14240.5
41,20260313,(미귀속),1.3,안정형,(가림),,5067/4955/4842/4729/4617,5,112,1,4561.0,5123.0
42,20260313,코데즈컴바인,1.3,하이브리드,(가림),,4914/4741/4568/4396/4223,5,173,1,4136.5,5000.5
43,20260320,폴라리스AI,1.4,사분위 하이브리드,(가림),,1869,1,,,,
44,20260320,폴라리스AI파마,1.4,HDR 하이브리드,(가림),,8306,1,,,,
45,20260403,에코플라스틱,1.4,사분위 하이브리드,(가림),,3588/3517/3447/3376/3305,5,71,1,3269.5,3623.5
46,20260403,에코플라스틱,1.4,사분위 하이브리드,(가림),,4017/3908/3800/3691/3582,5,109,1,3527.5,4071.5
47,20260403,광전자,1.4,사분위 하이브리드,(가림),,3157/3050/2944/2837/2730,5,107,1,2676.5,3210.5
48,20260403,태웅,1.4,HDR 60 하이브리드,(가림),,47681/46258/44835/43412/41989,5,1423,0,41277.5,48392.5
49,20260403,LS머트리얼즈,1.4,사분위 하이브리드,(가림),,21722/21209/20696/20183/19669,5,513,1,19412.5,21978.5
50,20260403,티엠씨,1.4,사분위 하이브리드,(가림),,22378/21567/20755/19944/19133,5,811,1,18727.5,22783.5
51,20260403,대명에너지,1.4,사분위 하이브리드,(가림),,22911/22572/22233/21894/21555,5,339,0,21385.5,23080.5
