post_date,logNo,stock_name,method,preset,preset_base,preset_mode,preset_mode_src,n_items
2017-01-13,220910477067,모나리자,"신고가 돌파 / 시가베팅(종베관점), 급등주 투매폭",,,미표기,,1
2017-05-31,221018802647,영진약품,스윙매매 / 바닥권 세력주 매집,,,미표기,,1
2017-10-18,221120063892,홈캐스트,스윙매매 / 바닥권 세력주 매집,,,미표기,,1
2017-11-18,221142995020,엘앤케이바이오,스윙매매 / 바닥권 세력주 매집,,,미표기,,1
2017-12-19,221166565701,다날,스윙매매 / 바닥권 세력주 매집,,,미표기,,1
2018-11-18,221400914494,인트론바이오,직전고점 매물 장악형 / 우량주 수급평단 박스권,,,미표기,,1
2018-11-21,221403224299,오스템임플란드,역배열 매물 돌파 / 우량주 수급평단 박스권,,,미표기,,1
2018-12-07,221414259899,슈프리마,점진적 상승 후 매물돌파 / 우량주 수급평단 박스권 매매,,,미표기,,1
2019-07-22,221592539593,진양화학,"박스권 돌파, 주요 지지선 탈환",,,미표기,,2
2019-07-22,221592539593,케이알피앤이,이평선밀집후 상승전환,,,미표기,,2
2019-07-24,221594160015,갤럭이사에스엠,"장기 이평선 탈환, 20일 이평선 재돌파",,,미표기,,1
2019-08-12,221614096444,한일화학,갭 - 매물돌파,,,미표기,,2
2019-08-12,221614096444,다날,3분봉 박스권 중하단 매매,,,미표기,,2
2019-08-16,221618309209,장원테크,갭-매물돌파,,,미표기,,3
2019-08-16,221618309209,서연탑메탈,매물돌파,,,미표기,,3
2019-08-16,221618309209,타이거일렉,20일선 돌파,,,미표기,,3
2019-08-20,221622433996,모비스,3분봉 박스권 매매,,,미표기,,1
2019-09-02,221636515137,현성바이탈,매물 영역 돌파,,,미표기,,1
2019-11-13,221707018828,에스코넥,매물영역 돌파(오전),,,미표기,,3
2019-11-13,221707018828,보라티알,전고직전 베팅(오전),,,미표기,,3
2019-11-13,221707018828,콤텍시스템,매물영역 돌파(오전),,,미표기,,3
2019-12-04,221726781081,넥스트아이,밀집돌파 검색포착,,,미표기,,5
2019-12-04,221726781081,ITX엠투엠,매물돌파 검색포착,,,미표기,,5
2019-12-04,221726781081,코리아나,이동평균선 밀집,,,미표기,,5
2019-12-04,221726781081,데일리블록체인,캔들 역전,,,미표기,,5
2019-12-04,221726781081,라이브플렉스,이등분선 레벨업 눌림목,,,미표기,,5
2019-12-24,221747711155,뉴파워프리즈마,종가베팅,,,미표기,,4
2019-12-24,221747711155,태양금속,시초가 베팅,,,미표기,,4
2019-12-24,221747711155,파인디앤씨,오전 단타,,,미표기,,4
2019-12-24,221747711155,한솔PNS,매물공백 공략,,,미표기,,4
2020-03-10,221846730860,대성엘텍,다중 볼린저밴드 돌파,,,미표기,,1
2020-04-21,221920878363,라온시큐어,매물돌파,,,미표기,,3
2020-04-21,221920878363,삼호개발,신고돌파,,,미표기,,3
2020-04-21,221920878363,이화공영,"매물,전고 돌파",,,미표기,,3
2020-09-07,222083164968,DSR제강,전고점 돌파,,,미표기,,3
2020-09-07,222083164968,에스에너지,연속상승,,,미표기,,3
2020-09-07,222083164968,삼일제약,연속상승,,,미표기,,3
2020-09-14,222088859300,지엠비코리아,연속 상승 패턴,,,미표기,,2
2020-09-14,222088859300,보락,연속 상승 패턴,,,미표기,,2
2020-09-15,222089825944,화신,매물 돌파 패턴,,,미표기,,2
2020-09-15,222089825944,모트렉스,연속 상승 패턴,,,미표기,,2
2020-09-16,222091114366,아세아텍,전고돌파,,,미표기,,5
2020-09-16,222091114366,디딤,직전고 돌파,,,미표기,,5
2020-09-16,222091114366,필옵틱스,전고 돌파 시도,,,미표기,,5
2020-09-16,222091114366,옵트론텍,직전고 돌파 시도 (쌍봉),,,미표기,,5
2020-09-16,222091114366,모헨즈,직전고 돌파,,,미표기,,5
2020-09-17,222092024771,휴네시온,전고돌파,,,미표기,,6
2020-09-17,222092024771,성창오토텍,2음봉,,,미표기,,6
2020-09-17,222092024771,서암기계공업,전고돌파,,,미표기,,6
2020-09-17,222092024771,라온시큐어,전고돌파,,,미표기,,6
2020-09-17,222092024771,심텍홀딩스,전고돌파,,,미표기,,6
2020-09-17,222092024771,케이사인,신고가 돌파,,,미표기,,6
2020-09-18,222092867049,옴니시스템,전고돌파,,,미표기,,1
2020-09-21,222095163371,신성델타테크,연속 상승,,,미표기,,4
2020-09-21,222095163371,제노포커스,직전고 돌파,,,미표기,,4
2020-09-21,222095163371,신화인터텍,전고돌파,,,미표기,,4
2020-09-21,222095163371,대신정보통신,전고돌파,,,미표기,,4
2020-09-22,222096145371,대한과학,전고돌파,,,미표기,,5
