log_no,post_date,category,item_no,stock_name,techniques,n_technique,gain_pcts,loss_pcts,n_gain,n_loss,result_kind
220236810704,2015-01-11,1,1,제일모직,수급주 상승 베팅,1,16.83,,1,0,gain
220236810704,2015-01-11,1,2,조광페인트,수급평단 박스권 베팅,1,4.27;4.74,,2,0,gain
220236810704,2015-01-11,1,3,인바디,수급평단 박스권 베팅,1,3.57;4.92,,2,0,gain
220236810704,2015-01-11,1,4,케이사인,수급평단 박스베팅,1,,0.83,0,1,loss
220236810704,2015-01-11,1,5,NHN엔터테인먼트,수급평단 박스베팅,1,,2.24;0.42,0,2,loss
220236810704,2015-01-11,1,6,KG이니시스,수급평단 박스베팅,1,5.2,,1,0,gain
220244076471,2015-01-18,1,1,제닉,수급평단 박스권 배팅,1,8.17,,1,0,gain
220251693060,2015-01-25,1,1,OCI머티리얼즈,수급평단 박스권 배팅,1,4;4.65,,2,0,gain
220251693060,2015-01-25,1,2,이오테크닉스,수급평단 박스권 배팅,1,,2.13;4.81,0,2,loss
220251693060,2015-01-25,1,3,조광페인트,"수급평단 박스권 배팅 / 6.89%, 7.74%",2,,,0,0,none
220251693060,2015-01-25,1,4,CJ&CGV,"수급평단 박스권 배팅 / -6.97, -4.99%",2,,,0,0,none
220251693060,2015-01-25,1,5,가온미디어,수급평단 박스권 배팅,1,4.39,,1,0,gain
220251693060,2015-01-25,1,6,서원인텍,수급평단 박스권 배팅,1,4.67;3.86;5.42;5.92,,4,0,gain
220251693060,2015-01-25,1,7,LG생명과학,수급평단 박스권 배팅,1,5.64,,1,0,gain
220257945878,2015-01-30,1,1,더존비즈온,수급평단 박스권 베팅,1,7.1,,1,0,gain
220257945878,2015-01-30,1,2,넥센타이어,"수급평단 박스권 베팅 / 2.79%, 2.81%, 3.47%, 7.02%",2,,,0,0,none
220257945878,2015-01-30,1,3,제닉,수급평단박스권 베팅,1,4.74,,1,0,gain
220266501448,2015-02-08,1,1,리홈쿠첸,추세돌파 - 수급평단 박스권 베팅,1,,2.1,0,1,loss
220266501448,2015-02-08,1,2,위메이드,추세돌파 - 수급평단 박스권 베팅,1,,0.14,0,1,loss
220266501448,2015-02-08,1,3,LG생명과학,추세돌파 - 수급평단 박스권 베팅 / 손실,2,0.17;3.5;3.61,,3,0,gain
220266501448,2015-02-08,1,4,한국항공우주,신고돌파 - 수급평단 박스베팅,1,3.93,,1,0,gain
220266501448,2015-02-08,1,5,LG상사,전고돌파 - 수급평단 박스권 베팅,1,3.13;4.19;5.14,,3,0,gain
220266501448,2015-02-08,1,6,메리츠종금증권,추세돌파 - 수급평단 박스권 베팅,1,69,,1,0,gain
220266501448,2015-02-08,1,7,넥센타이어,추세돌파 - 수급평단박스권베팅,1,1.62,,1,0,gain
220266501448,2015-02-08,1,8,하나투어,신고돌파 - 수급평단 박스권 베팅,1,3.22,,1,0,gain
220273943082,2015-02-15,1,1,하나투어,신고돌파 - 수급평단 박스권 베팅,1,3.8,,1,0,gain
220273943082,2015-02-15,1,2,한국항공우주,신고돌파 - 수급평단 박스권 베팅,1,,,0,0,none
