idx,post_date,logNo,class,name,role,code,code_src,outcome,reason,matched_existing
2,2019-12-24,221747711155,종목불특정,동구바이오제약,entry_misclassified,006620,naver,제외,거래한 종목이나 문장 분류가 진입이 아님 — 이번 편입 권한 밖,
2,2019-12-24,221747711155,종목불특정,동국S&C,entry_misclassified,100130,naver,제외,거래한 종목이나 문장 분류가 진입이 아님 — 이번 편입 권한 밖,
3,2020-09-18,222092867049,진입,신풍제약,entry,019170,naver,라벨신규,,
4,2020-09-21,222095163371,미거래,나인테크,notrade,267320,naver,제외,미거래 선언(선별 결과가 부정),
4,2020-09-21,222095163371,미거래,에이치엘비,notrade,,none,제외,미거래 선언(선별 결과가 부정),
4,2020-09-21,222095163371,미거래,신성델타테크,entry_misclassified,065350,naver,제외,거래한 종목이나 문장 분류가 진입이 아님 — 이번 편입 권한 밖,신성델타테크
4,2020-09-21,222095163371,미거래,제노포커스,entry_misclassified,,none,제외,거래한 종목이나 문장 분류가 진입이 아님 — 이번 편입 권한 밖,제노포커스
5,2020-09-25,222099452595,진입,아난티,entry,025980,naver,라벨신규,,
6,2020-10-05,222107017538,진입,멕스로텍,entry,,none,라벨신규(미매핑),매핑 실패(네이버 정확일치 없음 — 상폐·사명변경·오타 추정). v4 규약대로 행은 남긴다 — 버린 것도 산출물이다. usable=False,
7,2020-10-21,222122032407,진입,파워로직스,entry,047310,naver,라벨신규,,
7,2020-10-21,222122032407,진입,컬러레이,entry,900310,naver,라벨신규,,
8,2020-10-23,222124305446,진입,우진,entry,105840,naver,라벨신규,,
8,2020-10-23,222124305446,진입,제일약품,entry,271980,naver,라벨신규,,
8,2020-10-23,222124305446,진입,케이씨에스,entry,115500,naver,라벨신규,,
10,2020-12-08,222166819858,진입,태경케미칼,entry,,none,라벨신규(미매핑),매핑 실패(네이버 정확일치 없음 — 상폐·사명변경·오타 추정). v4 규약대로 행은 남긴다 — 버린 것도 산출물이다. usable=False,
11,2020-12-14,222172935644,진입,오텍,entry,067170,naver,라벨신규,,
13,2020-12-22,222181564858,진입,현대약품,entry,004310,naver,중복(src갱신),"기존 라벨과 (날짜,코드) 일치",현대약품
13,2020-12-22,222181564858,진입,KPX생명과학,entry,,none,중복(src갱신),"기존 라벨과 (날짜,이름) 일치 — 코드 없이 병합",KPX생명과학
14,2021-01-04,222195685793,애매,대원전선,ambiguous,006340,naver,제외,애매 — 편입 시 편향 방향 불명(J5),
14,2021-01-04,222195685793,애매,압타바이오,ambiguous,293780,naver,제외,애매 — 편입 시 편향 방향 불명(J5),
15,2021-01-08,222200775067,진입,코프라,entry,,none,라벨신규(미매핑),매핑 실패(네이버 정확일치 없음 — 상폐·사명변경·오타 추정). v4 규약대로 행은 남긴다 — 버린 것도 산출물이다. usable=False,
15,2021-01-08,222200775067,진입,유니온커뮤니티,entry,,none,라벨신규(미매핑),매핑 실패(네이버 정확일치 없음 — 상폐·사명변경·오타 추정). v4 규약대로 행은 남긴다 — 버린 것도 산출물이다. usable=False,
15,2021-01-08,222200775067,진입,삼성에스디에스,entry,018260,naver,라벨신규,,
16,2021-01-20,222213688518,애매,삼화네트웍스,ambiguous,046390,naver,제외,애매 — 편입 시 편향 방향 불명(J5),삼화네트웍스
17,2021-01-26,222220239499,진입,금호석유,entry,,none,라벨신규(미매핑),매핑 실패(네이버 정확일치 없음 — 상폐·사명변경·오타 추정). v4 규약대로 행은 남긴다 — 버린 것도 산출물이다. usable=False,
18,2021-01-27,222221463237,진입,두산밥캣,entry,241560,naver,라벨신규,,
18,2021-01-27,222221463237,진입,강스템바이오,entry,,none,라벨신규(미매핑),매핑 실패(네이버 정확일치 없음 — 상폐·사명변경·오타 추정). v4 규약대로 행은 남긴다 — 버린 것도 산출물이다. usable=False,
18,2021-01-27,222221463237,진입,한양이엔지,entry,045100,naver,라벨신규,,
18,2021-01-27,222221463237,진입,태경비케이,entry,014580,naver,라벨신규,,
19,2021-01-28,222222690337,진입,엘컴텍,entry,037950,naver,라벨신규,,
20,2021-02-05,222232892682,진입,레인보우틱스,entry,,none,라벨신규(미매핑),매핑 실패(네이버 정확일치 없음 — 상폐·사명변경·오타 추정). v4 규약대로 행은 남긴다 — 버린 것도 산출물이다. usable=False,
20,2021-02-05,222232892682,진입,모비스,entry,250060,naver,라벨신규,,
21,2021-02-10,222238792135,진입,한신기계,entry,011700,naver,라벨신규,,
22,2021-02-10,222238792135,미거래,대원미디어,notrade,048910,naver,제외,미거래 선언(선별 결과가 부정),
22,2021-02-10,222238792135,미거래,SM,entry_misclassified,,none,제외,거래한 종목이나 문장 분류가 진입이 아님 — 이번 편입 권한 밖,
23,2021-02-16,222245148229,미거래,이구산업,notrade,025820,naver,제외,미거래 선언(선별 결과가 부정),
25,2021-02-23,222253616001,진입,한네트,entry,052600,naver,라벨신규,,
25,2021-02-23,222253616001,진입,피비파마,entry,,none,라벨신규(미매핑),매핑 실패(네이버 정확일치 없음 — 상폐·사명변경·오타 추정). v4 규약대로 행은 남긴다 — 버린 것도 산출물이다. usable=False,
25,2021-02-23,222253616001,진입,풍산,entry,103140,naver,라벨신규,,
25,2021-02-23,222253616001,진입,양지사,entry,030960,naver,라벨신규,,
26,2021-03-04,222264218482,진입,삼화네트웍스,entry,046390,naver,라벨신규,,
26,2021-03-04,222264218482,진입,NE능률,entry,053290,naver,라벨신규,,
26,2021-03-04,222264218482,진입,서연이화,entry,200880,naver,라벨신규,,
26,2021-03-04,222264218482,진입,하이스틸,entry,071090,naver,라벨신규,,
26,2021-03-04,222264218482,진입,티플렉스,entry,,none,라벨신규(미매핑),매핑 실패(네이버 정확일치 없음 — 상폐·사명변경·오타 추정). v4 규약대로 행은 남긴다 — 버린 것도 산출물이다. usable=False,
27,2021-03-08,222268052634,미거래,에코캡,notrade,128540,naver,제외,미거래 선언(선별 결과가 부정),
30,2021-06-23,222407179005,진입,DSR 제강,entry,069730,naver,중복(src갱신),"기존 라벨과 (날짜,코드) 일치",DSR제강
31,2021-07-07,222423068992,애매,YBM넷,ambiguous,057030,naver,제외,애매 — 편입 시 편향 방향 불명(J5),
32,2021-07-14,222431217753,미거래,메디콕스,notrade,054180,naver,제외,미거래 선언(선별 결과가 부정),
34,2021-07-30,222450639243,진입,아즈텍,entry,,none,라벨신규(미매핑),매핑 실패(네이버 정확일치 없음 — 상폐·사명변경·오타 추정). v4 규약대로 행은 남긴다 — 버린 것도 산출물이다. usable=False,
34,2021-07-30,222450639243,진입,켐트로스,entry,220260,naver,중복(src갱신),"기존 라벨과 (날짜,코드) 일치",켐트로스
36,2021-08-23,222481008123,애매,영화테크,ambiguous,265560,naver,제외,애매 — 편입 시 편향 방향 불명(J5),
36,2021-08-23,222481008123,애매,인스코비,ambiguous,,none,제외,애매 — 편입 시 편향 방향 불명(J5),
37,2021-08-27,222485636394,진입,바이오니아,entry,064550,naver,라벨신규,,
38,2021-10-19,222541688023,진입,한화투자증권,entry,003530,naver,라벨신규,,
39,2021-10-19,222541688023,미거래,네오이뮨택,notrade,,none,제외,미거래 선언(선별 결과가 부정),
39,2021-10-19,222541688023,미거래,삼진엘앤디,notrade,054090,naver,제외,미거래 선언(선별 결과가 부정),
39,2021-10-19,222541688023,미거래,국보,notrade,,none,제외,미거래 선언(선별 결과가 부정),
40,2021-10-25,222547495119,미거래,두산중공업,order_placed,,none,라벨신규(미매핑),매핑 실패(네이버 정확일치 없음 — 상폐·사명변경·오타 추정). v4 규약대로 행은 남긴다 — 버린 것도 산출물이다. usable=False,
41,2021-11-01,222555191027,미거래,위메이드맥스,notrade,101730,naver,제외,미거래 선언(선별 결과가 부정),위메이드맥스
42,2021-11-05,222559364890,진입,경남스틸,entry,039240,naver,라벨신규,,
43,2021-11-17,222570655002,진입,맥스트,entry,,none,중복(src갱신),"기존 라벨과 (날짜,이름) 일치 — 코드 없이 병합",맥스트
44,2021-11-23,222576455449,진입,네오크레마,entry,311390,naver,라벨신규,,
46,2021-11-25,222578132332,진입,다날,entry,064260,naver,라벨신규,,
