idx,post_date,logNo,class,name,role,note
2,2019-12-24,221747711155,종목불특정,동구바이오제약,entry_misclassified,약수익권으로 매매 종료 = 거래함. 문장은 종목불특정으로 분류됨
2,2019-12-24,221747711155,종목불특정,동국S&C,entry_misclassified,동상
3,2020-09-18,222092867049,진입,신풍제약,entry,
4,2020-09-21,222095163371,미거래,나인테크,notrade,매매하려 했으나
4,2020-09-21,222095163371,미거래,에이치엘비,notrade,매매하려 했으나
4,2020-09-21,222095163371,미거래,신성델타테크,entry_misclassified,「확실한 종목 … 를 거래했습니다」 = 거래함
4,2020-09-21,222095163371,미거래,제노포커스,entry_misclassified,동상
5,2020-09-25,222099452595,진입,아난티,entry,
6,2020-10-05,222107017538,진입,멕스로텍,entry,표기 그대로(맥스로텍 오타 추정) — 교정하지 않는다
7,2020-10-21,222122032407,진입,파워로직스,entry,
7,2020-10-21,222122032407,진입,컬러레이,entry,
8,2020-10-23,222124305446,진입,우진,entry,
8,2020-10-23,222124305446,진입,제일약품,entry,
8,2020-10-23,222124305446,진입,케이씨에스,entry,
10,2020-12-08,222166819858,진입,태경케미칼,entry,
11,2020-12-14,222172935644,진입,오텍,entry,
13,2020-12-22,222181564858,진입,현대약품,entry,
13,2020-12-22,222181564858,진입,KPX생명과학,entry,
14,2021-01-04,222195685793,애매,대원전선,ambiguous,「매매할 종목이 있었습니다」
14,2021-01-04,222195685793,애매,압타바이오,ambiguous,동상
15,2021-01-08,222200775067,진입,코프라,entry,
15,2021-01-08,222200775067,진입,유니온커뮤니티,entry,
15,2021-01-08,222200775067,진입,삼성에스디에스,entry,
16,2021-01-20,222213688518,애매,삼화네트웍스,ambiguous,"판단만 서술, 거래 진술 없음"
17,2021-01-26,222220239499,진입,금호석유,entry,
18,2021-01-27,222221463237,진입,두산밥캣,entry,
18,2021-01-27,222221463237,진입,강스템바이오,entry,표기 그대로(강스템바이오텍 축약 추정)
18,2021-01-27,222221463237,진입,한양이엔지,entry,
18,2021-01-27,222221463237,진입,태경비케이,entry,
19,2021-01-28,222222690337,진입,엘컴텍,entry,
20,2021-02-05,222232892682,진입,레인보우틱스,entry,표기 그대로(레인보우로보틱스 오타 추정)
20,2021-02-05,222232892682,진입,모비스,entry,
21,2021-02-10,222238792135,진입,한신기계,entry,
22,2021-02-10,222238792135,미거래,대원미디어,notrade,떴으나 거래를 못해
22,2021-02-10,222238792135,미거래,SM,entry_misclassified,「SM으로 두번 수익을 내줬습니다」 = 거래함
23,2021-02-16,222245148229,미거래,이구산업,notrade,못한것이 아쉽네요
25,2021-02-23,222253616001,진입,한네트,entry,
25,2021-02-23,222253616001,진입,피비파마,entry,
25,2021-02-23,222253616001,진입,풍산,entry,
25,2021-02-23,222253616001,진입,양지사,entry,
26,2021-03-04,222264218482,진입,삼화네트웍스,entry,
26,2021-03-04,222264218482,진입,NE능률,entry,
26,2021-03-04,222264218482,진입,서연이화,entry,
26,2021-03-04,222264218482,진입,하이스틸,entry,
26,2021-03-04,222264218482,진입,티플렉스,entry,
27,2021-03-08,222268052634,미거래,에코캡,notrade,매수가가 오지않았고요
30,2021-06-23,222407179005,진입,DSR 제강,entry,공백 포함 표기
31,2021-07-07,222423068992,애매,YBM넷,ambiguous,「접근할듯말듯 하다가 … 진입을 했었는데」 문장이 끊김
32,2021-07-14,222431217753,미거래,메디콕스,notrade,트레이딩을 하지 못헀습니다
34,2021-07-30,222450639243,진입,아즈텍,entry,표기 그대로(아즈텍WB 축약 추정)
