stock_name,class,cand_code,cand_name,evidence,n_labels,years,probe_cands,probe_saturated,recoverable_rows
CJ씨푸트,A,011150,CJ씨푸드,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2022:1,2,False,1
HLB테라퓨스,A,115450,HLB테라퓨틱스,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2024:1,1,False,1
HSD엔진,C,,,접두 후보 4건 · 현재이름 유사 0건,1,2020:1,4,False,0
ITX엠투엠,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2019:1,0,False,0
KG ETS,C,,,접두 후보 6건 · 현재이름 유사 0건,4,2020:1;2022:2;2023:1,6,False,0
KG동부제철,C,,,접두 후보 6건 · 현재이름 유사 0건,1,2022:1,6,False,0
KG모빌리언스,A,003620,KG모빌리티,A-typo2(localdb),3,2021:2;2023:1,1,False,3
KH E&T,C,,,접두 후보 1건 · 현재이름 유사 0건,1,2021:1,1,False,0
KMH,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2020:1,0,False,0
KMH하이텍,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2020:1,0,False,0
KPX생명과학,C,,,접두 후보 2건 · 현재이름 유사 0건,2,2020:1;2022:1,2,False,0
KTH,A,030200,KT,A-typo(census),1,2021:1,7,False,1
KT서브마린,C,,,접두 후보 7건 · 현재이름 유사 0건,1,2020:1,7,False,0
LG헬로지번,A,037560,LG헬로비전,A-typo2(probe),1,2021:1,1,False,0
LS머티리얼즈,A,417200,LS머트리얼즈,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),2,2023:2,1,False,0
LS전서아시아,C,,,접두 후보 9건 · 현재이름 유사 0건,1,2023:1,9,False,0
LS전선아시아,C,,,접두 후보 9건 · 현재이름 유사 0건,3,2023:3,9,False,0
MP한강,C,,,접두 후보 0건 · 현재이름 유사 0건,1,2020:1,0,False,0
SCI평가정보,C,,,접두 후보 1건 · 현재이름 유사 0건,4,2020:2;2022:2,1,False,0
SG충방,C,,,접두 후보 7건 · 현재이름 유사 0건,1,2021:1,7,False,0
SK바이오랜드 외 6개,C,,,접두 후보 9건 · 현재이름 유사 0건,1,2019:1,9,False,0
SM Life,AB,063440,SMLifeDesign,AB-abbr(census),1,2020:1,1,False,0
SV.인베스트먼트,A,289080,SV인베스트먼트,A-self(저자가 다른 라벨에 올바로 씀(편집거리 1)),1,2020:1,1,False,0
TCC,A,002710,TCC스틸,A-abbr(master),1,2023:1,1,False,1
WI,C,,,접두 후보 1건 · 현재이름 유사 0건,3,2021:3,1,False,0
YG플러스,C,,,접두 후보 1건 · 현재이름 유사 0건,1,2023:1,1,False,0
가온미디어,C,,,접두 후보 3건 · 현재이름 유사 0건,2,2021:2,3,False,0
강스템바이오,A,217730,강스템바이오텍,A-typo(census),1,2020:1,1,False,0
갤럭시아너미트리,A,094480,갤럭시아머니트리,A-typo2(census),1,2022:1,2,False,1
갤럭이사에스엠,A,011420,갤럭시아에스엠,A-typo2(master),1,2019:1,2,False,0
게임빌,C,,,접두 후보 0건 · 현재이름 유사 0건,2,2021:2,0,False,0
고려시멘트,C,,,접두 후보 5건 · 현재이름 유사 0건,1,2022:1,5,False,0
골든센츄리,C,,,접두 후보 0건 · 현재이름 유사 0건,2,2021:2,0,False,0
골프존뉴딘홀딩스,C,,,접두 후보 2건 · 현재이름 유사 0건,1,2022:1,2,False,0
공구우먼,A,366030,공구우먼,EXACT(localdb),0,,0,False,0
광림,C,,,접두 후보 0건 · 현재이름 유사 0건,3,2022:3,0,False,0
금호석유,A,011780,금호석유화학,A-abbr(probe),0,,2,False,0
