stock_name,final_class,code,current_name,n_labels,years,confidence,evidence,why,note,mech_class,web_class,channels_agree,recoverable_rows
CJ씨푸트,A,011150,CJ씨푸드,1,2022:1,high(채널 3),동일글오타쌍+문자열+웹:agent1,코드 011150 현재 「CJ씨푸드」,,A,A,O,1
HLB테라퓨스,A,115450,HLB테라퓨틱스,1,2024:1,high(채널 3),동일글오타쌍+문자열+웹:agent2,코드 115450 현재 「HLB테라퓨틱스」,,A,A,O,1
HSD엔진,B,082740,한화엔진,1,2020:1,mid(웹 단독),웹:agent3,코드 082740 현재 「한화엔진」,,C,B,X,0
ITX엠투엠,B,099520,DGI,1,2019:1,mid(웹 단독),웹:agent1,코드 099520 현재 「DGI」,,C,B,X,0
KG ETS,B,151860,KG에코솔루션,4,2020:1;2022:2;2023:1,mid(웹 단독),웹:agent3,코드 151860 현재 「KG에코솔루션」,,C,B,X,3
KG동부제철,B,016380,KG스틸,1,2022:1,mid(웹 단독),웹:agent2,코드 016380 현재 「KG스틸」,,C,B,X,1
KG모빌리언스,B,046440,KG파이낸셜,3,2021:2;2023:1,mid(웹 단독),웹:agent3,코드 046440 현재 「KG파이낸셜」,"채널간 코드 불일치(003620,046440)",A,B,X,3
KH E&T,C,226360,,1,2021:1,mid(웹 단독),웹:agent3,코드 226360 네이버 미색인 = 현재 미상장,,C,?,,0
KMH,B,122450,KX,1,2020:1,mid(웹 단독),웹:agent1,코드 122450 현재 「KX」,,C,B,X,0
KMH하이텍,B,052900,KX하이텍,1,2020:1,mid(웹 단독),웹:agent2,코드 052900 현재 「KX하이텍」,,C,?,,0
KPX생명과학,B,114450,그린생명과학,2,2020:1;2022:1,mid(웹 단독),웹:agent3,코드 114450 현재 「그린생명과학」,,C,B,X,1
KTH,B,036030,케이티알파,1,2021:1,mid(웹 단독),웹:agent3,코드 036030 현재 「케이티알파」,"채널간 코드 불일치(030200,036030)",A,B,X,1
KT서브마린,B,060370,LS마린솔루션,1,2020:1,mid(웹 단독),웹:agent1,코드 060370 현재 「LS마린솔루션」,,C,B,X,0
