post_date,stock_code,stock_name,regime,preset,src,bars_pre,bars_post,usable
2024-08-01,009070,KCTC,2024단타,,body,29,27,True
2024-08-01,108860,셀바스AI,2024단타,,body,29,27,True
2024-08-02,253840,수젠텍,2024단타,,body,30,27,True
2024-08-02,084650,랩지노믹스,2024단타,,body,30,27,True
2024-08-05,005870,휴니드,2024단타,,body,29,28,True
2024-08-05,253840,수젠텍,2024단타,,body,29,28,True
2024-08-05,024060,흥구석유,2024단타,,title_only,29,28,True
2024-08-06,460470,아이빔테크놀러지,2024단타,,body,1,27,False
2024-08-07,180400,DXVX,2024단타,,body,29,26,True
2024-08-07,950130,엑세스바이오,2024단타,,body,29,26,True
2024-08-08,011000,진원생명과학,2024단타,,body,29,25,True
2024-08-09,007160,사조산업,2024단타,,body,30,24,True
2024-08-09,014620,성광벤드,2024단타,,body,30,24,True
2024-08-09,053950,경남제약,2024단타,,title_only,30,24,True
2024-08-12,019170,신풍제약,2024단타,,body,29,25,True
2024-08-12,052420,오성첨단소재,2024단타,,body,29,25,True
2024-08-12,299660,셀리드,2024단타,,body,29,25,True
2024-08-13,053050,지에스이,2024단타,,body,29,24,True
2024-08-13,453450,그리드위즈,2024단타,,body,29,24,True
2024-08-14,294140,레몬,2024단타,,body,29,24,True
2024-08-14,323280,태성,2024단타,,body,29,24,True
2024-08-16,241820,피씨엘,2024단타,,body,29,25,True
2024-08-16,229000,젠큐릭스,2024단타,,body,29,25,True
2024-08-19,005690,파미셀,2024단타,,body,28,26,True
2024-08-19,096530,씨젠,2024단타,,body,28,26,True
2024-08-20,452280,한선엔지니어링,2024단타,,body,28,25,True
2024-08-20,039610,화성밸브,2024단타,,body,28,25,True
2024-08-20,011500,한농화성,2024단타,,body,28,25,True
2024-08-21,052420,오성첨단소재,2024단타,,body,28,25,True
2024-08-21,039610,화성밸브,2024단타,,body,28,25,True
2024-08-22,011500,한농화성,2024단타,,body,28,24,True
2024-08-22,001250,GS글로벌,2024단타,,body,28,24,True
2024-08-23,096530,씨젠,2024단타,,body,29,24,True
2024-08-23,039610,화성밸브,2024단타,,body,29,24,True
