K,ctrl,k,sd_delta_est,sd_abs_est,sd_delta_rw,sd_abs_rw,se_date_rel_est,se_stock_rel_est,se_date_abs_est,se_stock_abs_est,ratio_stock_date_rel,ratio_stock_date_abs,acf1_rel,acf1_abs,vif_rel,vif_abs,SE_rel_target,SE_abs_target,SE_rel_target_noRW,SE_abs_target_noRW,MDE_rel,MDE_abs,MDE_rel_noRW,MDE_abs_noRW,G_stock,sdD_2021,sdD_2022,sdD_2023,sdD_2024
100,rest,1,0.03825955494005763,0.037336656038667475,0.03692523411658788,0.03595079454258449,0.002146211675813726,0.0021355919310155434,0.0020948234447214606,0.00206803247546704,0.9950518651455215,0.9872108700511594,-0.0045122117642827555,-0.024934157735052344,1.0,1.0,0.0014676462949300287,0.0013983238443727858,0.0015206807863737443,0.0014522276092165784,0.4111736165294234,0.39175234125296954,0.4260316812573086,0.4068539403316702,1650,0.03685367594567254,0.03592100753046466,0.0355250368182788,0.040927452312616956
100,rest,5,0.08629515400726322,0.08688220978185879,0.08321442061973479,0.0840142523690074,0.004831851414952785,0.004810782428229185,0.004874070734470994,0.004830458343914654,0.9956395623718066,0.9910521629799298,0.008983505224180484,0.09435321639746644,1.0,1.3399546648129612,0.0033074762836084156,0.0037826598498791374,0.003429924442707349,0.0039117868378705,0.9266176665416552,1.0597443920570813,0.9609225617933269,1.0959204181386863,1650,0.07810824909038304,0.07892153690849406,0.08387578206729351,0.09492287953962196
100,rest,20,0.15993331748831302,0.1585304111738935,0.16148108782887832,0.15972081418049727,0.00893837145847254,0.00888917235979026,0.008873763547233241,0.009078454966834586,0.9944957424391169,1.0230670355945157,0.01668512183334823,0.11646276034266453,1.0,3.270609177246392,0.006418297024333771,0.011494211987288743,0.006356778676242572,0.01140854535342882,1.7981406068831942,3.220201439744503,1.7809057174176912,3.1962012022337576,1650,0.15081710874064916,0.1413393381718989,0.1845243861360928,0.16397224048444822
100,10,1,0.04030067219859359,0.03721365112374448,0.038903710798351705,0.03593966207435264,0.0022626233872892936,0.0021662354365371006,0.0020891228246594654,0.0020745756892142286,0.9573999140583138,0.9930367256182709,-0.007033273083172022,0.0026797388427479284,1.0,1.0053513695498144,0.0015462836831840333,0.0014016261661766623,0.0016018079140325586,0.0014513110069343728,0.4332045509817664,0.39267751484808877,0.4487601374209985,0.4065971463911987,911,0.039351233050902205,0.03699407873832579,0.03802979177754868,0.042838672886979796
100,10,5,0.09195484142333828,0.08695842855653595,0.08930953070962763,0.08408682718428795,0.005158084130492847,0.004921893441687951,0.004880319744068403,0.004854762165790684,0.9542096090661615,0.9947631344629042,0.010930015436965769,0.09159962408346634,1.0,1.3086603770860576,0.0035497351603531757,0.0037414566064007536,0.0036548768218970912,0.0038692289612976723,0.9944885553461325,1.0482009522703462,1.0239448878250594,1.0839974663466152,910,0.08336373799168435,0.08181045679104262,0.09371682292029401,0.10055400857857238
100,10,20,0.16922358942447194,0.1576840764520962,0.17072239753550897,0.15840800489410065,0.00948398408445271,0.009055856874225086,0.008844394720512122,0.009084615973821018,0.9548578733984316,1.0271608471693114,-0.0201227507450411,0.09208111515763363,1.0,3.131418496603625,0.006785606109183812,0.011199158920819156,0.006726033835003257,0.011147978491681572,1.9010453771426419,3.1375398087864927,1.8843556968672803,3.1232011754136395,912,0.15677939716312367,0.1468193764430053,0.19756579268035437,0.1754239674263934
200,rest,1,0.03624205868310005,0.036047090831128004,0.034792604400908256,0.03449136008248123,0.002032291065410389,0.002032235522092471,0.0020215271474352506,0.002003046681019392,0.99997266960483,0.9908581656005436,-0.003929620833202007,0.006341272829492787,1.0,1.012663358751786,0.0013828818736458639,0.0013500260179725731,0.00144049250924028,0.0014109188613574263,0.3874261415602618,0.3782212936019873,0.40356625206900265,0.39528094259357455,1976,0.03484958880289479,0.032116944241783636,0.034671598583837136,0.03908868265607565
200,rest,5,0.08150938605297675,0.08359361516063371,0.07831754041119536,0.07966343053547623,0.004564969942698971,0.004545548051391103,0.004682226300673804,0.004590659173770294,0.9957454503421362,0.9804436776389187,0.00502484077823444,0.10180590774593101,1.0,1.2232630924336276,0.003112842768974841,0.0034270324051345535,0.003239707243695791,0.0035961045876660128,0.8720894287869756,0.9601123328219099,0.9076315924951636,1.0074793455593332,1976,0.07493583152936273,0.07087026882895386,0.08073099534802587,0.0897160473596199
200,rest,20,0.15091666972689843,0.1541032940265132,0.15188312422074873,0.15461186202338142,0.008444677640968512,0.008421386013827943,0.008624920409307305,0.008654639343980584,0.9972418571636682,1.0034457053819545,-0.01591571132876365,0.09457216534514543,1.0,2.81715093841766,0.006036812219555875,0.01012840403395874,0.005998399102048228,0.010095088465000368,1.6912643878831477,2.837558702461456,1.6805026256640418,2.828225061908777,1976,0.14305303329615654,0.12653759403358014,0.1769979773743956,0.1551273223383479
200,10,1,0.038755870410552194,0.03593941423553532,0.0372363905270387,0.03444214903993657,0.002175258630834755,0.002075576425697393,0.002018139427292954,0.001983701346087373,0.9541745502238927,0.9829357274627083,0.0010422372436761705,-0.008385029080972077,1.0020811814786836,1.0,0.001481552939970652,0.0013396443351741919,0.0015420096560159683,0.0013978812017300959,0.4150696816473589,0.37531277669527907,0.43200714584818,0.3916283311445029,1040,0.036872018702904644,0.0339952767441161,0.037660730882306905,0.04198781832185521
