post_log_no,post_date,prog_ver,item_no,stock_name,leg_idx,ret_pct,is_loss,leg_open_ended
224364189017,2026-07-31,1.0.30,1,가온칩스,1,25.10,0,0
224364189017,2026-07-31,1.0.30,1,가온칩스,2,15.60,0,0
224364189017,2026-07-31,1.0.30,1,가온칩스,3,14.32,0,0
224364189017,2026-07-31,1.0.30,1,가온칩스,4,8.74,0,0
224364189017,2026-07-31,1.0.30,1,가온칩스,5,4.75,0,0
224364189017,2026-07-31,1.0.30,2,다날,1,14.31,0,0
224364189017,2026-07-31,1.0.30,2,다날,2,13.97,0,0
224364189017,2026-07-31,1.0.30,2,다날,3,10.99,0,0
224364189017,2026-07-31,1.0.30,2,다날,4,9.67,0,0
224364189017,2026-07-31,1.0.30,2,다날,5,6.23,0,1
224364189017,2026-07-31,1.0.30,3,다스코,1,24.67,0,0
224364189017,2026-07-31,1.0.30,3,다스코,2,22.34,0,0
224364189017,2026-07-31,1.0.30,3,다스코,3,19.78,0,0
224364189017,2026-07-31,1.0.30,3,다스코,4,17.45,0,0
224364189017,2026-07-31,1.0.30,3,다스코,5,15.36,0,1
224364189017,2026-07-31,1.0.30,4,마키나락스,1,16.84,0,0
224364189017,2026-07-31,1.0.30,4,마키나락스,2,16.83,0,0
224364189017,2026-07-31,1.0.30,4,마키나락스,3,15.39,0,0
224364189017,2026-07-31,1.0.30,4,마키나락스,4,15.39,0,0
224364189017,2026-07-31,1.0.30,4,마키나락스,5,11.08,0,0
224364189017,2026-07-31,1.0.30,4,마키나락스,6,7.32,0,0
224364189017,2026-07-31,1.0.30,5,티엑스알로보틱스,1,24.64,0,0
224364189017,2026-07-31,1.0.30,5,티엑스알로보틱스,2,22.35,0,0
224364189017,2026-07-31,1.0.30,5,티엑스알로보틱스,3,11.96,0,0
224364189017,2026-07-31,1.0.30,5,티엑스알로보틱스,4,1.29,0,0
224364189017,2026-07-31,1.0.30,6,금호건설,1,39.70,0,0
224364189017,2026-07-31,1.0.30,6,금호건설,2,22.86,0,0
224364189017,2026-07-31,1.0.30,6,금호건설,3,20.33,0,0
224364189017,2026-07-31,1.0.30,6,금호건설,4,17.76,0,0
224364189017,2026-07-31,1.0.30,6,금호건설,5,15.08,0,1
224364189017,2026-07-31,1.0.30,7,데이타솔루션,1,7.62,0,0
224364189017,2026-07-31,1.0.30,8,셀바스AI,1,12.13,0,0
224364189017,2026-07-31,1.0.30,8,셀바스AI,2,0.43,0,0
224364189017,2026-07-31,1.0.30,9,코스모로보틱스,1,15.34,0,0
224364189017,2026-07-31,1.0.30,9,코스모로보틱스,2,13.38,0,0
