name	sharpe	pnl	maxdd	n_days	start	end
live_sum(독립1천만·무리밸)	0.483	0.7714	0.393	1324	2021-01-13	2026-06-10
eqw_rebal(등가중)	0.397	0.7236	0.4397	1324	2021-01-13	2026-06-10
inv_vol(역변동성·IS)	0.515	0.6974	0.2864	1324	2021-01-13	2026-06-10
elder40(Elder40%+나머지균등)	0.482	1.1377	0.4557	1324	2021-01-13	2026-06-10
단독:book_envelope_200d	0.843	0.6664	0.1315	1324	2021-01-13	2026-06-10
단독:book_pullback_ma20	0.059	-0.181	0.5429	1324	2021-01-13	2026-06-10
단독:book_pullback_ma5	0.193	-0.7035	0.8909	1324	2021-01-13	2026-06-10
단독:daytrading_3methods_breakout	0.674	0.9886	0.2819	1324	2021-01-13	2026-06-10
단독:elder_ema_pullback	0.641	2.3831	0.5103	1324	2021-01-13	2026-06-10
단독:minervini_volume_dryup	0.284	0.184	0.2608	1324	2021-01-13	2026-06-10
단독:rs_leader	0.633	2.0621	0.4955	1324	2021-01-13	2026-06-10
KOSPI	0.992	1.8787	0.3479	1323	2021-01-05	2026-05-29
