a	b	lift
elder_ema_pullback	rs_leader	5.71
daytrading_3methods_breakout	elder_ema_pullback	4.81
book_pullback_ma20	book_pullback_ma5	3.91
daytrading_3methods_breakout	rs_leader	3.76
book_pullback_ma5	elder_ema_pullback	3.53
minervini_volume_dryup	rs_leader	3.46
book_pullback_ma5	daytrading_3methods_breakout	3.46
book_pullback_ma20	elder_ema_pullback	3.46
book_envelope_200d	rs_leader	3.46
elder_ema_pullback	minervini_volume_dryup	3.38
book_envelope_200d	elder_ema_pullback	3.31
book_pullback_ma5	rs_leader	3.31
book_envelope_200d	book_pullback_ma5	3.23
book_pullback_ma5	minervini_volume_dryup	2.93
book_envelope_200d	daytrading_3methods_breakout	2.86
book_envelope_200d	book_pullback_ma20	2.71
book_pullback_ma20	daytrading_3methods_breakout	2.56
book_pullback_ma20	rs_leader	2.56
daytrading_3methods_breakout	minervini_volume_dryup	2.48
book_pullback_ma20	minervini_volume_dryup	2.41
book_envelope_200d	minervini_volume_dryup	2.11
