strategy	ref_type	sharpe	calmar	max_dd	pnl	n_trades	clamp_frac	delta_sharpe	sharpe_train	delta_sharpe_train	sharpe_test	delta_sharpe_test	boot_dsharpe_p05	delta_sharpe_cost	gate_pass	gate_reason	n	sl_mult	rr	buffer	bb_k
book_envelope_200d	fixed	1.0171591525008696	9.196581389586676	0.1790141219087534	1.646317942019242	251	0.0	0.0	1.027188745820973	0.0	0.9684717038953006	0.0	0.0	0.0	False	train_window_not_positive					
book_envelope_200d	box	0.8025561420391348	6.024007118608367	0.33038221002425744	1.9902247850476913	194	0.25773195876288657	-0.2146030104617348	0.698941538496881	-0.32824720732409196	1.3754695229558869	0.4069978190605863	-0.1325396068295453	-0.0525880844156309	False	clamp_frac_high(0.26)	10.0	1.0	1.0	0.0	2.0
book_envelope_200d	box	0.811025312331537	6.230608372616195	0.33771056482267553	2.1041422727051065	188	0.75	-0.20613384016933267	0.6754656402732003	-0.35172310554777264	1.5487353993397786	0.580263695444478	-0.09992386006838196	-0.04522899480959519	False	clamp_frac_high(0.75)	10.0	1.0	1.5	0.0	2.0
book_envelope_200d	box	0.8070779363026022	6.1689725972195015	0.33771056482267553	2.0833272201826056	188	0.9627659574468085	-0.21008121619826747	0.6754656402732003	-0.35172310554777264	1.5301772793081065	0.561705575412806	-0.1001864241378612	-0.049341417084100336	False	clamp_frac_high(0.96)	10.0	1.0	2.0	0.0	2.0
book_envelope_200d	box	0.8070779363026022	6.1689725972195015	0.33771056482267553	2.0833272201826056	188	1.0	-0.21008121619826747	0.6754656402732003	-0.35172310554777264	1.5301772793081065	0.561705575412806	-0.1001864241378612	-0.049341417084100336	False	clamp_frac_high(1.00)	10.0	1.0	3.0	0.0	2.0
book_envelope_200d	box	0.8025561420391348	6.024007118608367	0.33038221002425744	1.9902247850476913	194	0.25773195876288657	-0.2146030104617348	0.698941538496881	-0.32824720732409196	1.3754695229558869	0.4069978190605863	-0.1325396068295453	-0.0525880844156309	False	clamp_frac_high(0.26)	10.0	1.5	1.0	0.0	2.0
book_envelope_200d	box	0.811025312331537	6.230608372616195	0.33771056482267553	2.1041422727051065	188	0.75	-0.20613384016933267	0.6754656402732003	-0.35172310554777264	1.5487353993397786	0.580263695444478	-0.09992386006838196	-0.04522899480959519	False	clamp_frac_high(0.75)	10.0	1.5	1.5	0.0	2.0
book_envelope_200d	box	0.8070779363026022	6.1689725972195015	0.33771056482267553	2.0833272201826056	188	0.9627659574468085	-0.21008121619826747	0.6754656402732003	-0.35172310554777264	1.5301772793081065	0.561705575412806	-0.1001864241378612	-0.049341417084100336	False	clamp_frac_high(0.96)	10.0	1.5	2.0	0.0	2.0
book_envelope_200d	box	0.8070779363026022	6.1689725972195015	0.33771056482267553	2.0833272201826056	188	1.0	-0.21008121619826747	0.6754656402732003	-0.35172310554777264	1.5301772793081065	0.561705575412806	-0.1001864241378612	-0.049341417084100336	False	clamp_frac_high(1.00)	10.0	1.5	3.0	0.0	2.0
book_envelope_200d	box	0.8025561420391348	6.024007118608367	0.33038221002425744	1.9902247850476913	194	0.25773195876288657	-0.2146030104617348	0.698941538496881	-0.32824720732409196	1.3754695229558869	0.4069978190605863	-0.1325396068295453	-0.0525880844156309	False	clamp_frac_high(0.26)	10.0	2.0	1.0	0.0	2.0
